binning,delta_beta,delta_vs_pooled
pooled,-0.028378857312907457,0.0
epoch,-0.08734258457959798,-0.058963727266690524
ma5,-0.08074349279958457,-0.05236463548667711
ma1,-0.07840250180948649,-0.050023644496579034
