distance_km,beta_predator,beta_herbivore,delta_beta
50.0,0.7533607658395686,0.8113434264710553,-0.057982660631486715
150.0,0.8750030139336253,0.8997440782044565,-0.024741064270831115
250.0,0.8920195506029877,0.892142432343649,-0.00012288174066132918
350.0,0.8986770100578902,0.9001235436527024,-0.0014465335948121716
450.0,0.9216492533669404,0.9194796392253833,0.0021696141415570303
550.0,0.9324741538349134,0.950869813983142,-0.018395660148228576
650.0,0.9181193310657596,0.9288942481867019,-0.010774917120942251
750.0,0.8981640448160848,0.9238190128175887,-0.02565496800150391
850.0,0.8683268931018981,0.9310138806271037,-0.06268698752520552
950.0,0.8820362767553149,0.9344957776745729,-0.052459500919257995
1050.0,0.9200441198843755,0.9349638162478464,-0.014919696363470902
1150.0,0.9394444291445201,0.9344969243942425,0.004947504750277609
1250.0,0.9397604091637601,0.9300279197327036,0.009732489431056535
1350.0,0.9334186476542093,0.9359668818003951,-0.0025482341461857683
1450.0,0.9279997451539155,0.9363252355295526,-0.008325490375637123
1550.0,0.9197004591121843,0.9469463031440093,-0.02724584403182495
1650.0,0.8833964803312628,0.9434726258256806,-0.060076145494417754
1750.0,0.8927865091523651,0.9430602435898945,-0.05027373443752936
1850.0,0.9133474023332456,0.924974516776897,-0.011627114443651387
1950.0,0.8849210301650541,0.9316930223143662,-0.04677199214931216
2050.0,0.8898259948921864,0.947345646192262,-0.057519651300075636
2150.0,0.9021755474640369,0.9377867608934547,-0.035611213429417754
2250.0,0.922924714567774,0.9381582949649804,-0.015233580397206348
2350.0,0.9458614582812501,0.9387413659394058,0.007120092341844297
2450.0,0.9560928775704752,0.9336145199082209,0.022478357662254367
2550.0,0.9559817119634239,0.9344456666263157,0.02153604533710818
2650.0,0.9325363825363826,0.9246262601613757,0.007910122375006878
2750.0,0.9297935103244838,0.9269554326591761,0.0028380776653076367
2850.0,0.9095185126330844,0.9307690268295293,-0.02125051419644497
2950.0,0.923534525583706,0.9343199712734059,-0.010785445689699968
3050.0,0.942113709307657,0.947616925905753,-0.005503216598095939
3150.0,0.929136690647482,0.9525690401863263,-0.02343234953884421
3250.0,0.9299441600744532,0.945301605359219,-0.015357445284765792
3350.0,0.9678311111111112,0.9537850264622826,0.014046084648828616
3450.0,0.9371433342876229,0.9600473777021223,-0.022904043414499475
3550.0,0.902516733601071,0.9514133489166693,-0.0488966153155983
3650.0,0.9268923366243534,0.9536349930194615,-0.02674265639510809
3750.0,0.907411907654921,0.9500146725061483,-0.04260276485122738
3850.0,0.9467889908256881,0.9512298239095169,-0.00444083308382881
3950.0,0.9573490813648293,0.9590499655573185,-0.0017008841924891493
4050.0,0.8907103825136612,0.9648970857958019,-0.07418670328214072
4150.0,0.9375,0.9752701542175226,-0.03777015421752261
4250.0,0.9466950959488273,0.9857796775514664,-0.03908458160263917
4350.0,0.9178459119496856,0.9775324426347946,-0.059686530685108985
4450.0,0.9734660033167495,0.9900131678761074,-0.016547164559357896
4550.0,0.9859154929577465,0.9794734049608702,0.006442087996876289
4650.0,1.0,0.9762380451469435,0.023761954853056544
4750.0,0.9212962962962963,0.9875588268367659,-0.0662625305404696
4850.0,0.9833333333333334,0.9832649522948029,6.838103853046285e-05
4950.0,0.956989247311828,0.9343764808579623,0.022612766453865674
5050.0,0.7016460905349795,0.9775948791054531,-0.27594878857047356
5150.0,1.0,0.9984143333924036,0.0015856666075964032
5250.0,1.0,0.989525150547318,0.010474849452681956
5350.0,0.9935897435897435,0.9982187698664972,-0.004629026276753656
5450.0,1.0,0.9871365914786968,0.012863408521303188
5550.0,1.0,0.9845215548340549,0.015478445165945098
5650.0,1.0,0.9834983498349834,0.01650165016501659
5750.0,,1.0,
5850.0,1.0,,
5950.0,,1.0,
6050.0,1.0,1.0,0.0
6150.0,1.0,1.0,0.0
6250.0,1.0,1.0,0.0
6350.0,,1.0,
6450.0,,1.0,
6550.0,1.0,1.0,0.0
6650.0,,1.0,
6750.0,1.0,1.0,0.0
6850.0,1.0,1.0,0.0
7250.0,,1.0,
7350.0,1.0,1.0,0.0
7450.0,1.0,1.0,0.0
