null,observed,null_mean,null_lo,null_hi,quantile,n_rep,notes
size_matched_split,-0.028378857312907457,-0.02882351390411883,-0.08050176350002572,0.0036772762815106574,0.34134134134134136,999,random 131/378 genus splits
label_shuffle,-0.028378857312907457,-0.02783578115785371,-0.08048993321656107,0.0030238327219254536,0.32732732732732733,999,"permute guild labels across genera, keep pool sizes"
