pop1,pop2,region1,region2,geo_dist_km,nean_corr,residual,z_residual,has_admixed
KHV,PEL,EAST_ASIA,AMERICA,19465.047552833086,0.662044411526072,0.4540215234861803,2.1415693669937355,True
CHS,PEL,EAST_ASIA,AMERICA,18368.66136838766,0.6727753211535574,0.43696420549093556,2.061111882464813,True
CDX,PEL,EAST_ASIA,AMERICA,18858.42581111367,0.6505755967782528,0.42717770376388425,2.0149500350093095,True
CLM,Pathan,AMERICA,CENTRAL_SOUTH_ASIA,14398.523125556374,0.7629732692155298,0.42653784183622434,2.0119318769870635,True
CLM,Sindhi,AMERICA,CENTRAL_SOUTH_ASIA,14763.79193157874,0.7450361874321773,0.4178586044777964,1.9709928732302457,True
CLM,PJL,AMERICA,CENTRAL_SOUTH_ASIA,14690.970777949577,0.7459425121245103,0.4169192557919844,1.9665620692564294,True
Balochi,CLM,CENTRAL_SOUTH_ASIA,AMERICA,14444.815294156124,0.7503285493848075,0.4150664105204886,1.9578224028090183,True
BEB,PEL,CENTRAL_SOUTH_ASIA,AMERICA,18154.368132567157,0.6534391356219148,0.412196695395491,1.9442862736041644,True
BEB,CLM,CENTRAL_SOUTH_ASIA,AMERICA,16437.781579419334,0.6945500545920619,0.4098002275071311,1.932982399331226,True
Burusho,CLM,CENTRAL_SOUTH_ASIA,AMERICA,14414.040455233611,0.7451197631009999,0.4090776269682329,1.9295739724205478,True
CHB,PEL,EAST_ASIA,AMERICA,16645.13654643956,0.6872830174383062,0.4077886624707811,1.9234940692880054,True
CLM,Russian,AMERICA,EUROPE,10923.77396057028,0.8304718030502279,0.40596784462009966,1.9149054726462573,True
CLM,Makrani,AMERICA,CENTRAL_SOUTH_ASIA,14270.310133312723,0.7421551260999387,0.40247010303691894,1.8984070120211236,True
PEL,Yi,AMERICA,EAST_ASIA,18343.898556597363,0.6373003352073632,0.4008615988574598,1.8908198755105878,True
PUR,Russian,AMERICA,EUROPE,9215.301697397346,0.8668145607104384,0.39900887446787464,1.8820807792497944,True
CLM,STU,AMERICA,CENTRAL_SOUTH_ASIA,16888.3077787094,0.6711976527517713,0.3978665435907702,1.8766925307046738,True
PUR,TSI,AMERICA,EUROPE,7632.995430792754,0.9025058413297232,0.3945961412560097,1.8612664041984024,True
CLM,FIN,AMERICA,EUROPE,10037.829236131856,0.8415481148383416,0.3945896289678619,1.8612356864546724,True
CLM,GIH,AMERICA,CENTRAL_SOUTH_ASIA,15265.62751255378,0.7088862349022318,0.39442782111575975,1.8604724566924788,True
CLM,ITU,AMERICA,CENTRAL_SOUTH_ASIA,16563.97454594591,0.6759110560328547,0.39435962649066736,1.860150790179909,True
FIN,PUR,EUROPE,AMERICA,8324.449114978024,0.8838684468071846,0.39348384203229103,1.8560198116444717,True
Balochi,PUR,CENTRAL_SOUTH_ASIA,AMERICA,12807.063862744031,0.7697974213540015,0.3930259947850483,1.8538601967611756,True
MXL,STU,AMERICA,CENTRAL_SOUTH_ASIA,16494.137609437163,0.6758312514880026,0.39250978442098006,1.8514252895036416,True
CEU,PUR,EUROPE,AMERICA,7369.94532972296,0.9063062318711796,0.39172945026322825,1.8477445394911127,True
PEL,Tu,AMERICA,EAST_ASIA,17288.97184668382,0.6539691653757616,0.39079300387743454,1.8433274253458427,True
PUR,Pathan,AMERICA,CENTRAL_SOUTH_ASIA,12703.312487405874,0.7681007694115447,0.38869973397395513,1.833453702470945,True
Cambodian,PEL,EAST_ASIA,AMERICA,19790.371876538306,0.5884706499610022,0.38869320179128186,1.8334228908869363,True
Hazara,MXL,CENTRAL_SOUTH_ASIA,AMERICA,13461.97270183291,0.7487162233056915,0.38854365227772186,1.8327174823533723,True
Miao,PEL,EAST_ASIA,AMERICA,18233.421817250648,0.6242259141675613,0.38498711263666846,1.815941677785132,True
PUR,Palestinian,AMERICA,MIDDLE_EAST,9997.97468061708,0.8321410428601582,0.38417243165596004,1.8120989176032776,True
Brahui,CLM,CENTRAL_SOUTH_ASIA,AMERICA,14404.226665760913,0.7203687603337644,0.3840778908444686,1.8116529790401315,True
BEB,MXL,CENTRAL_SOUTH_ASIA,AMERICA,14571.560732457783,0.7159868610498935,0.3839371222865944,1.8109889893044369,True
PEL,Tujia,AMERICA,EAST_ASIA,18025.190885203312,0.6282218070830868,0.38370533184568745,1.8098956594023723,True
ITU,MXL,CENTRAL_SOUTH_ASIA,AMERICA,15922.063660832477,0.6806353600239795,0.38281451187537024,1.8056937600182,True
Han,PEL,EAST_ASIA,AMERICA,16645.13654643956,0.6587265590983304,0.37923220413080533,1.788796410152499,True
Makrani,PUR,CENTRAL_SOUTH_ASIA,AMERICA,12672.364973605863,0.7589179512871165,0.37873254208594537,1.7864395594884486,True
CLM,Hazara,AMERICA,CENTRAL_SOUTH_ASIA,14050.168291744949,0.7239878126435237,0.37872323039820127,1.7863956372860943,True
PUR,Sindhi,AMERICA,CENTRAL_SOUTH_ASIA,13137.57959199813,0.746064842354109,0.37767043334311706,1.7814297098879448,True
Hazara,PEL,CENTRAL_SOUTH_ASIA,AMERICA,15605.890286270384,0.6834655200356731,0.3776311654919406,1.7812444877721705,True
MXL,PJL,AMERICA,CENTRAL_SOUTH_ASIA,13870.375741765938,0.7267336930732122,0.3769122162093982,1.7778532834343395,True
Naxi,PEL,EAST_ASIA,AMERICA,18318.0105383176,0.6119470880458675,0.37485221232202326,1.768136472682251,True
Dai,PEL,EAST_ASIA,AMERICA,18964.589791053968,0.5950979934147921,0.37439085743637446,1.7659603126561096,True
JPT,PEL,EAST_ASIA,AMERICA,15490.149021521083,0.6831118315229392,0.3743439808664086,1.7657392010544002,True
CEU,CLM,EUROPE,AMERICA,9037.2633568878,0.8449961832774593,0.3726780633670498,1.757881252256794,True
GBR,PUR,EUROPE,AMERICA,6809.220568961474,0.900878485870706,0.3720899716572197,1.7551072886325927,True
PEL,Xibo,AMERICA,EAST_ASIA,15881.621163196529,0.6682900327262118,0.36944415767934047,1.7426272764025943,True
Brahui,PUR,CENTRAL_SOUTH_ASIA,AMERICA,12769.277499506625,0.7464306217658632,0.36870148879968156,1.7391241893456533,True
PEL,Uygur,AMERICA,CENTRAL_SOUTH_ASIA,16087.672945371996,0.661733089582691,0.36810965705324095,1.7363325843819513,True
Mongolian,PEL,EAST_ASIA,AMERICA,16105.250910055533,0.6612263956082999,0.3680484817206389,1.7360440270965825,True
IBS,PUR,EUROPE,AMERICA,6397.56399915461,0.9065676038027094,0.36734553376147283,1.7327282992333268,True
CLM,TSI,AMERICA,EUROPE,9253.023953342328,0.8338304881912121,0.3669808835278523,1.7310082843670875,True
GIH,MXL,CENTRAL_SOUTH_ASIA,AMERICA,14807.512647855245,0.6927977381906842,0.36672826954215343,1.7298167321047786,True
PJL,PUR,CENTRAL_SOUTH_ASIA,AMERICA,13000.742119046146,0.7363576323864843,0.3644950377127624,1.719282824288039,True
Adygei,CLM,EUROPE,AMERICA,11504.650474292046,0.7739135365731448,0.3641320628048996,1.7175707117483126,True
Druze,PUR,MIDDLE_EAST,AMERICA,9999.650136410906,0.8104149324503633,0.36248878616193225,1.7098195573689932,True
Oroqen,PEL,EAST_ASIA,AMERICA,15250.49036855486,0.6764604841110571,0.3616184149949506,1.7057141127310163,True
Adygei,PUR,EUROPE,AMERICA,9838.827683692578,0.8119173573538858,0.359915119094957,1.697679854147098,True
Burusho,PUR,CENTRAL_SOUTH_ASIA,AMERICA,12705.45279257658,0.7378019083494488,0.35845511957066384,1.6907931976885155,True
Japanese,PEL,EAST_ASIA,AMERICA,15490.149021521083,0.6664005959628435,0.3576327453063129,1.6869141491376562,True
PEL,She,AMERICA,EAST_ASIA,17654.940687509905,0.6114500603431644,0.35754948585603813,1.6865214235090296,True
NorthernHan,PEL,EAST_ASIA,AMERICA,16645.13654643956,0.636065567407062,0.3565712124395369,1.6819070158808695,True
PEL,Yakut,AMERICA,EAST_ASIA,14049.6386644458,0.7009295351918312,0.3556515293881378,1.6775689725319634,True
CLM,Palestinian,AMERICA,MIDDLE_EAST,11527.74170596796,0.7629466174725167,0.35375039770601185,1.6686015444201854,True
Burusho,MXL,CENTRAL_SOUTH_ASIA,AMERICA,13348.01978114828,0.7156178577324749,0.3525571166936243,1.6629729697157918,True
Bedouin,PUR,MIDDLE_EAST,AMERICA,10057.572357445926,0.7973786711989703,0.350920580496582,1.6552536092752315,True
MXL,Sindhi,AMERICA,CENTRAL_SOUTH_ASIA,14480.99980869514,0.68515417613471,0.3508091443451548,1.6547279772601682,True
CLM,GBR,AMERICA,EUROPE,8495.325592543953,0.8360639327686004,0.35001024215637866,1.6509596438966523,True
PEL,STU,AMERICA,CENTRAL_SOUTH_ASIA,17531.571384138795,0.6069241930238732,0.34989678756024384,1.6504244911008965,True
ITU,PEL,CENTRAL_SOUTH_ASIA,AMERICA,17549.052174392324,0.6051312933019568,0.3485469435658455,1.644057426107089,True
French,PUR,EUROPE,AMERICA,6915.282440130014,0.8736086772560346,0.3475083321018976,1.639158410575137,True
Daur,PEL,EAST_ASIA,AMERICA,15515.634306301126,0.6550730218409985,0.3469511031603949,1.636530023219486,True
CLM,Uygur,AMERICA,CENTRAL_SOUTH_ASIA,14291.40471062592,0.6851738093267741,0.3460234344783165,1.6321543125328999,True
JPT,KHV,EAST_ASIA,EAST_ASIA,3989.201156060193,0.9447391570440932,0.34447642830841596,1.6248572553392884,False
MXL,Pathan,AMERICA,CENTRAL_SOUTH_ASIA,13579.939010254777,0.7013256211002191,0.3441429405658971,1.6232842305008128,True
Lahu,PEL,EAST_ASIA,AMERICA,18817.84361084365,0.5685686682895786,0.34414220757294106,1.6232807730540186,True
MXL,Uygur,AMERICA,CENTRAL_SOUTH_ASIA,12826.87432783256,0.7194755088129923,0.34320618425973587,1.6188656544954085,True
CLM,Druze,AMERICA,MIDDLE_EAST,11538.141133620466,0.7502102427737831,0.3412775995342847,1.609768733411217,True
GIH,PUR,CENTRAL_SOUTH_ASIA,AMERICA,13633.62670288036,0.696448106799077,0.34062615649319494,1.6066959485563783,True
CLM,IBS,AMERICA,EUROPE,7982.432820360986,0.836923503600964,0.33787039608466796,1.5936973311596523,True
CDX,JPT,EAST_ASIA,EAST_ASIA,4121.798419246279,0.934329477870366,0.33742746544417956,1.591608076262463,False
CHB,KHV,EAST_ASIA,EAST_ASIA,2842.0709302826463,0.9664262768271474,0.3370891979408942,1.5900125058205092,False
PUR,STU,AMERICA,CENTRAL_SOUTH_ASIA,15391.389758469297,0.6464748455128899,0.33520391252964765,1.5811198228178085,True
PEL,PJL,AMERICA,CENTRAL_SOUTH_ASIA,16255.795292284687,0.6237516726819162,0.33438935007044696,1.577277621688812,True
BEB,PUR,CENTRAL_SOUTH_ASIA,AMERICA,14724.499926594988,0.6624500716789555,0.3342766213981415,1.576745892995561,True
ITU,PUR,CENTRAL_SOUTH_ASIA,AMERICA,14978.22835936329,0.6548840410665927,0.3331414119181067,1.5713912352936614,True
KHV,Karitiana,EAST_ASIA,AMERICA,18649.890071433096,0.5609125997316385,0.33222930757239716,1.5670889398622139,False
CHS,JPT,EAST_ASIA,EAST_ASIA,2902.3497300501,0.9597042181964957,0.3318949230715913,1.5655116851139703,False
PUR,Sardinian,AMERICA,EUROPE,7503.669167521993,0.84278561695082,0.33159810501450737,1.564111627130506,True
Han,KHV,EAST_ASIA,EAST_ASIA,2842.0709302826463,0.9606254546975116,0.33128837581125836,1.5626506686969754,False
CHS,Karitiana,EAST_ASIA,AMERICA,18506.27613446261,0.563239902558227,0.33091667327924623,1.5608973889183453,False
KHV,Maya,EAST_ASIA,AMERICA,15994.009793041689,0.6265642527442316,0.3305669003006652,1.5592475484205213,False
CHB,CHS,EAST_ASIA,EAST_ASIA,1890.7029912915737,0.9815978713988504,0.3281480946177182,1.5478383092383456,False
CLM,Kalash,AMERICA,CENTRAL_SOUTH_ASIA,14268.049786971234,0.6674352399853726,0.32769292778506287,1.545691337574532,True
Japanese,KHV,EAST_ASIA,EAST_ASIA,3989.201156060193,0.926353705389362,0.3260909766536848,1.5381351110678285,False
Hezhen,PEL,EAST_ASIA,AMERICA,15216.832428484506,0.6417465508880111,0.3260514114639636,1.537948486438988,True
CLM,French,AMERICA,EUROPE,8560.00941565571,0.8098542784994873,0.32544001825006896,1.5350646121944127,True
MXL,PEL,AMERICA,AMERICA,4839.430082497166,0.9004155686803356,0.3217021400675989,1.5174334537601897,True
CDX,CHB,EAST_ASIA,EAST_ASIA,2522.2054996593984,0.9570456677381752,0.3196015062190837,1.5075249959701105,False
Bedouin,CLM,MIDDLE_EAST,AMERICA,11561.219142556803,0.7273865400226807,0.3190388156507314,1.5048708467239982,True
