analysis_group,closest_reference,n_segments,group_total,proportion
Admixed Americas,Altai,3,150,0.02
Admixed Americas,Chagyrskaya,35,150,0.23333333333333334
Admixed Americas,Tie,52,150,0.3466666666666667
Admixed Americas,Vindija,60,150,0.4
Central/South Asia,Altai,9,140,0.06428571428571428
Central/South Asia,Chagyrskaya,45,140,0.32142857142857145
Central/South Asia,Tie,42,140,0.3
Central/South Asia,Vindija,44,140,0.3142857142857143
East Asia,Altai,31,69,0.4492753623188406
East Asia,Chagyrskaya,25,69,0.36231884057971014
East Asia,Tie,12,69,0.17391304347826086
East Asia,Vindija,1,69,0.014492753623188406
Europe,Altai,20,388,0.05154639175257732
Europe,Chagyrskaya,127,388,0.327319587628866
Europe,Tie,113,388,0.2912371134020619
Europe,Vindija,128,388,0.32989690721649484
Indigenous Americas,Vindija,2,2,1.0
Middle East,Altai,5,59,0.0847457627118644
Middle East,Chagyrskaya,16,59,0.2711864406779661
Middle East,Tie,15,59,0.2542372881355932
Middle East,Vindija,23,59,0.3898305084745763
Oceania,Chagyrskaya,13,26,0.5
Oceania,Tie,13,26,0.5
