pop1,pop2,region1,region2,continent1,continent2,dataset1,dataset2,n1,n2,nean_corr,deni_corr,nean_spearman,deni_spearman,nean_cosine,deni_cosine,nean_full_corr,deni_full_corr,nean_jaccard,deni_jaccard,nean_nonzero_union_bins,deni_nonzero_union_bins,geo_dist_km,same_dataset,same_continent,any_admixed,max_admix_eur
Adygei,BEB,EUROPE,CENTRAL_SOUTH_ASIA,EUR,SAS,HGDP,1000 Genomes,16,131,0.60488417407839,0.49568901621302336,0.5797889821602449,0.24456309712607915,0.769713282585144,0.5637885928153992,0.678567636460071,0.5441772746230149,0.6602040816326531,0.17596101786681104,3920,1847,5085.050705165719,0,0,0,0.0
Adygei,Balochi,EUROPE,CENTRAL_SOUTH_ASIA,EUR,SAS,HGDP,HGDP,16,24,0.7470251810885135,0.6504468685792006,0.6421348530000875,0.08322816796307123,0.8672305345535278,0.7424916625022888,0.8171728759930559,0.7326032385287129,0.70581150255947,0.28308823529411764,3321,816,2979.0702547201317,1,0,0,0.0
Adygei,Basque,EUROPE,EUROPE,EUR,EUR,HGDP,HGDP,16,23,0.7268428167741474,0.6097933187241577,0.6215869076810338,0.18710611393289464,0.8555378317832947,0.7502594590187073,0.8075986349025223,0.7431722679581828,0.7014435695538058,0.4221218961625282,3048,443,3340.3504852890997,1,1,0,0.0
Adygei,Bedouin,EUROPE,MIDDLE_EAST,EUR,WAS,HGDP,HGDP,16,46,0.7492070154764537,0.609666319872957,0.6602332082691446,0.13083429404497599,0.8642657995223999,0.7232177257537842,0.817098276513738,0.7134921787322253,0.7285361334156887,0.3298662704309064,3238,673,1671.0888600693415,1,0,0,0.0
Adygei,BergamoItalian,EUROPE,EUROPE,EUR,EUR,HGDP,HGDP,16,12,0.7120874102012199,0.5705756680473116,0.6056719289310876,0.11855638687388671,0.8509027361869812,0.7237816452980042,0.8017097764485934,0.7160757761460272,0.6800404585300067,0.3659090909090909,2966,440,2367.7392282941028,1,1,0,0.0
Adygei,Bougainville,EUROPE,OCEANIA,EUR,OCE,HGDP,HGDP,16,11,0.10169469848896827,-0.10722962447077393,-0.060714306643725596,-0.29394351456001044,0.45750510692596436,0.15296940505504608,0.302383173751519,0.08451268297151278,0.4293628808864266,0.09229258713794797,3249,2037,12497.576490473142,1,0,0,0.0
Adygei,Brahui,EUROPE,CENTRAL_SOUTH_ASIA,EUR,SAS,HGDP,HGDP,16,25,0.7356552610424799,0.6407539936496387,0.6353601561050976,0.10726132474158798,0.8612568974494934,0.7370931506156921,0.8089916456082626,0.7269554647938088,0.7050316360349503,0.2894409937888199,3319,805,2944.5283311730313,1,0,0,0.0
Adygei,Burusho,EUROPE,CENTRAL_SOUTH_ASIA,EUR,SAS,HGDP,HGDP,16,24,0.6785842527179305,0.6006433696495858,0.5598276138048255,0.10357004805462601,0.8306571245193481,0.6954511404037476,0.7651257276705196,0.6833479626447407,0.6927374301675978,0.2692307692307692,3401,936,3042.6606841877424,1,0,0,0.0
Adygei,CDX,EUROPE,EAST_ASIA,EUR,EAS,HGDP,1000 Genomes,16,93,0.28361329127749824,0.31180464505164934,0.14099823459367353,-0.08896010416406977,0.569344699382782,0.45329368114471436,0.4314591189124941,0.43066139264436737,0.5556189389617798,0.1925133689839572,3506,1122,5961.603325783666,0,0,0,0.0
Adygei,CEU,EUROPE,EUROPE,EUR,EUR,HGDP,1000 Genomes,16,179,0.8232569488060888,0.7387958685051985,0.7557703034695455,0.34495344194341365,0.9019677639007568,0.8069939017295837,0.8665608055234524,0.8006319854895096,0.7333916083916084,0.3778409090909091,3432,704,2469.484488874899,0,1,0,0.0
