pop1,pop2,region1,region2,continent1,continent2,dataset1,dataset2,n1,n2,nean_corr,deni_corr,nean_spearman,deni_spearman,nean_cosine,deni_cosine,nean_full_corr,deni_full_corr,nean_jaccard,deni_jaccard,nean_nonzero_union_bins,deni_nonzero_union_bins,geo_dist_km,same_dataset,same_continent,any_admixed,max_admix_eur,geo_dist_1000km,nean_predicted,nean_resid_corrected,nean_resid_z,nean_perm_pval,nean_fdr_pval,deni_predicted,deni_resid_corrected,deni_resid_z,deni_perm_pval,deni_fdr_pval
Adygei,BEB,EUROPE,CENTRAL_SOUTH_ASIA,EUR,SAS,HGDP,1000 Genomes,16,131,0.60488417407839,0.4956890162130233,0.5797889821602449,0.2445630971260791,0.769713282585144,0.5637885928153992,0.678567636460071,0.5441772746230149,0.6602040816326531,0.175961017866811,3920,1847,5085.050705165719,0,0,0,0.0,5.0850507051657186,0.49727452016815593,0.10760965391023408,0.6682072543283076,0.3851,0.7830218994413408,0.30483194600815505,0.19085707020486825,0.9993077205537898,0.2929,0.818065592064476
Adygei,Balochi,EUROPE,CENTRAL_SOUTH_ASIA,EUR,SAS,HGDP,HGDP,16,24,0.7470251810885135,0.6504468685792006,0.6421348530000875,0.0832281679630712,0.8672305345535278,0.7424916625022888,0.8171728759930559,0.7326032385287129,0.70581150255947,0.2830882352941176,3321,816,2979.070254720132,1,0,0,0.0,2.979070254720132,0.4621852588090996,0.28483992227941385,1.7687270191221605,0.1737,0.7830218994413408,0.2392232488633029,0.4112236197158977,2.1531239980529175,0.088,0.818065592064476
Adygei,Basque,EUROPE,EUROPE,EUR,EUR,HGDP,HGDP,16,23,0.7268428167741474,0.6097933187241577,0.6215869076810338,0.1871061139328946,0.8555378317832947,0.7502594590187073,0.8075986349025223,0.7431722679581828,0.7014435695538058,0.4221218961625282,3048,443,3340.3504852891,1,1,0,0.0,3.3403504852891,0.7508489456130739,-0.0240061288389265,-0.1490671966280259,0.5243,0.7830218994413408,0.5621200342122004,0.04767328451195729,0.24961234721783526,0.4145,0.818065592064476
Adygei,Bedouin,EUROPE,MIDDLE_EAST,EUR,WAS,HGDP,HGDP,16,46,0.7492070154764537,0.609666319872957,0.6602332082691446,0.1308342940449759,0.8642657995223999,0.7232177257537842,0.817098276513738,0.7134921787322253,0.7285361334156887,0.3298662704309064,3238,673,1671.0888600693415,1,0,0,0.0,1.6710888600693414,0.48867236596678365,0.2605346495096701,1.6178022740549665,0.2031,0.7830218994413408,0.2639842998081621,0.3456820200647949,1.809955015743338,0.1478,0.818065592064476
Adygei,BergamoItalian,EUROPE,EUROPE,EUR,EUR,HGDP,HGDP,16,12,0.7120874102012199,0.5705756680473116,0.6056719289310876,0.1185563868738867,0.8509027361869812,0.7237816452980042,0.8017097764485934,0.7160757761460272,0.6800404585300067,0.3659090909090909,2966,440,2367.7392282941028,1,1,0,0.0,2.3677392282941025,0.7705446834057925,-0.05845727320457261,-0.3629932130079299,0.5521,0.7830218994413408,0.5805322814983527,-0.009956613451041041,-0.05213178993848579,0.4548,0.818065592064476
Adygei,Bougainville,EUROPE,OCEANIA,EUR,OCE,HGDP,HGDP,16,11,0.1016946984889682,-0.1072296244707739,-0.0607143066437255,-0.2939435145600104,0.4575051069259643,0.152969405055046,0.302383173751519,0.0845126829715127,0.4293628808864266,0.0922925871379479,3249,2037,12497.576490473142,1,0,0,0.0,12.497576490473142,0.26943198595785606,-0.16773728746888786,-1.0415726492491215,0.6669,0.7830218994413408,0.05903091678096051,-0.1662605412517344,-0.8705228594254724,0.6793,0.818065592064476
Adygei,Brahui,EUROPE,CENTRAL_SOUTH_ASIA,EUR,SAS,HGDP,HGDP,16,25,0.7356552610424799,0.6407539936496387,0.6353601561050976,0.1072613247415879,0.8612568974494934,0.7370931506156921,0.8089916456082626,0.7269554647938088,0.7050316360349503,0.2894409937888199,3319,805,2944.528331173032,1,0,0,0.0,2.9445283311730317,0.46288474554046005,0.27277051550201986,1.6937814647872171,0.184,0.7830218994413408,0.23987715291131234,0.40087684073832636,2.0989493420967507,0.0927,0.818065592064476
Adygei,Burusho,EUROPE,CENTRAL_SOUTH_ASIA,EUR,SAS,HGDP,HGDP,16,24,0.6785842527179305,0.6006433696495858,0.5598276138048255,0.103570048054626,0.8306571245193481,0.6954511404037476,0.7651257276705196,0.6833479626447407,0.6927374301675978,0.2692307692307692,3401,936,3042.6606841877424,1,0,0,0.0,3.0426606841877426,0.4608975290857258,0.21768672363220476,1.3517360442710884,0.2626,0.7830218994413408,0.2380194352080839,0.36262393444150187,1.8986611130308602,0.1309,0.818065592064476
Adygei,CDX,EUROPE,EAST_ASIA,EUR,EAS,HGDP,1000 Genomes,16,93,0.2836132912774982,0.3118046450516493,0.1409982345936735,-0.0889601041640697,0.569344699382782,0.4532936811447143,0.4314591189124941,0.4306613926443673,0.5556189389617798,0.1925133689839572,3506,1122,5961.603325783666,0,0,0,0.0,5.961603325783666,0.47952400530104267,-0.19591071402354449,-1.2165168788701124,0.7095,0.7830218994413408,0.28823815944227993,0.02356648560936936,0.1233916615742008,0.4169,0.818065592064476
Adygei,CEU,EUROPE,EUROPE,EUR,EUR,HGDP,1000 Genomes,16,179,0.8232569488060888,0.7387958685051985,0.7557703034695455,0.3449534419434136,0.9019677639007568,0.8069939017295837,0.8665608055234524,0.8006319854895096,0.7333916083916084,0.3778409090909091,3432,704,2469.484488874899,0,1,0,0.0,2.469484488874899,0.8462204488697662,-0.022963500063677422,-0.1425929437531487,0.5192,0.7830218994413408,0.6840826266243455,0.054713241880853025,0.2864728300050619,0.4069,0.818065592064476
