pop1,pop2,region1,region2,geo_dist_km,deni_corr,residual,z_residual,has_admixed
PUR,TSI,AMERICA,EUROPE,7632.995430792754,0.8244460874472823,0.5335002546136483,2.1936329197472055,True
CEU,PUR,EUROPE,AMERICA,7369.94532972296,0.8309419576872911,0.532736454301848,2.190492344848527,True
CHB,CHS,EAST_ASIA,EAST_ASIA,1890.7029912915737,0.9556338944240322,0.5062119722318089,2.0814296470430333,False
IBS,PUR,EUROPE,AMERICA,6397.56399915461,0.8283098953563327,0.5032685607663123,2.069327001859198,True
GBR,PUR,EUROPE,AMERICA,6809.220568961474,0.816357133597482,0.502676718714893,2.0668934806076957,True
KHV,PEL,EAST_ASIA,AMERICA,19465.047552833086,0.4645915465308357,0.5001873116989285,2.05665759949303,True
FIN,PUR,EUROPE,AMERICA,8324.449114978024,0.7719350451967198,0.5000719875781686,2.056183412675775,True
CHB,KHV,EAST_ASIA,EAST_ASIA,2842.0709302826463,0.917960111712973,0.4947940920371919,2.0344818946248453,False
MXL,PEL,AMERICA,AMERICA,4839.430082497166,0.8619673960572193,0.4939245995231424,2.0309067371890275,True
PUR,Russian,AMERICA,EUROPE,9215.301697397346,0.7339657871451617,0.486688526043285,2.0011536323725734,True
JPT,KHV,EAST_ASIA,EAST_ASIA,3989.201156060193,0.8728166141292674,0.481309154877144,1.9790348694000395,False
CHS,PEL,EAST_ASIA,AMERICA,18368.66136838766,0.4734280980350622,0.4787657395063429,1.9685769180912425,True
CEU,CLM,EUROPE,AMERICA,9037.2633568878,0.7305926836475441,0.4784019110418373,1.9670809373677496,True
CHS,Han,EAST_ASIA,EAST_ASIA,1890.7029912915737,0.927694542674674,0.47827262048245067,1.9665493236996578,False
CLM,FIN,AMERICA,EUROPE,10037.829236131856,0.7024176624045135,0.47784055966303446,1.9647727868965204,True
French,PUR,EUROPE,AMERICA,6915.282440130014,0.786825564025701,0.476072250252979,1.9575018967691942,True
CEU,IBS,EUROPE,EUROPE,1377.8170693265438,0.9380413609205148,0.4744647860253105,1.9508923658146433,False
CLM,TSI,AMERICA,EUROPE,9253.023953342328,0.7188858928583929,0.47264969256401207,1.9434291102028807,True
