window_size_bp,ancestry,populations,pairs,raw_distance_r,distance_qap_beta,distance_qap_p_two_sided,distance_only_r_squared,qap_permutations
250000,Neanderthal,66,2145,-0.4960420967143697,-0.027607840052618002,0.001,0.24605776171278815,999
250000,Denisovan,66,2145,-0.4636557254423614,-0.027692499158739056,0.001,0.21497663173548243,999
500000,Neanderthal,66,2145,-0.497138563883717,-0.02625938291506409,0.001,0.2471467517003646,999
500000,Denisovan,66,2145,-0.46166392962508196,-0.027419467487663114,0.001,0.21313358391687265,999
1000000,Neanderthal,66,2145,-0.4904712319654479,-0.023496931172929402,0.001,0.24056202938570415,999
1000000,Denisovan,66,2145,-0.45795785376309867,-0.027165946878848737,0.001,0.20972539582330363,999
