Date,doy,spawn_doy,tau,n_bins,fish_g_m2,n_schools,shoal_biomass,shoal_area,birds_total,alcids,larus,gannets,shearwaters,date,year,birds_per_bin,fish_per_bin
02-07-2009,183,205,-22,194,7.76e-05,1.0,0.358635501,75.0,13,7,4,1,0,2009-07-02,2009,0.06701030927835051,7.76e-05
04-07-2009,185,205,-20,193,0.001041455,2.0,0.319729978,97.5,31,11,5,15,0,2009-07-04,2009,0.16062176165803108,0.001041455
23-07-2009,204,205,-1,219,0.229934966,4.0,0.538694592,49.375,7,1,1,2,0,2009-07-23,2009,0.0319634703196347,0.229934966
27-07-2009,208,205,3,217,0.081208549,17.0,5.892605966,248.5294118,61,18,18,14,0,2009-07-27,2009,0.28110599078341014,0.081208549
29-07-2009,210,205,5,224,0.104755836,8.0,4.491019092,519.375,898,247,35,104,266,2009-07-29,2009,4.008928571428571,0.104755836
08-07-2009,219,205,14,229,0.033178672,9.0,12.6599942,75.83333333,34,15,2,13,0,2009-07-08,2009,0.14847161572052403,0.033178672
08-08-2009,220,205,15,222,0.076529484,8.0,8.642013102,94.75,685,211,5,14,381,2009-08-08,2009,3.0855855855855854,0.076529484
11-08-2009,223,205,18,219,0.01112854,10.0,1.091121445,87.75,800,264,2,40,441,2009-08-11,2009,3.65296803652968,0.01112854
14-08-2009,226,205,21,230,0.01192139,13.0,1.078919997,158.0769231,331,7,23,10,60,2009-08-14,2009,1.4391304347826086,0.01192139
15-08-2009,227,205,22,224,0.020774566,23.0,1.297397307,133.6956522,36,5,1,1,4,2009-08-15,2009,0.16071428571428573,0.020774566
17-07-2010,198,200,-2,210,0.055560175,4.0,16.89949465,912.5,5722,5238,116,230,28,2010-07-17,2010,27.247619047619047,0.055560175
19-07-2010,200,200,0,236,0.087083943,18.0,3.343312911,1035.555556,2197,1889,128,91,48,2010-07-19,2010,9.309322033898304,0.087083943
21-07-2010,202,200,2,227,0.137503922,12.0,5.92583317,213.2916667,3480,3133,61,243,36,2010-07-21,2010,15.330396475770925,0.137503922
23-07-2010,204,200,4,221,0.019093762,8.0,1.226592445,229.375,1589,1033,24,154,347,2010-07-23,2010,7.1900452488687785,0.019093762
27-07-2010,208,200,8,219,0.010157741,10.0,3.131300865,126.65,255,120,13,46,2,2010-07-27,2010,1.1643835616438356,0.010157741
31-07-2010,212,200,12,212,0.01479217,7.0,3.8767236,89.07142857,275,8,107,67,0,2010-07-31,2010,1.2971698113207548,0.01479217
