identified_name,accepted_name,genus,class,guild,n_occurrences
Camarasaurus sp.,Camarasaurus,Camarasaurus,Sauropoda,herbivore,72
Allosaurus sp.,Allosaurus,Allosaurus,Theropoda,predator,70
Stegosaurus sp.,Stegosaurus stenops,Stegosaurus,Ornithischia,herbivore,47
Apatosaurus sp.,Apatosaurus,Apatosaurus,Sauropoda,herbivore,44
Diplodocus sp.,Diplodocus,Diplodocus,Sauropoda,herbivore,43
Camptosaurus sp.,Camptosaurus dispar,Camptosaurus,Ornithischia,herbivore,21
Allosaurus fragilis,Allosaurus fragilis,Allosaurus,Theropoda,predator,12
Barosaurus sp.,Barosaurus lentus,Barosaurus,Sauropoda,herbivore,11
Apatosaurus excelsus,Brontosaurus excelsus,Brontosaurus,Sauropoda,herbivore,9
Brachiosaurus sp.,Brachiosaurus altithorax,Brachiosaurus,Sauropoda,herbivore,8
Dryosaurus sp.,Dryosaurus,Dryosaurus,Ornithischia,herbivore,8
Ceratosaurus sp.,Ceratosaurus,Ceratosaurus,Theropoda,predator,7
Camarasaurus grandis,Camarasaurus grandis,Camarasaurus,Sauropoda,herbivore,6
Nanosaurus agilis,Nanosaurus agilis,Nanosaurus,Ornithischia,herbivore,6
Allosaurus jimmadseni,Allosaurus jimmadseni,Allosaurus,Theropoda,predator,6
Camarasaurus ? sp.,Camarasaurus,Camarasaurus,Sauropoda,herbivore,6
Morosaurus sp.,Camarasaurus,Camarasaurus,Sauropoda,herbivore,5
Drinker nisti,Nanosaurus agilis,Nanosaurus,Ornithischia,herbivore,5
Diplodocus ? sp.,Diplodocus,Diplodocus,Sauropoda,herbivore,5
Stegosaurus ? sp.,Stegosaurus stenops,Stegosaurus,Ornithischia,herbivore,5
Stegosaurus stenops,Stegosaurus stenops,Stegosaurus,Ornithischia,herbivore,5
Apatosaurus ? sp.,Apatosaurus,Apatosaurus,Sauropoda,herbivore,5
Camptosaurus ? sp.,Camptosaurus dispar,Camptosaurus,Ornithischia,herbivore,4
Brontosaurus sp.,Brontosaurus,Brontosaurus,Sauropoda,herbivore,4
Antrodemus valens,Allosaurus fragilis,Allosaurus,Theropoda,predator,4
Dryosaurus altus,Dryosaurus altus,Dryosaurus,Ornithischia,herbivore,4
Diplodocus longus,Diplodocus longus,Diplodocus,Sauropoda,herbivore,4
Torvosaurus tanneri,Torvosaurus tanneri,Torvosaurus,Theropoda,predator,4
Camarasaurus supremus,Camarasaurus supremus,Camarasaurus,Sauropoda,herbivore,3
Othnielosaurus consors,Nanosaurus agilis,Nanosaurus,Ornithischia,herbivore,3
Haplocanthosaurus ? sp.,Haplocanthosaurus,Haplocanthosaurus,Sauropoda,herbivore,3
Othnielosaurus sp.,Nanosaurus agilis,Nanosaurus,Ornithischia,herbivore,3
Hesperosaurus mjosi,Hesperosaurus mjosi,Hesperosaurus,Ornithischia,herbivore,3
Camarasaurus lentus,Camarasaurus lentus,Camarasaurus,Sauropoda,herbivore,3
Brachiosaurus ? sp.,Brachiosaurus altithorax,Brachiosaurus,Sauropoda,herbivore,3
Barosaurus ? sp.,Barosaurus lentus,Barosaurus,Sauropoda,herbivore,3
Barosaurus lentus,Barosaurus lentus,Barosaurus,Sauropoda,herbivore,3
Allosaurus ? sp.,Allosaurus,Allosaurus,Theropoda,predator,3
Stegosaurus ungulatus,Stegosaurus stenops,Stegosaurus,Ornithischia,herbivore,3
Ceratosaurus nasicornis,Ceratosaurus nasicornis,Ceratosaurus,Theropoda,predator,2
Brontosaurus parvus,Brontosaurus parvus,Brontosaurus,Sauropoda,herbivore,2
Antrodemus sp.,Allosaurus,Allosaurus,Theropoda,predator,2
Camarasaurus cf. lentus,Camarasaurus lentus,Camarasaurus,Sauropoda,herbivore,2
Coelurus fragilis,Coelurus fragilis,Coelurus,Theropoda,predator,2
Coelurus sp.,Coelurus fragilis,Coelurus,Theropoda,predator,2
Apatosaurus ajax,Apatosaurus ajax,Apatosaurus,Sauropoda,herbivore,2
Haplocanthosaurus sp.,Haplocanthosaurus,Haplocanthosaurus,Sauropoda,herbivore,2
Diplodocus hallorum,Diplodocus hallorum,Diplodocus,Sauropoda,herbivore,2
Stegosaurus cf. stenops,Stegosaurus stenops,Stegosaurus,Ornithischia,herbivore,2
Tanycolagreus topwilsoni,Tanycolagreus topwilsoni,Tanycolagreus,Theropoda,predator,2
cf. Allosaurus sp.,Allosaurus,Allosaurus,Theropoda,predator,2
Torvosaurus sp.,Torvosaurus tanneri,Torvosaurus,Theropoda,predator,2
Stokesosaurus ? clevelandi,Stokesosaurus clevelandi,Stokesosaurus,Theropoda,predator,2
cf. Apatosaurus sp.,Apatosaurus,Apatosaurus,Sauropoda,herbivore,2
cf. Coelurus sp.,Coelurus fragilis,Coelurus,Theropoda,predator,2
Fruitadens haagarorum,Fruitadens haagarorum,Fruitadens,Ornithischia,herbivore,2
Morosaurus grandis,Camarasaurus grandis,Camarasaurus,Sauropoda,herbivore,2
Stegosaurus mjosi,Hesperosaurus mjosi,Hesperosaurus,Ornithischia,herbivore,2
Othnielia rex,Nanosaurus agilis,Nanosaurus,Ornithischia,herbivore,2
Laosaurus gracilis,Nanosaurus agilis,Nanosaurus,Ornithischia,herbivore,2
Creosaurus atrox,Allosaurus fragilis,Allosaurus,Theropoda,predator,2
Brontosaurus n. sp. amplus,Brontosaurus excelsus,Brontosaurus,Sauropoda,herbivore,1
Amphicoelias latus,Camarasaurus supremus,Camarasaurus,Sauropoda,herbivore,1
Allosaurus n. sp. lucaris,Allosaurus fragilis,Allosaurus,Theropoda,predator,1
Allosaurus n. sp. jimmadseni,Allosaurus jimmadseni,Allosaurus,Theropoda,predator,1
Allosaurus jimmadsoni,Allosaurus jimmadseni,Allosaurus,Theropoda,predator,1
Allosaurus n. sp. ferox,Allosaurus fragilis,Allosaurus,Theropoda,predator,1
Alcovasaurus ? longispinus,Miragaia longispinus,Miragaia,Ornithischia,herbivore,1
Allosaurus cf. fragilis,Allosaurus fragilis,Allosaurus,Theropoda,predator,1
"""Coelurus"" ""fragilis""",Coelurus fragilis,Coelurus,Theropoda,predator,1
Allosaurus n. sp. lucasi,Allosaurus ,Allosaurus,Theropoda,predator,1
Apatosaurus n. sp. yahnahpin,Brontosaurus yahnahpin,Brontosaurus,Sauropoda,herbivore,1
Apatosaurus n. sp. louisae,Apatosaurus louisae,Apatosaurus,Sauropoda,herbivore,1
Apatosaurus louisae,Apatosaurus louisae,Apatosaurus,Sauropoda,herbivore,1
Apatosaurus laticollis,Apatosaurus louisae,Apatosaurus,Sauropoda,herbivore,1
Apatosaurus n. sp. laticollis,Apatosaurus louisae,Apatosaurus,Sauropoda,herbivore,1
Apatosaurus n. sp. grandis,Camarasaurus grandis,Camarasaurus,Sauropoda,herbivore,1
Coelurus n. sp. agilis,Coelurus fragilis,Coelurus,Theropoda,predator,1
Coelurus agilis,Coelurus fragilis,Coelurus,Theropoda,predator,1
Ceratosaurus n. sp. magnicornis,Ceratosaurus nasicornis,Ceratosaurus,Theropoda,predator,1
Camptosaurus n. sp. browni,Camptosaurus dispar,Camptosaurus,Ornithischia,herbivore,1
