collection_no,collection_name,lng,lat,systems_tract,n_occurrences,n_genera,n_herbivore,n_predator
48153,Cope Quarry XIV,-105.231598,38.547501,5.0,1,1,1,0
48154,Cope Quarry XII,-105.2397,38.5527,5.0,2,2,2,0
48155,"Delfs Quarry, Garden Park (CMNH)",-105.2202,38.533501,2.0,1,1,1,0
48156,"Egg Gulch, Garden Park",-105.2202,38.533501,2.0,1,1,1,0
48158,"Cope Quarry XV, Oil Tract",-105.210602,38.5168,3.0,1,1,1,0
48160,"Kessler's Quarry, Garden Park",-105.212502,38.541,3.0,2,2,1,1
48161,"Small's Quarry, Garden Park",-105.212502,38.541,4.0,4,4,4,0
48162,Lindsey Quarry (DMNH),-105.193703,38.544998,4.0,3,3,2,1
48163,"DeWeese Quarry, Green Acres (DMNH)",-105.193703,38.544998,4.0,1,1,1,0
48164,"Greg's Bone, Garden Park",-105.193703,38.544998,4.0,1,1,1,0
48166,Valley of Death 5,-105.231598,38.546501,3.0,2,2,2,0
48168,"Lucas's Site, Garden Park",-105.231598,38.547501,,1,1,1,0
48169,"Meyer Site 3, Garden Park",-105.210602,38.5168,2.0,1,1,1,0
48170,"Kenny's Stegosaurus, Garden Park",-105.210602,38.5168,3.0,1,1,1,0
48171,"Meyer Site 2, Garden Park",-105.210602,38.5168,2.0,5,5,3,2
48172,"Meyer Site 1, Garden Park",-105.210602,38.5168,2.0,1,1,0,1
48557,Alcova Quarry (UW),-106.687599,42.552223,5.0,1,1,1,0
48565,Red Fork Powder River Quarry A,-106.780556,43.649166,6.0,1,1,1,0
48837,"Carnegie Quarry N, Sheep Creek",-105.90976,42.155437,,5,5,4,1
49338,"OMNH Quarry 1, Kenton (OMNH V92)",-102.824997,36.897499,5.0,10,9,7,3
49577,Bone Cabin Quarry West (BCQ West),-106.291,41.967098,6.0,11,11,8,3
49595,"Brush Creek, Yale College Scientific Party",-109.391602,40.5345,4.0,1,1,0,1
49596,"Stovall's Pit 5, Kenton (OMNH)",-102.962776,36.903057,4.0,6,6,5,1
49597,"Stovall's Pit 6, Kenton (OMNH)",-102.962776,36.903057,4.0,5,5,4,1
49598,"Stovall's Pit 8, Kenton (OMNH)",-102.962776,36.903057,4.0,1,1,1,0
49614,Hinkle Site (BYU),-109.252899,39.172699,,1,1,0,1
49621,Cabin Creek Quarry,-106.812202,38.537498,3.0,1,1,1,0
49622,Jones Hole Quarry,-108.397202,38.583099,4.0,3,3,2,1
49623,Potter Creek Quarry,-108.194443,38.638058,4.0,1,1,1,0
49624,Upper Strickland Creek Quarry,-110.616386,45.544167,4.0,5,5,4,1
49625,Bear Butte Quarry,-103.306946,44.474445,6.0,1,1,1,0
49626,Green River Dinosaur Quarry,-110.367203,39.014301,4.0,3,3,2,1
49627,Nail Quarry,-106.00222,41.893055,6.0,6,6,4,2
49628,Louise Quarry,-106.00222,41.893055,6.0,5,5,3,2
49629,op-KAT Locality,-105.963402,41.9077,,1,1,1,0
49630,Fuller's 351 (SDSM V351),-103.828003,44.528,6.0,3,3,2,1
49631,Wonderland Quarry (SDSM V9141),-103.344597,44.184399,6.0,3,3,2,1
49633,"Parker's Mystery Locality, Hot Springs (SDSM V381)",-103.409698,43.409801,6.0,1,1,1,0
49634,Inyan Kara Creek (SDSM V9137),-104.734703,44.458099,6.0,1,1,1,0
49636,"Little Houston Quarry (SDSM V9138, SDSM V941)",-104.734703,44.458099,6.0,8,4,5,3
49637,SDSM V9139,-104.409302,44.247398,6.0,1,1,1,0
49652,"Eriksen Ceratosaurus, FPA",-108.769012,39.146667,4.0,1,1,0,1
50714,"AMNH 03-30, Horse Coul̩e",-108.100197,45.453602,,2,2,2,0
51990,NMMNH locality L-210,-106.313911,35.317261,4.0,1,1,1,0
51991,NMMNH locality L-211,-106.313911,35.317261,,1,1,1,0
51992,NMMNH locality L-344,-106.943939,35.580383,4.0,1,1,1,0
52110,"DNM 315, Dinosaur National Monument",-109.317497,40.4436,5.0,1,1,1,0
52815,"Carnegie Quarry C, Sheep Creek",-105.908501,42.152802,,5,3,5,0
52816,"Carnegie Quarry E, Sheep Creek",-105.908501,42.152802,,4,3,4,0
52872,Middle Park (USNM 218),-105.940292,40.092209,,1,1,0,1
53040,"Main Callison Quarry, FPA",-108.769501,39.149235,4.0,2,2,2,0
53041,Uravan Locality (BYU),-108.827545,38.316418,4.0,1,1,1,0
55320,"Something Interesting Quarry (SI), unit 1",-108.184586,43.622528,6.0,3,3,3,0
55323,Ninemile Quarry (AMNH),-106.356903,41.916302,6.0,1,1,1,0
55329,"Kings View Quarry, Fruita",-108.774719,39.167778,,3,2,3,0
55330,Red Mountain,-106.589996,41.799999,,1,1,0,1
55349,"Buffalo Quarry, Smith Ranch",-106.698891,44.348057,,1,1,1,0
55350,Nielsen Gulch (DNM),-109.278313,40.440536,4.0,1,1,0,1
55482,Lynn Quarry,-106.145699,41.98,,4,4,3,1
55483,AMNH Stego 99 Quarry,-106.310997,41.951698,6.0,3,3,3,0
55484,Graff Ranch,-106.145699,41.98,,1,1,1,0
55486,"Bernice Quarry, Como Bluff",-105.979721,41.893055,6.0,2,2,2,0
55487,"Bertha Quarry, Como Bluff",-105.979721,41.893055,6.0,3,3,2,1
56165,Mile 175 (SDSM V931),-104.734001,44.458099,6.0,1,1,1,0
56421,"Stovall's Pit 3A, Kenton (OMNH)",-102.962776,36.903057,5.0,1,1,1,0
56422,"Stovall's Pit 9, Kenton (OMNH)",-102.962776,36.903057,4.0,1,1,1,0
56586,"Bollan Quarry, Rabbit Valley",-109.036133,39.200081,3.0,2,2,1,1
56590,Rabbit Valley Iguanodon,-109.036133,39.200081,4.0,3,3,2,1
56596,Rabbit Valley Camarasaurus,-109.036133,39.200081,4.0,1,1,1,0
56599,Rabbit Valley stop 11,-109.036133,39.200081,4.0,1,1,1,0
56654,Ninemile Hill,-106.145699,41.98,6.0,4,4,3,1
56683,"Riggs Quarry 13, Fruita (FMNH)",-108.650299,39.068802,4.0,1,1,1,0
56684,Holt Quarry,-108.647003,39.076099,4.0,3,3,2,1
