collection_no,collection_name,lng,lat,systems_tract,n_occurrences,n_genera,n_herbivore,n_predator
11611,"Mygatt-Moore Quarry, lower mudstone",-108.995796,39.2383,4.0,7,6,5,2
11924,"Riggs Quarry 12, Fruita (FMNH)",-108.699989,39.068802,4.0,1,1,1,0
11925,"Riggs Quarry 14, Fruita (FMNH)",-108.717499,39.111668,4.0,1,1,1,0
12816,"Quarry 9, Como Bluff (YPM)",-106.00222,41.893055,6.0,11,7,7,4
13212,"Quarry 1, Como Bluff (YPM)",-106.041,41.893101,6.0,6,3,5,1
13214,Freeze Out Mtns. Kansas Univ. Expedition,-106.389999,42.035831,6.0,6,4,3,3
13341,"Lakes Quarry 10, Morrison (YPM)",-105.187332,39.653423,4.0,3,2,2,1
13352,"Carnegie Quarry D, Sheep Creek",-105.916199,42.152302,4.0,4,4,4,0
21852,Dinosaur National Monument Quarry (CM),-109.300552,40.441387,4.0,19,11,15,4
22648,Bone Cabin Quarry (AMNH),-106.048615,42.017776,6.0,14,12,10,4
22650,"BS Quarry + S Quarry, Warm Springs Ranch",-108.120003,43.380001,6.0,3,2,2,1
22678,"RB Quarry, Warm Springs Ranch",-108.199997,43.630001,6.0,6,6,5,1
22711,Rainbow Park (DNM 94),-109.205833,40.423611,5.0,5,5,4,1
22717,"Peterson Quarry, NMMNH L-3282",-107.13279,35.197208,4.0,1,1,1,0
25141,Calico Gulch Dinosaur Quarry,-108.391647,40.455929,4.0,5,5,4,1
28366,"Felch Quarry 1, Garden Park (YPM)",-105.224701,38.539501,3.0,17,13,13,4
28382,"Lakes Quarry 5, Morrison (YPM)",-105.192596,39.675598,4.0,3,3,2,1
35293,Dominguez/Jones Quarry,-108.388,38.806,4.0,1,1,1,0
36265,Suwanee Peak,-107.133202,34.942299,4.0,1,1,0,1
36576,"Riggs Quarry 15, Fruita (FMNH)",-108.728699,39.128502,3.0,2,2,2,0
38866,Rattlesnake Ridge Quarry,-108.75,45.25,5.0,1,1,1,0
38867,NMMNH L-3281,-103.634003,36.214001,4.0,1,1,1,0
38871,NMMNH L-3285,-106.940559,35.320278,4.0,1,1,0,1
38872,"NMMNH L-369, Lee Acres",-106.769997,35.563332,4.0,1,1,1,0
38883,"CO-49, Dino Cove",-107.400002,38.450001,,3,3,2,1
38884,"Meilyn Quarry, Flat Top Anticline",-106.138054,41.980556,5.0,2,2,1,1
39253,"Quarry 13, Como Bluff (YPM)",-105.963402,41.9077,5.0,23,9,20,3
39337,"Quarry 1A, Como Bluff (YPM)",-106.079803,41.878601,5.0,3,2,1,2
39338,"Quarry 1-1/2, Como Bluff (YPM)",-106.079803,41.893101,6.0,1,1,0,1
39339,"Quarry 2, Como Bluff (YPM)",-106.060402,41.878601,6.0,1,1,1,0
39340,"Quarry 3, Como Bluff (YPM)",-106.021599,41.893101,6.0,4,4,3,1
39342,"Quarry 4, Como Bluff (YPM)",-105.982803,41.9077,6.0,5,5,4,1
39344,"Quarry 5, Como Bluff (YPM)",-106.078903,41.878601,6.0,4,4,4,0
39346,"Quarry 7, Como Bluff (YPM)",-106.099098,41.878601,6.0,1,1,1,0
39347,"Quarry 8, Como Bluff (YPM)",-106.021599,41.893101,6.0,5,5,3,2
39368,"Quarry 10, Como Bluff (YPM)",-106.002197,41.893101,6.0,1,1,1,0
39369,"Quarry 11, Como Bluff (YPM)",-106.002197,41.893101,6.0,2,2,2,0
39370,"Quarry 12, Como Bluff (YPM)",-106.1073,41.8825,6.0,8,7,3,5
39371,"Quarry 14, Como Bluff (YPM)",-106.002197,41.893101,6.0,1,1,0,1
39373,"Quarry C, Como Bluff (YPM)",-105.963402,41.9077,,1,1,0,1
39374,"Quarry D, Como Bluff (YPM)",-105.963402,41.9077,,1,1,0,1
39375,"Lakes Quarry 1, Morrison (YPM)",-105.192596,39.675598,4.0,1,1,0,1
39376,"Lakes Quarry 8, Morrison (YPM)",-105.192596,39.675598,4.0,2,2,2,0
39377,"Felch Quarry 2, Garden Park (YPM)",-105.224701,38.539501,3.0,2,2,1,1
45975,Dry Mesa Quarry [BYU],-108.397202,38.583099,4.0,17,15,10,7
46439,Cleveland-Lloyd Dinosaur Quarry,-110.687622,39.32399,4.0,16,11,9,7
46460,Howe Quarry,-107.779167,44.535557,5.0,5,5,4,1
46462,Howe Quarry 2,-107.779167,44.535557,5.0,2,2,1,1
46465,Howe-Stephens Quarry,-107.816666,44.650002,5.0,9,8,8,1
46468,Big Al Quarry (MOR M-106),-107.779167,44.535557,5.0,4,4,3,1
46469,"Spring Hill, Howe Ranch",-107.779167,44.535557,5.0,2,2,1,1
47065,East Camarasaurus Quarry '93,-106.291,41.967098,6.0,3,3,3,0
47196,Willow Springs Quarry,-111.270554,38.731667,,4,4,3,1
48124,"Hups Quarry, MWC Loc. 197",-108.476669,38.853611,5.0,2,2,1,1
48127,"Cope Quarry I, Cope's Nipple",-105.231598,38.547501,5.0,2,2,1,1
48128,"Cope Quarry II, Cope's Nipple",-105.231598,38.547501,5.0,2,2,1,1
48129,"Cope Quarry III, Cope's Nipple",-105.231598,38.547501,5.0,5,4,4,1
48130,"Cope Quarry IV, Cope's Nipple",-105.231598,38.547501,5.0,1,1,1,0
48146,"Cope Quarry V, Cope's Nipple",-105.231598,38.547501,5.0,1,1,1,0
48147,"Cope Quarry VI, Cope's Nipple",-105.231598,38.547501,5.0,1,1,1,0
48148,"Cope Quarry VII, Cope's Nipple",-105.231598,38.547501,5.0,1,1,1,0
48149,"Cope Quarry VIII, The Fort",-105.231598,38.547501,5.0,1,1,1,0
