occurrence_no,collection_no,collection_name,identified_name,identified_rank,accepted_name,accepted_rank,genus,family,class,guild,diet,lng,lat,Systems_tract,early_interval,late_interval,max_ma,min_ma,state,county,formation,member,abund_value,abund_unit,taxon,resolution
541212,56586,"Bollan Quarry, Rabbit Valley",Allosaurus sp.,genus,Allosaurus,genus,Allosaurus,NO_FAMILY_SPECIFIED,Theropoda,predator,carnivore,-109.036133,39.200081,3.0,Kimmeridgian,Tithonian,157.3,145.0,Colorado,Mesa,Morrison,Brushy Basin,1.0,individuals,Allosaurus,genus
382123,36265,Suwanee Peak,Allosaurus sp.,genus,Allosaurus,genus,Allosaurus,NO_FAMILY_SPECIFIED,Theropoda,predator,carnivore,-107.133202,34.942299,4.0,Kimmeridgian,Tithonian,157.3,145.0,New Mexico,Cibola,Morrison,Brushy Basin,,,Allosaurus,genus
405146,38871,NMMNH L-3285,Allosaurus sp.,genus,Allosaurus,genus,Allosaurus,NO_FAMILY_SPECIFIED,Theropoda,predator,carnivore,-106.940559,35.320278,4.0,Kimmeridgian,,157.3,152.1,New Mexico,Sandoval,Morrison,Brushy Basin,1.0,specimens,Allosaurus,genus
647862,68099,"NMMNH L-555, San Ysidro Camarasaurus Quarry",Allosaurus sp.,genus,Allosaurus,genus,Allosaurus,NO_FAMILY_SPECIFIED,Theropoda,predator,carnivore,-106.823196,35.515598,4.0,Late Kimmeridgian,Tithonian,155.7,145.0,New Mexico,Sandoval,Morrison,Brushy Basin,1.0,individuals,Allosaurus,genus
989286,119021,McConnell I,cf. Allosaurus sp.,genus,Allosaurus,genus,Allosaurus,NO_FAMILY_SPECIFIED,Theropoda,predator,carnivore,-106.920998,35.563457,4.0,Kimmeridgian,Tithonian,157.3,145.0,New Mexico,Sandoval,Morrison,Brushy Basin,,,Allosaurus,genus
491217,49596,"Stovall's Pit 5, Kenton (OMNH)",Allosaurus sp.,genus,Allosaurus,genus,Allosaurus,NO_FAMILY_SPECIFIED,Theropoda,predator,carnivore,-102.962776,36.903057,4.0,Late Kimmeridgian,Tithonian,155.7,145.0,Oklahoma,Cimarron,Morrison,,,,Allosaurus,genus
491223,49597,"Stovall's Pit 6, Kenton (OMNH)",Allosaurus sp.,genus,Allosaurus,genus,Allosaurus,NO_FAMILY_SPECIFIED,Theropoda,predator,carnivore,-102.962776,36.903057,4.0,Late Kimmeridgian,Tithonian,155.7,145.0,Oklahoma,Cimarron,Morrison,,,,Allosaurus,genus
1098144,58514,Hanksville-Burpee Quarry,Allosaurus sp.,genus,Allosaurus,genus,Allosaurus,NO_FAMILY_SPECIFIED,Theropoda,predator,carnivore,-110.813889,38.25222,4.0,Kimmeridgian,Tithonian,157.3,145.0,Utah,Wayne,Morrison,Brushy Basin,,,Allosaurus,genus
491425,49622,Jones Hole Quarry,Allosaurus sp.,genus,Allosaurus,genus,Allosaurus,NO_FAMILY_SPECIFIED,Theropoda,predator,carnivore,-108.397202,38.583099,4.0,Kimmeridgian,Tithonian,157.3,145.0,Colorado,Mesa,Morrison,Brushy Basin,1.0,individuals,Allosaurus,genus
647858,70031,Cactus Park Quarry 3A (CU-Denver),Allosaurus sp.,genus,Allosaurus,genus,Allosaurus,NO_FAMILY_SPECIFIED,Theropoda,predator,carnivore,-108.477219,38.853611,4.0,Late Kimmeridgian,Tithonian,155.7,145.0,Colorado,Mesa,Morrison,Brushy Basin,1.0,individuals,Allosaurus,genus
491432,49626,Green River Dinosaur Quarry,Allosaurus sp.,genus,Allosaurus,genus,Allosaurus,NO_FAMILY_SPECIFIED,Theropoda,predator,carnivore,-110.367203,39.014301,4.0,Kimmeridgian,Tithonian,157.3,145.0,Utah,Emery,Morrison,Brushy Basin,1.0,individuals,Allosaurus,genus
541717,56684,Holt Quarry,Allosaurus sp.,genus,Allosaurus,genus,Allosaurus,NO_FAMILY_SPECIFIED,Theropoda,predator,carnivore,-108.647003,39.076099,4.0,Kimmeridgian,Tithonian,157.3,145.0,Colorado,Mesa,Morrison,Brushy Basin,1.0,individuals,Allosaurus,genus
1397030,192455,"Fossil Ridge, FPA",Allosaurus sp.,genus,Allosaurus,genus,Allosaurus,NO_FAMILY_SPECIFIED,Theropoda,predator,carnivore,-108.771576,39.150227,4.0,Kimmeridgian,Tithonian,157.3,145.0,Colorado,Mesa,Morrison,Brushy Basin,1.0,specimens,Allosaurus,genus
541222,56590,Rabbit Valley Iguanodon,Allosaurus sp.,genus,Allosaurus,genus,Allosaurus,NO_FAMILY_SPECIFIED,Theropoda,predator,carnivore,-109.036133,39.200081,4.0,Kimmeridgian,,157.3,152.1,Colorado,Mesa,Morrison,Brushy Basin,1.0,individuals,Allosaurus,genus
408915,13341,"Lakes Quarry 10, Morrison (YPM)",Allosaurus sp.,genus,Allosaurus,genus,Allosaurus,NO_FAMILY_SPECIFIED,Theropoda,predator,carnivore,-105.187332,39.653423,4.0,Kimmeridgian,Tithonian,157.3,145.0,Colorado,Jefferson,Morrison,Brushy Basin,1.0,individuals,Allosaurus,genus
408918,39375,"Lakes Quarry 1, Morrison (YPM)",Allosaurus sp.,genus,Allosaurus,genus,Allosaurus,NO_FAMILY_SPECIFIED,Theropoda,predator,carnivore,-105.192596,39.675598,4.0,Late Kimmeridgian,Early Tithonian,155.7,145.0,Colorado,Jefferson,Morrison,Brushy Basin,1.0,specimens,Allosaurus,genus
578087,28382,"Lakes Quarry 5, Morrison (YPM)",Allosaurus sp.,genus,Allosaurus,genus,Allosaurus,NO_FAMILY_SPECIFIED,Theropoda,predator,carnivore,-105.192596,39.675598,4.0,Late Kimmeridgian,Early Tithonian,155.7,145.0,Colorado,Jefferson,Morrison,Brushy Basin,3.0,specimens,Allosaurus,genus
1320133,25141,Calico Gulch Dinosaur Quarry,Allosaurus sp.,genus,Allosaurus,genus,Allosaurus,NO_FAMILY_SPECIFIED,Theropoda,predator,carnivore,-108.391647,40.455929,4.0,Kimmeridgian,Tithonian,157.3,145.0,Colorado,Moffat,Morrison,,,,Allosaurus,genus
491207,49595,"Brush Creek, Yale College Scientific Party",Allosaurus sp.,genus,Allosaurus,genus,Allosaurus,NO_FAMILY_SPECIFIED,Theropoda,predator,carnivore,-109.391602,40.5345,4.0,Kimmeridgian,Tithonian,157.3,145.0,Utah,Uintah,Morrison,Brushy Basin,,,Allosaurus,genus
1606923,227263,Little Al site (VMNH),Allosaurus sp.,genus,Allosaurus,genus,Allosaurus,NO_FAMILY_SPECIFIED,Theropoda,predator,carnivore,-107.851501,44.655998,4.0,Kimmeridgian,Tithonian,157.3,145.0,Wyoming,Big Horn,Morrison,,,,Allosaurus,genus
1606917,227262,Nickopod Quarry (VMNH),Allosaurus sp.,genus,Allosaurus,genus,Allosaurus,NO_FAMILY_SPECIFIED,Theropoda,predator,carnivore,-107.851501,44.655998,4.0,Kimmeridgian,Tithonian,157.3,145.0,Wyoming,Big Horn,Morrison,,,,Allosaurus,genus
491429,49624,Upper Strickland Creek Quarry,Allosaurus sp.,genus,Allosaurus,genus,Allosaurus,NO_FAMILY_SPECIFIED,Theropoda,predator,carnivore,-110.616386,45.544167,4.0,Kimmeridgian,,157.3,152.1,Montana,Park,Morrison,,1.0,individuals,Allosaurus,genus
491424,48124,"Hups Quarry, MWC Loc. 197",Allosaurus sp.,genus,Allosaurus,genus,Allosaurus,NO_FAMILY_SPECIFIED,Theropoda,predator,carnivore,-108.476669,38.853611,5.0,Tithonian,,152.1,145.0,Colorado,Mesa,Morrison,Brushy Basin,1.0,individuals,Allosaurus,genus
220162,22711,Rainbow Park (DNM 94),Allosaurus sp.,genus,Allosaurus,genus,Allosaurus,NO_FAMILY_SPECIFIED,Theropoda,predator,carnivore,-109.205833,40.423611,5.0,Tithonian,,152.1,145.0,Utah,Uintah,Morrison,Brushy Basin,3.0,specimens,Allosaurus,genus
647854,70029,Masonville locality,Allosaurus sp.,genus,Allosaurus,genus,Allosaurus,NO_FAMILY_SPECIFIED,Theropoda,predator,carnivore,-105.210831,40.487499,5.0,Kimmeridgian,Tithonian,157.3,145.0,Colorado,Larimer,Morrison,,1.0,individuals,Allosaurus,genus
558003,57913,Rainbow Park microsite (DNM 96),Allosaurus sp.,genus,Allosaurus,genus,Allosaurus,NO_FAMILY_SPECIFIED,Theropoda,predator,carnivore,-109.1651,40.504601,5.0,Tithonian,,152.1,145.0,Utah,Uintah,Morrison,Brushy Basin,,,Allosaurus,genus
408734,39337,"Quarry 1A, Como Bluff (YPM)",Antrodemus sp.,genus,Allosaurus,genus,Allosaurus,NO_FAMILY_SPECIFIED,Theropoda,predator,carnivore,-106.079803,41.878601,5.0,Kimmeridgian,Tithonian,157.3,145.0,Wyoming,Carbon,Morrison,Brushy Basin,1.0,individuals,Allosaurus,genus
408735,39337,"Quarry 1A, Como Bluff (YPM)",Camptonotus n. sp. amplus,species,Allosaurus,genus,Allosaurus,NO_FAMILY_SPECIFIED,Theropoda,predator,carnivore,-106.079803,41.878601,5.0,Kimmeridgian,Tithonian,157.3,145.0,Wyoming,Carbon,Morrison,Brushy Basin,1.0,individuals,Allosaurus,genus
408071,39253,"Quarry 13, Como Bluff (YPM)",Allosaurus sp.,genus,Allosaurus,genus,Allosaurus,NO_FAMILY_SPECIFIED,Theropoda,predator,carnivore,-105.963402,41.9077,5.0,Kimmeridgian,Tithonian,157.3,145.0,Wyoming,Albany,Morrison,Lake Como,,,Allosaurus,genus
405201,38884,"Meilyn Quarry, Flat Top Anticline",Allosaurus sp.,genus,Allosaurus,genus,Allosaurus,NO_FAMILY_SPECIFIED,Theropoda,predator,carnivore,-106.138054,41.980556,5.0,Kimmeridgian,,157.3,152.1,Wyoming,Carbon,Morrison,,2.0,individuals,Allosaurus,genus
560970,58510,Poison Creek Quarry (MSM),Allosaurus sp.,genus,Allosaurus,genus,Allosaurus,NO_FAMILY_SPECIFIED,Theropoda,predator,carnivore,-106.778,44.087002,5.0,Kimmeridgian,,157.3,152.1,Wyoming,Johnson,Morrison,Brushy Basin,1.0,individuals,Allosaurus,genus
467535,46460,Howe Quarry,Allosaurus sp.,genus,Allosaurus,genus,Allosaurus,NO_FAMILY_SPECIFIED,Theropoda,predator,carnivore,-107.779167,44.535557,5.0,Kimmeridgian,,157.3,152.1,Wyoming,Big Horn,Morrison,Brushy Basin,,,Allosaurus,genus
467553,46462,Howe Quarry 2,Allosaurus sp.,genus,Allosaurus,genus,Allosaurus,NO_FAMILY_SPECIFIED,Theropoda,predator,carnivore,-107.779167,44.535557,5.0,Kimmeridgian,,157.3,152.1,Wyoming,Big Horn,Morrison,Brushy Basin,,,Allosaurus,genus
591705,62561,Red Canyon Ranch,Allosaurus sp.,genus,Allosaurus,genus,Allosaurus,NO_FAMILY_SPECIFIED,Theropoda,predator,carnivore,-107.814163,44.632221,5.0,Late Jurassic,,163.5,145.0,Wyoming,Big Horn,Morrison,,,,Allosaurus,genus
408853,39370,"Quarry 12, Como Bluff (YPM)",Antrodemus sp.,genus,Allosaurus,genus,Allosaurus,NO_FAMILY_SPECIFIED,Theropoda,predator,carnivore,-106.1073,41.8825,6.0,Kimmeridgian,Tithonian,157.3,145.0,Wyoming,Carbon,Morrison,Brushy Basin,1.0,individuals,Allosaurus,genus
541886,55487,"Bertha Quarry, Como Bluff",Allosaurus sp.,genus,Allosaurus,genus,Allosaurus,NO_FAMILY_SPECIFIED,Theropoda,predator,carnivore,-105.979721,41.893055,6.0,Kimmeridgian,Tithonian,157.3,145.0,Wyoming,Albany,Morrison,Lake Como,1.0,individuals,Allosaurus,genus
491437,49628,Louise Quarry,Allosaurus sp.,genus,Allosaurus,genus,Allosaurus,NO_FAMILY_SPECIFIED,Theropoda,predator,carnivore,-106.00222,41.893055,6.0,Kimmeridgian,Tithonian,157.3,145.0,Wyoming,Albany,Morrison,Talking Rocks,2.0,individuals,Allosaurus,genus
491441,49627,Nail Quarry,Allosaurus sp.,genus,Allosaurus,genus,Allosaurus,NO_FAMILY_SPECIFIED,Theropoda,predator,carnivore,-106.00222,41.893055,6.0,Kimmeridgian,Tithonian,157.3,145.0,Wyoming,Albany,Morrison,Talking Rocks,3.0,individuals,Allosaurus,genus
408762,39347,"Quarry 8, Como Bluff (YPM)",Allosaurus sp.,genus,Allosaurus,genus,Allosaurus,NO_FAMILY_SPECIFIED,Theropoda,predator,carnivore,-106.021599,41.893101,6.0,Tithonian,,152.1,145.0,Wyoming,Albany,Morrison,Brushy Basin,1.0,individuals,Allosaurus,genus
562993,56654,Ninemile Hill,Allosaurus sp.,genus,Allosaurus,genus,Allosaurus,NO_FAMILY_SPECIFIED,Theropoda,predator,carnivore,-106.145699,41.98,6.0,Early Tithonian,,150.8,145.0,Wyoming,Carbon,Morrison,Brushy Basin,,,Allosaurus,genus
557962,57894,Freezeout Hills Quarry 6 (FMNH),Allosaurus sp.,genus,Allosaurus,genus,Allosaurus,NO_FAMILY_SPECIFIED,Theropoda,predator,carnivore,-106.390556,42.035831,6.0,Kimmeridgian,Tithonian,157.3,145.0,Wyoming,Carbon,Morrison,,1.0,individuals,Allosaurus,genus
1396903,22650,"BS Quarry + S Quarry, Warm Springs Ranch",Allosaurus sp.,genus,Allosaurus,genus,Allosaurus,NO_FAMILY_SPECIFIED,Theropoda,predator,carnivore,-108.120003,43.380001,6.0,Late Kimmeridgian,,155.7,150.8,Wyoming,Hot Springs,Morrison,,26.0,specimens,Allosaurus,genus
220058,22678,"RB Quarry, Warm Springs Ranch",Allosaurus sp.,genus,Allosaurus,genus,Allosaurus,NO_FAMILY_SPECIFIED,Theropoda,predator,carnivore,-108.199997,43.630001,6.0,Late Kimmeridgian,Tithonian,155.7,145.0,Wyoming,Hot Spings,Morrison,,1.0,individuals,Allosaurus,genus
560965,58509,Red Fork Powder River Quarry B,Allosaurus sp.,genus,Allosaurus,genus,Allosaurus,NO_FAMILY_SPECIFIED,Theropoda,predator,carnivore,-106.780556,43.649166,6.0,Kimmeridgian,Tithonian,157.3,145.0,Wyoming,Johnson,Morrison,,1.0,individuals,Allosaurus,genus
491456,49631,Wonderland Quarry (SDSM V9141),Allosaurus sp.,genus,Allosaurus,genus,Allosaurus,NO_FAMILY_SPECIFIED,Theropoda,predator,carnivore,-103.344597,44.184399,6.0,Kimmeridgian,Tithonian,157.3,145.0,South Dakota,Meade,Morrison,,1.0,individuals,Allosaurus,genus
557984,57905,"Hatch Ranch, Piedmont Butte",Allosaurus sp.,genus,Allosaurus,genus,Allosaurus,NO_FAMILY_SPECIFIED,Theropoda,predator,carnivore,-103.377998,44.23307,6.0,Kimmeridgian,Tithonian,157.3,145.0,South Dakota,Meade,Morrison,,1.0,individuals,Allosaurus,genus
1543896,49636,"Little Houston Quarry (SDSM V9138, SDSM V941)",Allosaurus ? sp.,genus,Allosaurus,genus,Allosaurus,NO_FAMILY_SPECIFIED,Theropoda,predator,carnivore,-104.734703,44.458099,6.0,Kimmeridgian,Tithonian,157.3,145.0,Wyoming,Crook,Morrison,,1.0,specimens,Allosaurus,genus
491454,49630,Fuller's 351 (SDSM V351),Allosaurus sp.,genus,Allosaurus,genus,Allosaurus,NO_FAMILY_SPECIFIED,Theropoda,predator,carnivore,-103.828003,44.528,6.0,Tithonian,,152.1,145.0,South Dakota,Lawrence,Morrison,Brushy Basin,1.0,specimens,Allosaurus,genus
1377736,188395,5 km west of Exter,Allosaurus sp.,genus,Allosaurus,genus,Allosaurus,NO_FAMILY_SPECIFIED,Theropoda,predator,carnivore,-107.401108,33.773609,,Kimmeridgian,Tithonian,157.3,145.0,New Mexico,Union,Morrison,,2.0,specimens,Allosaurus,genus
557989,57910,Acoma Site,Allosaurus sp.,genus,Allosaurus,genus,Allosaurus,NO_FAMILY_SPECIFIED,Theropoda,predator,carnivore,-107.597702,34.936798,,Kimmeridgian,Tithonian,157.3,145.0,New Mexico,Cibola,Morrison,Brushy Basin,1.0,individuals,Allosaurus,genus
1320131,177496,Picketwire Canyonlands (upper),Allosaurus sp.,genus,Allosaurus,genus,Allosaurus,NO_FAMILY_SPECIFIED,Theropoda,predator,carnivore,-103.676201,37.5322,,Kimmeridgian,Tithonian,157.3,145.0,Colorado,Otero,Morrison,Unit B,1.0,individuals,Allosaurus,genus
1396840,192428,Montezuma Canyon,Antrodemus ? sp.,genus,Allosaurus,genus,Allosaurus,NO_FAMILY_SPECIFIED,Theropoda,predator,carnivore,-109.197891,37.559715,,Kimmeridgian,Tithonian,157.3,145.0,Utah,San Juan,Morrison,Brushy Basin,1.0,individuals,Allosaurus,genus
405200,38883,"CO-49, Dino Cove",Allosaurus sp.,genus,Allosaurus,genus,Allosaurus,NO_FAMILY_SPECIFIED,Theropoda,predator,carnivore,-107.400002,38.450001,,Tithonian,,152.1,145.0,Colorado,Gunnison,Morrison,Brushy Basin,1.0,specimens,Allosaurus,genus
477075,47196,Willow Springs Quarry,Allosaurus sp.,genus,Allosaurus,genus,Allosaurus,NO_FAMILY_SPECIFIED,Theropoda,predator,carnivore,-111.270554,38.731667,,Kimmeridgian,Tithonian,157.3,145.0,Utah,Emery,Morrison,Brushy Basin,2.0,individuals,Allosaurus,genus
561620,58551,Emery County sauropod site,Allosaurus sp.,genus,Allosaurus,genus,Allosaurus,NO_FAMILY_SPECIFIED,Theropoda,predator,carnivore,-111.1502,38.8396,,Kimmeridgian,Tithonian,157.3,145.0,Utah,Emery,Morrison,Brushy Basin,1.0,specimens,Allosaurus,genus
647850,70027,Radium Locality,Allosaurus sp.,genus,Allosaurus,genus,Allosaurus,NO_FAMILY_SPECIFIED,Theropoda,predator,carnivore,-106.558609,39.952778,,Kimmeridgian,Tithonian,157.3,145.0,Colorado,Grand,Morrison,,1.0,individuals,Allosaurus,genus
1609859,227703,UCM Loc. 86050,Allosaurus sp.,genus,Allosaurus,genus,Allosaurus,NO_FAMILY_SPECIFIED,Theropoda,predator,carnivore,-105.188614,40.673889,,Late Oxfordian,Tithonian,161.2,145.0,Colorado,Larimer,Morrison,,1.0,specimens,Allosaurus,genus
534769,55330,Red Mountain,Allosaurus sp.,genus,Allosaurus,genus,Allosaurus,NO_FAMILY_SPECIFIED,Theropoda,predator,carnivore,-106.589996,41.799999,,Kimmeridgian,Tithonian,157.3,145.0,Wyoming,Carbon,Morrison,,1.0,individuals,Allosaurus,genus
688015,74000,Como Bluff (AMNH 222),Allosaurus sp.,genus,Allosaurus,genus,Allosaurus,NO_FAMILY_SPECIFIED,Theropoda,predator,carnivore,-106.07917,41.901386,,Kimmeridgian,Tithonian,157.3,145.0,Wyoming,Carbon,Morrison,,,,Allosaurus,genus
408893,39373,"Quarry C, Como Bluff (YPM)",Allosaurus sp.,genus,Allosaurus,genus,Allosaurus,NO_FAMILY_SPECIFIED,Theropoda,predator,carnivore,-105.963402,41.9077,,Kimmeridgian,Tithonian,157.3,145.0,Wyoming,Albany,Morrison,Brushy Basin,1.0,individuals,Allosaurus,genus
408903,39374,"Quarry D, Como Bluff (YPM)",Allosaurus sp.,genus,Allosaurus,genus,Allosaurus,NO_FAMILY_SPECIFIED,Theropoda,predator,carnivore,-105.963402,41.9077,,Kimmeridgian,Tithonian,157.3,145.0,Wyoming,Albany,Morrison,Brushy Basin,1.0,individuals,Allosaurus,genus
557977,57903,Quarry R (AMNH),Allosaurus sp.,genus,Allosaurus,genus,Allosaurus,NO_FAMILY_SPECIFIED,Theropoda,predator,carnivore,-105.963402,41.9077,,Kimmeridgian,,157.3,152.1,Wyoming,Albany,Morrison,,2.0,individuals,Allosaurus,genus
1317661,55482,Lynn Quarry,Allosaurus sp.,genus,Allosaurus,genus,Allosaurus,NO_FAMILY_SPECIFIED,Theropoda,predator,carnivore,-106.145699,41.98,,Tithonian,,152.1,145.0,Wyoming,Carbon,Morrison,Brushy Basin,,,Allosaurus,genus
647310,58507,Bobcat Pit,Allosaurus sp.,genus,Allosaurus,genus,Allosaurus,NO_FAMILY_SPECIFIED,Theropoda,predator,carnivore,-104.240555,44.021111,,Kimmeridgian,Tithonian,157.3,145.0,Wyoming,Weston,Morrison,,1.0,individuals,Allosaurus,genus
1587779,224376,Sheridan College Allosaur Quarry (PROXY),Allosaurus sp.,genus,Allosaurus,genus,Allosaurus,NO_FAMILY_SPECIFIED,Theropoda,predator,carnivore,-106.717598,44.058601,,Kimmeridgian,Tithonian,157.3,145.0,Wyoming,Johnson,Morrison,,1.0,individuals,Allosaurus,genus
1317667,176983,Poison Creek Quarry 1,Allosaurus sp.,genus,Allosaurus,genus,Allosaurus,NO_FAMILY_SPECIFIED,Theropoda,predator,carnivore,-106.866402,44.0933,,Kimmeridgian,,157.3,152.1,Wyoming,Johnson,Morrison,,,,Allosaurus,genus
1317674,176985,Poison Creek Quarry 3,Allosaurus sp.,genus,Allosaurus,genus,Allosaurus,NO_FAMILY_SPECIFIED,Theropoda,predator,carnivore,-106.866402,44.0933,,Kimmeridgian,,157.3,152.1,Wyoming,Johnson,Morrison,,,,Allosaurus,genus
1598455,225938,SDSM V932,Allosaurus ? sp.,genus,Allosaurus,genus,Allosaurus,NO_FAMILY_SPECIFIED,Theropoda,predator,carnivore,-104.734703,44.458099,,Kimmeridgian,Tithonian,157.3,145.0,Wyoming,Crook,Morrison,,,,Allosaurus,genus
1532903,215054,JRDI 5ES Quarry,Allosaurus sp.,genus,Allosaurus,genus,Allosaurus,NO_FAMILY_SPECIFIED,Theropoda,predator,carnivore,-108.792999,46.867001,,Kimmeridgian,Tithonian,157.3,145.0,Montana,Fergus,Morrison,,,,Allosaurus,genus
408087,28366,"Felch Quarry 1, Garden Park (YPM)",n. gen. Allosaurus n. sp. fragilis,species,Allosaurus fragilis,species,Allosaurus,NO_FAMILY_SPECIFIED,Theropoda,predator,carnivore,-105.224701,38.539501,3.0,Late Kimmeridgian,Early Tithonian,155.7,145.0,Colorado,Fremont,Morrison,Brushy Basin,4.0,individuals,Allosaurus,genus
481742,28366,"Felch Quarry 1, Garden Park (YPM)",n. gen. Labrosaurus n. sp. ferox,species,Allosaurus fragilis,species,Allosaurus,NO_FAMILY_SPECIFIED,Theropoda,predator,carnivore,-105.224701,38.539501,3.0,Late Kimmeridgian,Early Tithonian,155.7,145.0,Colorado,Fremont,Morrison,Brushy Basin,1.0,specimens,Allosaurus,genus
1248853,164830,McElmo Canyon,Allosaurus n. sp. lucasi,species,Allosaurus ,species,Allosaurus,NO_FAMILY_SPECIFIED,Theropoda,predator,carnivore,-108.747002,37.337002,4.0,Tithonian,,152.1,145.0,Colorado,Montezuma,Morrison,Brushy Basin,2.0,individuals,Allosaurus,genus
481992,48162,Lindsey Quarry (DMNH),Allosaurus fragilis,species,Allosaurus fragilis,species,Allosaurus,NO_FAMILY_SPECIFIED,Theropoda,predator,carnivore,-105.193703,38.544998,4.0,Tithonian,,152.1,145.0,Colorado,Fremont,Morrison,Brushy Basin,3.0,individuals,Allosaurus,genus
1561456,220417,Aaron Scott Quarry [PROXY],Allosaurus cf. fragilis,species,Allosaurus fragilis,species,Allosaurus,NO_FAMILY_SPECIFIED,Theropoda,predator,carnivore,-111.024002,39.005001,4.0,Kimmeridgian,Tithonian,157.3,145.0,Utah,Emery,Morrison,Brushy Basin,1.0,specimens,Allosaurus,genus
1358693,184627,"Taildust Theropod Quarry, FPA (PROXY)",Allosaurus fragilis,species,Allosaurus fragilis,species,Allosaurus,NO_FAMILY_SPECIFIED,Theropoda,predator,carnivore,-108.728333,39.15889,4.0,Kimmeridgian,Tithonian,157.3,145.0,Colorado,Mesa,Morrison,Brushy Basin,,,Allosaurus,genus
409323,11611,"Mygatt-Moore Quarry, lower mudstone",Allosaurus fragilis,species,Allosaurus fragilis,species,Allosaurus,NO_FAMILY_SPECIFIED,Theropoda,predator,carnivore,-108.995796,39.2383,4.0,Kimmeridgian,Tithonian,157.3,145.0,Colorado,Mesa,Morrison,Brushy Basin,7.0,individuals,Allosaurus,genus
491749,46439,Cleveland-Lloyd Dinosaur Quarry,Allosaurus fragilis,species,Allosaurus fragilis,species,Allosaurus,NO_FAMILY_SPECIFIED,Theropoda,predator,carnivore,-110.687622,39.32399,4.0,Tithonian,,152.1,145.0,Utah,Emery,Morrison,Brushy Basin,46.0,individuals,Allosaurus,genus
