occurrence_no,collection_no,collection_name,identified_name,identified_rank,accepted_name,accepted_rank,genus,family,class,guild,diet,lng,lat,Systems_tract,early_interval,late_interval,max_ma,min_ma,state,county,formation,member,abund_value,abund_unit,taxon,resolution
782368,84308,Section 19 Mine (stope 4303),cf. Allosaurus sp.,genus,Allosaurus,genus,Allosaurus,NO_FAMILY_SPECIFIED,Theropoda,predator,carnivore,-107.831299,35.428398,2.0,Late Oxfordian,Kimmeridgian,161.2,152.1,New Mexico,McKinley,Morrison,Salt Wash,1.0,individuals,Allosaurus,genus
647849,70026,Wilson Creek,Allosaurus sp.,genus,Allosaurus,genus,Allosaurus,NO_FAMILY_SPECIFIED,Theropoda,predator,carnivore,-105.208885,38.503334,2.0,Kimmeridgian,Tithonian,157.3,145.0,Colorado,Fremont,Morrison,,1.0,individuals,Allosaurus,genus
482010,48172,"Meyer Site 1, Garden Park",Allosaurus sp.,genus,Allosaurus,genus,Allosaurus,NO_FAMILY_SPECIFIED,Theropoda,predator,carnivore,-105.210602,38.5168,2.0,Late Kimmeridgian,Early Tithonian,155.7,145.0,Colorado,Fremont,Morrison,Salt Wash,1.0,individuals,Allosaurus,genus
1467171,48171,"Meyer Site 2, Garden Park",Allosaurus ? sp.,genus,Allosaurus,genus,Allosaurus,NO_FAMILY_SPECIFIED,Theropoda,predator,carnivore,-105.210602,38.5168,2.0,Kimmeridgian,,157.3,152.1,Colorado,Fremont,Morrison,Salt Wash,,,Allosaurus,genus
1197959,154925,Dinosaur Beach (CURE),Allosaurus sp.,genus,Allosaurus,genus,Allosaurus,NO_FAMILY_SPECIFIED,Theropoda,predator,carnivore,-107.400002,38.450001,3.0,Tithonian,,152.1,145.0,Colorado,Gunnison,Morrison,Brushy Basin,2.0,specimens,Allosaurus,genus
1197963,154924,Northern Dinosaur Beach (CURE),Allosaurus sp.,genus,Allosaurus,genus,Allosaurus,NO_FAMILY_SPECIFIED,Theropoda,predator,carnivore,-107.400002,38.450001,3.0,Kimmeridgian,,157.3,152.1,Colorado,Gunnison,Morrison,Brushy Basin,2.0,specimens,Allosaurus,genus
647852,70028,Blue Mesa Quarry,Allosaurus sp.,genus,Allosaurus,genus,Allosaurus,NO_FAMILY_SPECIFIED,Theropoda,predator,carnivore,-107.334442,38.452778,3.0,Kimmeridgian,Tithonian,157.3,145.0,Colorado,Gunnison,Morrison,,1.0,individuals,Allosaurus,genus
408922,39377,"Felch Quarry 2, Garden Park (YPM)",Allosaurus sp.,genus,Allosaurus,genus,Allosaurus,NO_FAMILY_SPECIFIED,Theropoda,predator,carnivore,-105.224701,38.539501,3.0,Kimmeridgian,Tithonian,157.3,145.0,Colorado,Fremont,Morrison,Brushy Basin,1.0,individuals,Allosaurus,genus
481969,48160,"Kessler's Quarry, Garden Park",Allosaurus sp.,genus,Allosaurus,genus,Allosaurus,NO_FAMILY_SPECIFIED,Theropoda,predator,carnivore,-105.212502,38.541,3.0,Late Kimmeridgian,Early Tithonian,155.7,145.0,Colorado,Fremont,Morrison,Salt Wash,1.0,individuals,Allosaurus,genus
560983,58516,Mill Canyon Quarry (BYU),Allosaurus sp.,genus,Allosaurus,genus,Allosaurus,NO_FAMILY_SPECIFIED,Theropoda,predator,carnivore,-109.741203,38.710346,3.0,Kimmeridgian,Tithonian,157.3,145.0,Utah,Grand,Morrison,Brushy Basin,1.0,individuals,Allosaurus,genus
