oid,cid,tna,tid,rnk,lng,lat,env,lt1,ldc,tpm,tps,tpt,cct,gsc,ccx,ccd,cnm,aut,pby,oei,guild,genus,collection_no,body_fossil,is_ootaxon
occ:148628,col:13108,Mononykus olecranus,txn:67287,3.0,99.599998,43.540001,terrestrial indet.,sandstone,"variegated, predominately red sandstones",body,,,taxonomic,small collection,"selective quarrying,mechanical,field collection",1990s,Bugin Tsav [AMNH],Perle et al.,1994,Maastrichtian,predator,Mononykus,13108,True,False
occ:148629,col:13108,Tarbosaurus bataar,txn:63705,3.0,99.599998,43.540001,terrestrial indet.,sandstone,"variegated, predominately red sandstones",body,,,taxonomic,small collection,"selective quarrying,mechanical,field collection",1990s,Bugin Tsav [AMNH],Perle et al.,1994,Maastrichtian,predator,Tarbosaurus,13108,True,False
occ:150324,col:13347,Macroolithus rugustus,txn:67191,3.0,99.926941,43.720554,terrestrial indet.,sandstone,,body,,,taxonomic,small collection,"surface (float),surface (in situ),field collection","1967-1968, 1981–1983","Haichin Ula I [SMGE, SMPE] (PIN coll. 4230)",Mikhailov,2000,Maastrichtian,predator,Macroolithus,13347,True,True
occ:387341,col:37005,Opisthocoelicaudia skarzynskii,txn:57335,3.0,100.455276,43.602501,terrestrial indet.,conglomerate,,body,autochthonous,snapshot,taxonomic,small collection,"selective quarrying,surface (in situ),mechanical,field collection",1965,"Altan Ula IV, site 4 [PMPE]",Borsuk-Bialynicka,1977,Maastrichtian,herbivore,Opisthocoelicaudia,37005,True,False
occ:387345,col:37006,Tarbosaurus bataar,txn:63705,3.0,100.483612,43.572498,terrestrial indet.,sandstone,,"body,soft parts",autochthonous,snapshot,taxonomic,small collection,"selective quarrying,mechanical,field collection","1965, 1971","Altan Ula III, site 1 [PMPE]",Hurum and Sabath,2003,Maastrichtian,predator,Tarbosaurus,37006,True,False
occ:387347,col:37007,Tarbosaurus,txn:53224,5.0,100.374809,43.44128,terrestrial indet.,sandstone,,body,parautochthonous,snapshot,taxonomic,small collection,"selective quarrying,surface (in situ),mechanical,field collection",1964,"Tsagan Hushu, site 5 [PMPE]",Kielan-Jaworowska and Kowalski,1965,Maastrichtian,predator,Tarbosaurus,37007,True,False
occ:387359,col:37010,Protoceratopsidae,txn:38845,9.0,101.052498,43.502499,terrestrial indet.,sandstone,"""light sandstone with gravel""",body,parautochthonous,snapshot,general faunal/floral,small collection,"selective quarrying,mechanical,field collection",1964,"Nemegt, Central Sayr, site 1 [PMPE]",Sabath,1991,Maastrichtian,herbivore,,37010,True,False
occ:387360,col:37011,Tarbosaurus bataar,txn:63705,3.0,100.363052,43.481945,terrestrial indet.,conglomerate,,body,parautochthonous,snapshot,general faunal/floral,small collection,"selective quarrying,surface (in situ),mechanical,field collection",1964,"Tsagan Hushu, site 2 [PMPE]",Gradzinski et al.,1968,Maastrichtian,predator,Tarbosaurus,37011,True,False
occ:387396,col:37019,Coeluridae,txn:53001,9.0,101.275002,43.491669,terrestrial indet.,not reported,,body,,,general faunal/floral,outcrop,"selective quarrying,mechanical,field collection",1970,Omnogov,Kielan-Jaworowska and Kowalski,1965,Maastrichtian,predator,,37019,True,False
occ:387397,col:37019,Pachycephalosauridae,txn:38783,9.0,101.275002,43.491669,terrestrial indet.,not reported,,body,,,general faunal/floral,outcrop,"selective quarrying,mechanical,field collection",1970,Omnogov,Kielan-Jaworowska and Kowalski,1965,Maastrichtian,herbivore,,37019,True,False
occ:387400,col:37020,Tarbosaurus bataar,txn:63705,3.0,100.456665,43.601665,terrestrial indet.,not reported,,body,parautochthonous,,general faunal/floral,outcrop,"selective quarrying,surface (in situ),mechanical,field collection",1970-1971,"Altan Ula IV, general [PMPE]",Kielan-Jaworowska and Barsbold,1972,Maastrichtian,predator,Tarbosaurus,37020,True,False
occ:387401,col:37020,Saurolophus angustirostris,txn:64295,3.0,100.456665,43.601665,terrestrial indet.,not reported,,body,parautochthonous,,general faunal/floral,outcrop,"selective quarrying,surface (in situ),mechanical,field collection",1970-1971,"Altan Ula IV, general [PMPE]",Kielan-Jaworowska and Barsbold,1972,Maastrichtian,herbivore,Saurolophus,37020,True,False
occ:387402,col:37020,Gallimimus bullatus,txn:57265,3.0,100.456665,43.601665,terrestrial indet.,not reported,,body,parautochthonous,,general faunal/floral,outcrop,"selective quarrying,surface (in situ),mechanical,field collection",1970-1971,"Altan Ula IV, general [PMPE]",Osmólska et al.,1972,Maastrichtian,predator,Gallimimus,37020,True,False
occ:395222,col:38022,Bagaraatan ostromi,txn:57249,3.0,101.049721,43.52,terrestrial indet.,sandstone,"sandstone and ""sands with silt intercalations""",body,autochthonous,time-averaged,general faunal/floral,small collection,"selective quarrying,mechanical,field collection",1970,"Nemegt, Northern Sayr, site 26 [PMPE]",Osmólska,1996,Maastrichtian,predator,Bagaraatan,38022,True,False
occ:395224,col:38023,Tarbosaurus bataar,txn:63705,3.0,101.029724,43.518055,terrestrial indet.,sandstone,"""upper sandstone with silt intercalations""",body,parautochthonous,snapshot,general faunal/floral,small collection,"selective quarrying,mechanical,field collection","1965, 1970, 2008","Nemegt, Western Sayr, site 12 [PMPE]",Gradzinski et al.,1968,Maastrichtian,predator,Tarbosaurus,38023,True,False
occ:395225,col:38024,Tarbosaurus bataar,txn:63705,3.0,100.441391,43.581669,terrestrial indet.,conglomerate,,body,parautochthonous,,general faunal/floral,small collection,"selective quarrying,surface (in situ),mechanical,field collection",1964-1965,"Altan Ula IV, site 6 [PMPE]",Hurum and Sabath,2003,Maastrichtian,predator,Tarbosaurus,38024,True,False
occ:395227,col:37010,Tarbosaurus,txn:53224,5.0,101.052498,43.502499,terrestrial indet.,sandstone,"""light sandstone with gravel""",body,parautochthonous,snapshot,general faunal/floral,small collection,"selective quarrying,mechanical,field collection",1964,"Nemegt, Central Sayr, site 1 [PMPE]",Gradzinski et al.,1968,Maastrichtian,predator,Tarbosaurus,37010,True,False
occ:403400,col:38695,Deinocheirus mirificus,txn:57246,3.0,100.48278,43.566387,terrestrial indet.,sandstone,"""a poorly indurated, fine sandstone approximately 35 cm thick""",body,autochthonous,snapshot,taxonomic,small collection,"selective quarrying,surface (in situ),mechanical,field collection","1965, 2008","Altan Ula III, site 2 [PMPE]",Kielan-Jaworowska,1969,Maastrichtian,predator,Deinocheirus,38695,True,False
occ:403412,col:38696,Tarbosaurus,txn:53224,5.0,100.48333,43.566666,terrestrial indet.,sandstone,,body,,snapshot,taxonomic,small collection,"selective quarrying,mechanical,field collection",1965,"Altan Ula III, site 3 [PMPE]",Gradzinski et al.,1968,Maastrichtian,predator,Tarbosaurus,38696,True,False
occ:403432,col:38697,Theropoda,txn:38513,25.0,100.448891,43.59111,terrestrial indet.,conglomerate,,body,,snapshot,general faunal/floral,small collection,"selective quarrying,surface (in situ),mechanical,field collection",1965,"Altan Ula IV, site 2 [PMPE]",Kielan-Jaworowska,1966,Maastrichtian,predator,,38697,True,False
occ:403433,col:38698,Ankylosauridae,txn:38831,9.0,100.446114,43.588055,terrestrial indet.,sandstone,,body,,,taxonomic,small collection,"selective quarrying,mechanical,field collection",1965,"Altan Ula IV, site 3 [PMPE]",Currie,2016,Maastrichtian,herbivore,,38698,True,False
occ:403435,col:38699,Ankylosauridae,txn:38831,9.0,100.441666,43.582222,terrestrial indet.,sandstone,,body,,snapshot,taxonomic,small collection,"selective quarrying,surface (in situ),mechanical,field collection",1964,"Altan Ula IV, site 5 [PMPE]",Maryanska,1977,Maastrichtian,herbivore,,38699,True,False
occ:403436,col:38700,Ankylosauridae,txn:38831,9.0,100.452782,43.601112,terrestrial indet.,sandstone,,body,parautochthonous,snapshot,taxonomic,small collection,"selective quarrying,surface (in situ),mechanical,field collection",1965,"Altan Ula IV, site 10 [PMPE]",Currie,2016,Maastrichtian,herbivore,,38700,True,False
occ:403437,col:38701,Dinosauria,txn:52775,25.0,100.445557,43.587776,terrestrial indet.,sandstone,,body,parautochthonous,snapshot,taxonomic,small collection,"selective quarrying,surface (in situ),mechanical,field collection",1965,"Altan Ula IV, site 1 [PMPE]",Gradzinski et al.,1968,Maastrichtian,herbivore,,38701,True,False
occ:403438,col:38702,Tarbosaurus bataar,txn:63705,3.0,100.456108,43.603058,terrestrial indet.,sandstone,,body,parautochthonous,snapshot,taxonomic,small collection,"selective quarrying,surface (in situ),mechanical,field collection",1964,"Altan Ula IV, site 9 [PMPE]",Currie,2016,Maastrichtian,predator,Tarbosaurus,38702,True,False
occ:403441,col:38703,Tarbosaurus,txn:53224,5.0,100.374809,43.441261,terrestrial indet.,sandstone,,body,parautochthonous,snapshot,taxonomic,small collection,"selective quarrying,surface (in situ),mechanical,field collection",1964–1965,"Tsagan Hushu, site 4 [PMPE]",Gradzinski et al.,1968,Maastrichtian,predator,Tarbosaurus,38703,True,False
