object_id,file_name,size_bytes,checksum_md5,download_url,format,species_code
8f8725db-cc03-48d8-aaa0-42e321ddaae1,CARAMB_2022_01-PTT_233554.zip,15920606,e6b7bea0ddb7fff1f8bde1781564111d,https://dataone.researchworkspace.com/mn/v2/object/8f8725db-cc03-48d8-aaa0-42e321ddaae1,application/zip,CARAMB
28d47f6d-7dd8-420d-85b8-4ffe908028fb,CARAMB_2022_02-PTT_233546.zip,2576866,662b85fdf21fa17d93ecdcf8f5664df7,https://dataone.researchworkspace.com/mn/v2/object/28d47f6d-7dd8-420d-85b8-4ffe908028fb,application/zip,CARAMB
e134cf6a-224c-40d0-adb1-ad85c06f0602,CARAMB_2022_05-PTT_233547.zip,2459124,696342ac7cfa118bedae1f94889dba6c,https://dataone.researchworkspace.com/mn/v2/object/e134cf6a-224c-40d0-adb1-ad85c06f0602,application/zip,CARAMB
212f21e5-8bfd-45bf-b3aa-23a146b9180e,CARAMB_2022_06-PTT_233550.zip,4792762,3b5c756b519b0096d902583cf4743b0d,https://dataone.researchworkspace.com/mn/v2/object/212f21e5-8bfd-45bf-b3aa-23a146b9180e,application/zip,CARAMB
3ba37de9-0a93-4ef5-b636-a3d4ba005d30,CARAMB_2022_07-PTT_233548.zip,2151552,a673be565c82a358f94777652041189a,https://dataone.researchworkspace.com/mn/v2/object/3ba37de9-0a93-4ef5-b636-a3d4ba005d30,application/zip,CARAMB
3a195557-688c-4393-b9e1-12eb74a9b9aa,CARAMB_2022_08-PTT_233553.zip,3006106,02719d008024c1a0b2c41def7dc1221e,https://dataone.researchworkspace.com/mn/v2/object/3a195557-688c-4393-b9e1-12eb74a9b9aa,application/zip,CARAMB
faa3a555-3a99-4645-84ce-799f0d3acce2,CARGAL_2022_01-PTT_233549.zip,11936,bdcc0e7bea9809e11e00610ac64352b8,https://dataone.researchworkspace.com/mn/v2/object/faa3a555-3a99-4645-84ce-799f0d3acce2,application/zip,CARGAL
9ad988b5-b260-4532-b8f7-e4532094e731,Data Dictionary 10.24431_rw1k8ez,903900,737645f0d456cc3790d7b6eda28d8a89,https://dataone.researchworkspace.com/mn/v2/object/9ad988b5-b260-4532-b8f7-e4532094e731,application/xml,Data Dictionary 10.24431
d33fd5cb-533e-4613-90c1-db0737d68721,GRFR_2022_01-eobs_9829.zip,167556707,88d995d69587377eb260352f8137d21e,https://dataone.researchworkspace.com/mn/v2/object/d33fd5cb-533e-4613-90c1-db0737d68721,application/zip,GRFR
638ca2f2-3fa1-4408-8b94-aaf1fbfd94b0,GRFR_2022_02-eobs_9830.zip,7045135,362997d9a17d98ee148ca387f755aa74,https://dataone.researchworkspace.com/mn/v2/object/638ca2f2-3fa1-4408-8b94-aaf1fbfd94b0,application/zip,GRFR
d87ba286-518e-4388-b202-4d3d428ba4e6,GRFR_2022_04-eobs_9833.zip,25664104,ec95b69f73b1199854094b5d1e726257,https://dataone.researchworkspace.com/mn/v2/object/d87ba286-518e-4388-b202-4d3d428ba4e6,application/zip,GRFR
ec8051dd-2a01-4def-8132-5a25778ddc40,GRFR_2022_05-eobs_9834.zip,19624133,990bb54568b5d7ae4fd60e1ed0281bf9,https://dataone.researchworkspace.com/mn/v2/object/ec8051dd-2a01-4def-8132-5a25778ddc40,application/zip,GRFR
c4a1f8a8-c083-45de-a6fd-d7976ebc593f,GRFR_2022_06-eobs_9835.zip,7678409,19c79ac1ce35470a5d9d9ab6de4ca4fb,https://dataone.researchworkspace.com/mn/v2/object/c4a1f8a8-c083-45de-a6fd-d7976ebc593f,application/zip,GRFR
dcaa3645-0614-4fd9-a3df-be40888c9cf3,GRFR_2022_07-eobs_9842.zip,1709405,f48a1aac543b702ea1c41a42f6a544c7,https://dataone.researchworkspace.com/mn/v2/object/dcaa3645-0614-4fd9-a3df-be40888c9cf3,application/zip,GRFR
636adc01-fdef-4a31-8001-ab0016fa3572,GRFR_2022_08-eobs_9843.zip,29987594,50443a20c197755c01b1f350dadf9638,https://dataone.researchworkspace.com/mn/v2/object/636adc01-fdef-4a31-8001-ab0016fa3572,application/zip,GRFR
191fe2dd-0d61-4b59-a1df-30283f006df7,Gilmour_ATN Tag Deployment Metadata_Palmyra Atoll 2022-2023.csv,54201,c9e1a4818f1f324cd5b5201acf151efa,https://dataone.researchworkspace.com/mn/v2/object/191fe2dd-0d61-4b59-a1df-30283f006df7,text/csv,Gilmour
ae699c55-feb7-4e2d-9fd0-dcbae10c2c92,MAKNIG_2022_01-PTT_233567.zip,4410653,0694f73074ad8655e7a2698fe2c66221,https://dataone.researchworkspace.com/mn/v2/object/ae699c55-feb7-4e2d-9fd0-dcbae10c2c92,application/zip,MAKNIG
