reaction_id,reaction_name,subsystem,metric,orientation,type,u_opt,J0,J1,J_opt,gain0,gain1,n_feasible
ATPS4mi,ATP synthase (four protons for one ATP),Oxidative phosphorylation,atp_demand,higher,0,0.1,121.52284263959382,40.00000000000003,121.52284263959388,4.677591276348864e-16,0.6708437761069337,7
ATPS4mi,ATP synthase (four protons for one ATP),Oxidative phosphorylation,atp_per_glc,higher,0,0.1,12.152284263959382,4.000000000000003,12.152284263959388,4.3852418215770607e-16,0.6708437761069336,7
ATPS4mi,ATP synthase (four protons for one ATP),Oxidative phosphorylation,atp_per_o2,higher,0,0.1,6.076142131979691,2.0000000000000013,6.076142131979694,4.3852418215770607e-16,0.6708437761069336,7
ATPS4mi,ATP synthase (four protons for one ATP),Oxidative phosphorylation,atp_per_carbon,higher,0,0.1,2.025380710659897,0.6666666666666672,2.0253807106598978,4.385241821577061e-16,0.6708437761069337,7
ATPS4mi,ATP synthase (four protons for one ATP),Oxidative phosphorylation,glc_uptake,lower,0,0.0,-10.0,-10.0,-10.0,0.0,0.0,7
ATPS4mi,ATP synthase (four protons for one ATP),Oxidative phosphorylation,o2_uptake,lower,0,0.0,-20.0,-20.0,-20.0,0.0,0.0,7
ATPS4mi,ATP synthase (four protons for one ATP),Oxidative phosphorylation,lac_out,lower,0,0.0,-0.0,-0.0,-0.0,0.0,0.0,7
ATPS4mi,ATP synthase (four protons for one ATP),Oxidative phosphorylation,lac_per_atp,lower,0,0.0,-0.0,-0.0,-0.0,0.0,0.0,7
ATPS4mi,ATP synthase (four protons for one ATP),Oxidative phosphorylation,total_flux,lower,0,1.0,-2184.873096446699,-1989.390862944165,-1989.390862944165,0.08947074950048609,0.0,7
ATPtm,"ADP/ATP Transporter, Mitochondrial","Transport, mitochondrial",atp_demand,higher,0,1.0,121.5228426395938,121.52284263959386,121.52284263959386,4.677591276348865e-16,0.0,7
ATPtm,"ADP/ATP Transporter, Mitochondrial","Transport, mitochondrial",atp_per_glc,higher,0,1.0,12.15228426395938,12.152284263959386,12.152284263959386,4.385241821577061e-16,0.0,7
ATPtm,"ADP/ATP Transporter, Mitochondrial","Transport, mitochondrial",atp_per_o2,higher,0,1.0,6.07614213197969,6.076142131979693,6.076142131979693,4.385241821577061e-16,0.0,7
ATPtm,"ADP/ATP Transporter, Mitochondrial","Transport, mitochondrial",atp_per_carbon,higher,0,1.0,2.025380710659897,2.0253807106598978,2.0253807106598978,4.385241821577061e-16,0.0,7
ATPtm,"ADP/ATP Transporter, Mitochondrial","Transport, mitochondrial",glc_uptake,lower,0,0.0,-10.0,-10.0,-10.0,0.0,0.0,7
ATPtm,"ADP/ATP Transporter, Mitochondrial","Transport, mitochondrial",o2_uptake,lower,0,0.0,-20.0,-20.0,-20.0,0.0,0.0,7
ATPtm,"ADP/ATP Transporter, Mitochondrial","Transport, mitochondrial",lac_out,lower,0,0.0,-0.0,-0.0,-0.0,0.0,0.0,7
ATPtm,"ADP/ATP Transporter, Mitochondrial","Transport, mitochondrial",lac_per_atp,lower,0,0.0,-0.0,-0.0,-0.0,0.0,0.0,7
ATPtm,"ADP/ATP Transporter, Mitochondrial","Transport, mitochondrial",total_flux,lower,III,0.0,-2184.8730964467186,-2553.2487309644644,-2184.8730964467186,0.0,0.16860276009478026,7
CO2tm,"CO2 Transport (Diffusion), Mitochondrial","Transport, mitochondrial",atp_demand,higher,0,1.0,121.5228426395938,121.52284263959388,121.52284263959388,5.846989095436081e-16,0.0,7
CO2tm,"CO2 Transport (Diffusion), Mitochondrial","Transport, mitochondrial",atp_per_glc,higher,0,1.0,12.15228426395938,12.152284263959388,12.152284263959388,5.846989095436081e-16,0.0,7
CO2tm,"CO2 Transport (Diffusion), Mitochondrial","Transport, mitochondrial",atp_per_o2,higher,0,1.0,6.07614213197969,6.076142131979694,6.076142131979694,5.846989095436081e-16,0.0,7
CO2tm,"CO2 Transport (Diffusion), Mitochondrial","Transport, mitochondrial",atp_per_carbon,higher,0,1.0,2.025380710659897,2.0253807106598978,2.0253807106598978,4.385241821577061e-16,0.0,7
CO2tm,"CO2 Transport (Diffusion), Mitochondrial","Transport, mitochondrial",glc_uptake,lower,0,0.0,-10.0,-10.0,-10.0,0.0,0.0,7
CO2tm,"CO2 Transport (Diffusion), Mitochondrial","Transport, mitochondrial",o2_uptake,lower,0,0.0,-20.0,-20.0,-20.0,0.0,0.0,7
CO2tm,"CO2 Transport (Diffusion), Mitochondrial","Transport, mitochondrial",lac_out,lower,0,0.0,-0.0,-0.0,-0.0,0.0,0.0,7
CO2tm,"CO2 Transport (Diffusion), Mitochondrial","Transport, mitochondrial",lac_per_atp,lower,0,0.0,-0.0,-0.0,-0.0,0.0,0.0,7
CO2tm,"CO2 Transport (Diffusion), Mitochondrial","Transport, mitochondrial",total_flux,lower,III,0.0,-2184.8730964467186,-2344.253807106605,-2184.8730964467186,0.0,0.07294735374749636,7
CYOOm3i,CYOOm3i,Oxidative phosphorylation,atp_demand,higher,0,0.0,121.52284263959446,120.0,121.52284263959446,0.0,0.01253132832080647,7
CYOOm3i,CYOOm3i,Oxidative phosphorylation,atp_per_glc,higher,0,0.0,12.152284263959446,12.0,12.152284263959446,0.0,0.012531328320806499,7
CYOOm3i,CYOOm3i,Oxidative phosphorylation,atp_per_o2,higher,0,0.0,6.076142131979723,6.0,6.076142131979723,0.0,0.012531328320806499,7
CYOOm3i,CYOOm3i,Oxidative phosphorylation,atp_per_carbon,higher,0,0.0,2.0253807106599075,2.0,2.0253807106599075,0.0,0.012531328320806426,7
CYOOm3i,CYOOm3i,Oxidative phosphorylation,glc_uptake,lower,0,0.0,-10.0,-10.0,-10.0,0.0,0.0,7
CYOOm3i,CYOOm3i,Oxidative phosphorylation,o2_uptake,lower,0,0.0,-20.0,-20.0,-20.0,0.0,0.0,7
CYOOm3i,CYOOm3i,Oxidative phosphorylation,lac_out,lower,0,0.0,-0.0,-0.0,-0.0,0.0,0.0,7
CYOOm3i,CYOOm3i,Oxidative phosphorylation,lac_per_atp,lower,0,0.0,-0.0,-0.0,-0.0,0.0,0.0,7
CYOOm3i,CYOOm3i,Oxidative phosphorylation,total_flux,lower,0,1.0,-2184.8730964467345,-2150.0000000000045,-2150.0000000000045,0.015961154221471343,0.0,7
CYOR_u10mi,CYOR_u10mi,Oxidative phosphorylation,atp_demand,higher,0,0.0,121.5228426396078,50.1522842639594,121.5228426396078,0.0,0.5873015873016344,7
