reaction_id,reaction_name,subsystem,metric,orientation,type,u_opt,J0,J1,J_opt,gain0,gain1,n_feasible
MAR02225,Free Diffusion,,atp_demand,higher,0,0.0,119.99999999999996,119.99999999999996,119.99999999999996,0.0,0.0,7
MAR02225,Free Diffusion,,atp_per_glc,higher,0,0.0,11.999999999999996,11.999999999999996,11.999999999999996,0.0,0.0,7
MAR02225,Free Diffusion,,atp_per_o2,higher,0,0.0,5.999999999999998,5.999999999999998,5.999999999999998,0.0,0.0,7
MAR02225,Free Diffusion,,atp_per_carbon,higher,0,0.0,1.9999999999999996,1.9999999999999996,1.9999999999999996,0.0,0.0,7
MAR02225,Free Diffusion,,glc_uptake,lower,0,0.0,-10.0,-10.0,-10.0,0.0,0.0,7
MAR02225,Free Diffusion,,o2_uptake,lower,0,0.0,-20.0,-20.0,-20.0,0.0,0.0,7
MAR02225,Free Diffusion,,lac_out,lower,0,0.0,-0.0,-0.0,-0.0,0.0,0.0,7
MAR02225,Free Diffusion,,lac_per_atp,lower,0,0.0,-0.0,-0.0,-0.0,0.0,0.0,7
MAR02225,Free Diffusion,,total_flux,lower,III,0.0,-1296.666666666666,-1310.0000000000011,-1296.666666666666,0.0,0.010282776349615745,7
MAR03956,carbonate hydro-lyase (carbon-dioxide-forming),,atp_demand,higher,0,1.0,119.99999999999996,120.00000000000004,120.00000000000004,7.105427357600999e-16,0.0,7
MAR03956,carbonate hydro-lyase (carbon-dioxide-forming),,atp_per_glc,higher,0,1.0,11.999999999999996,12.000000000000004,12.000000000000004,5.9211894646675e-16,0.0,7
MAR03956,carbonate hydro-lyase (carbon-dioxide-forming),,atp_per_o2,higher,0,1.0,5.999999999999998,6.000000000000002,6.000000000000002,5.9211894646675e-16,0.0,7
MAR03956,carbonate hydro-lyase (carbon-dioxide-forming),,atp_per_carbon,higher,0,1.0,1.9999999999999996,2.0000000000000004,2.0000000000000004,4.440892098500625e-16,0.0,7
