,minimum,maximum
MAR02225,-999.9999999999998,1000.0
MAR03956,-1000.0000000000001,1000.0
MAR04095,0.0,28.000000000007883
MAR04280,-35.99999999999999,1000.0
MAR04363,7.999999999999936,20.888888888889998
MAR04365,-20.88888888888893,-7.999999999999422
MAR04368,7.9999999999998535,20.00000000000035
MAR04373,-19.999999999999947,-8.00000000000099
MAR04388,-1000.0,1000.0
MAR04391,-1.000000000000043,20.666666666666185
MAR04888,-1000.0,1000.0
MAR04896,-20.0,-16.57142857142959
MAR04898,-1000.0,21.199999999999818
MAR05043,63.9999999999952,135.99999999999946
MAR05292,-1000.0,1000.0
MAR05407,-1000.0,991.6666666666986
MAR05411,-1000.0,36.00000000000364
MAR06328,-1000.0,1000.0
MAR06409,-40.00000000001314,4.068881526994195e-15
MAR06412,1.1404584847589882e-16,25.499999999999286
MAR06914,17.599999999999863,19.99999999999887
MAR06916,67.99999999999456,111.99999999998919
MAR06918,34.00000000000037,39.99999999999912
MAR06921,12.999999999994191,39.99999999999942
MAR07638,0.0,1000.0
MAR08746,0.0,25.499999999962732
MAR20069,0.0,25.500000000000572
