,minimum,maximum
ATPS4mi,3.076142131979686,10.152284263959464
ATPtm,0.0,1000.0
CO2tm,-31.137055837563487,998.7715736040641
CYOOm3i,0.0,2.0304568527916813
CYOR_u10mi,2.07066391918379,4.060913705583757
DCK1m,-1000.0000000000001,18.77157360406161
DCMPtm,-1000.0,18.77157360406136
ENO,16.984771573604426,20.229255113855814
GAPD,16.984771573604426,1000.0
GLUt2m,4.121827411169959,1000.0
H2Otm,-1000.0,1000.0
HMR_8475,-1000.0,18.77157360405673
LDH_L,-1000.0,1000.0
LDH_Lm,-1.5306086193787904e-14,23.015228426393715
L_LACtcm,0.0,23.015228426394753
NADH2_u10mi,0.0,4.060913705583757
O2t,1.1477761836437221,2.020304568527919
O2tm,0.8120000000014295,2.030456852791878
PGK,-1000.0,-16.984771573605332
PGM,-20.229255113855466,-16.984771573605308
TPI,6.984771573605726,9.999999999999899
r0377,0.0,1000.0
