reaction_id,reaction_name,subsystem,gene_association,modulation_fraction,remaining_capacity_fraction,baseline_flux,modulated_flux,feasible,solver_status,objective_value,runtime,atp_demand,atp_per_glc,atp_per_o2,atp_per_carbon,glc_uptake,o2_uptake,lac_out,lac_per_atp,total_flux,condition,state_method,mod_method,model
ATPS4mi,ATP synthase (four protons for one ATP),Oxidative phosphorylation,,0.0,1.0,55.999999999999766,55.99999999999964,True,optimal,64.00000000000003,0.6300928592681885,64.00000000000006,32.00000000000003,5.333333333333375,5.333333333333338,2.0,11.999999999999918,0.0,0.0,1186.000000000013,glucose_limited,pfba,fva_informed,recon3d
ATPS4mi,ATP synthase (four protons for one ATP),Oxidative phosphorylation,,0.05,0.95,55.999999999999766,56.000000000000746,True,optimal,64.0,0.6846177577972412,64.00000000000003,32.000000000000014,5.333333333333262,5.333333333333336,2.0,12.000000000000165,0.0,0.0,1185.9999999999986,glucose_limited,pfba,fva_informed,recon3d
ATPS4mi,ATP synthase (four protons for one ATP),Oxidative phosphorylation,,0.1,0.9,55.999999999999766,54.00000000000023,True,optimal,62.00000000000024,0.6670577526092529,62.00000000000018,31.00000000000009,5.166666666666694,5.166666666666681,2.0,11.999999999999972,0.0,0.0,1145.000000000005,glucose_limited,pfba,fva_informed,recon3d
ATPS4mi,ATP synthase (four protons for one ATP),Oxidative phosphorylation,,0.15,0.85,55.999999999999766,51.00000000000021,True,optimal,59.00000000000018,0.6943871974945068,59.000000000000156,29.500000000000078,4.916666666666692,4.916666666666679,2.0,11.99999999999997,0.0,0.0,1083.500000000006,glucose_limited,pfba,fva_informed,recon3d
ATPS4mi,ATP synthase (four protons for one ATP),Oxidative phosphorylation,,0.2,0.8,55.999999999999766,48.0000000000002,True,optimal,56.00000000000017,0.7196404933929443,56.0000000000002,28.0000000000001,4.666666666666686,4.666666666666683,2.0,11.999999999999993,0.0,0.0,1022.0000000000059,glucose_limited,pfba,fva_informed,recon3d
ATPS4mi,ATP synthase (four protons for one ATP),Oxidative phosphorylation,,0.25,0.75,55.999999999999766,45.000000000000185,True,optimal,53.00000000000013,0.756850004196167,53.000000000000156,26.500000000000078,4.206349206349243,4.416666666666679,2.0,12.599999999999927,0.0,0.0,962.8000000000037,glucose_limited,pfba,fva_informed,recon3d
ATPS4mi,ATP synthase (four protons for one ATP),Oxidative phosphorylation,,0.3,0.7,55.999999999999766,42.00000000000017,True,optimal,50.00000000000013,0.638441801071167,50.00000000000015,25.000000000000075,3.7878787878788156,4.166666666666679,2.0,13.199999999999942,0.0,0.0,903.6000000000024,glucose_limited,pfba,fva_informed,recon3d
ATPS4mi,ATP synthase (four protons for one ATP),Oxidative phosphorylation,,0.35,0.65,55.999999999999766,39.00000000000016,True,optimal,47.00000000000013,0.6407673358917236,47.00000000000012,23.50000000000006,3.4057971014491906,3.9166666666666767,2.0,13.800000000000379,0.0,0.0,844.4000000000025,glucose_limited,pfba,fva_informed,recon3d
ATPS4mi,ATP synthase (four protons for one ATP),Oxidative phosphorylation,,0.4,0.6,55.999999999999766,36.00000000000015,True,optimal,44.00000000000014,0.6276888847351074,44.000000000000114,22.000000000000057,3.055555555555567,3.6666666666666763,2.0,14.399999999999984,0.0,0.0,785.2000000000035,glucose_limited,pfba,fva_informed,recon3d
ATPS4mi,ATP synthase (four protons for one ATP),Oxidative phosphorylation,,0.45,0.55,55.999999999999766,33.00000000000014,True,optimal,41.000000000000135,0.7788896560668945,41.000000000000135,20.500000000000068,2.7333333333333467,3.416666666666678,2.0,14.999999999999975,0.0,0.0,726.0000000000036,glucose_limited,pfba,fva_informed,recon3d
