,minimum,maximum
ATPS4mi,69.3705583756345,101.52284263959388
ATPtm,0.0,1000.0
CO2tm,-72.15228426395961,933.4111675126925
CYOOm3i,0.0,20.304568527918786
CYOR_u10mi,32.58782731064988,40.60913705583757
DCK1m,-1000.0000000000005,-46.284263959397784
DCMPtm,-1000.0,-46.28426395939073
ENO,7.84771573604167,20.923967580084863
GAPD,7.84771573604131,1000.0
GLUt2m,77.21827411167688,1000.0
H2Otm,-1000.0,1000.0
HMR_8475,-1000.0,-46.28426395939408
LDH_L,-1000.0,1000.0
LDH_Lm,-3.104621240490102e-16,32.152284263962166
L_LACtcm,0.0,32.15228426396051
NADH2_u10mi,8.45685279188002,40.60913705583762
O2t,16.565279770444924,20.203045685279186
O2tm,15.212000000000595,20.30456852791876
PGK,-999.9999999999998,-7.8477157360427166
PGM,-20.923967580084863,-7.847715736041626
TPI,-2.1522842639584288,10.00000000000008
r0377,0.0,1000.0
