,minimum,maximum
ATPS4mi,49.5999999999998,60.00000000000025
ATPtm,0.0,1000.0
CO2tm,-18.400000000000052,951.2000000000052
CYOOm3i,0.0,11.999999999998966
CYOR_u10mi,19.79999999999991,23.99999999999851
DCK1m,-1000.0000000000003,-36.800000000016375
DCMPtm,-1000.0,-36.80000000002133
ENO,-2.3999999999896415,4.492307692308506
GAPD,-2.199999999994505,1000.0
GLUt2m,47.20000000005118,1000.0
H2Otm,-1000.0,1000.0
HMR_8475,-1000.0,-36.80000000000028
LDH_L,-1000.0,1000.0
LDH_Lm,-3.6259265135532043e-13,10.400000000002477
L_LACtcm,0.0,10.399999999993176
NADH2_u10mi,13.60000000001031,24.00000000000459
O2t,10.005142857141532,20.120000000000008
O2tm,9.279200000002712,13.27999999999481
PGK,-1000.0,2.400000000001089
PGM,-4.492307692306914,2.399999999997549
TPI,-3.199999999996832,1.9999999999999862
r0377,0.0,1000.0
