reaction_id,reaction_name,subsystem,gene_association,modulation_fraction,remaining_capacity_fraction,baseline_flux,modulated_flux,feasible,solver_status,objective_value,runtime,atp_demand,atp_per_glc,atp_per_o2,atp_per_carbon,glc_uptake,o2_uptake,lac_out,lac_per_atp,total_flux,condition,state_method,mod_method
MAR02225,Free Diffusion,,,0.0,1.0,-19.99999999999979,-19.99999999999979,True,optimal,119.99999999999997,0.8744406700134277,119.99999999999996,11.999999999999996,5.999999999999998,1.9999999999999993,10.0,20.0,0.0,0.0,1296.666666666666,aerobic,pfba,fva_informed
MAR02225,Free Diffusion,,,0.1,0.9,-19.99999999999979,-19.99999999999979,True,optimal,119.99999999999997,0.8874878883361816,119.99999999999996,11.999999999999996,5.999999999999998,1.9999999999999993,10.0,20.0,0.0,0.0,1296.666666666666,aerobic,pfba,fva_informed
MAR02225,Free Diffusion,,,0.25,0.75,-19.99999999999979,-19.99999999999979,True,optimal,119.99999999999997,0.907412052154541,119.99999999999996,11.999999999999996,5.999999999999998,1.9999999999999993,10.0,20.0,0.0,0.0,1296.666666666666,aerobic,pfba,fva_informed
MAR02225,Free Diffusion,,,0.5,0.5,-19.99999999999979,-19.99999999999979,True,optimal,119.99999999999997,0.8963267803192139,119.99999999999996,11.999999999999996,5.999999999999998,1.9999999999999993,10.0,20.0,0.0,0.0,1296.666666666666,aerobic,pfba,fva_informed
MAR02225,Free Diffusion,,,0.75,0.25,-19.99999999999979,-19.99999999999979,True,optimal,119.99999999999997,0.8821954727172852,119.99999999999996,11.999999999999996,5.999999999999998,1.9999999999999993,10.0,20.0,0.0,0.0,1296.666666666666,aerobic,pfba,fva_informed
MAR02225,Free Diffusion,,,0.9,0.09999999999999998,-19.99999999999979,-19.99999999999979,True,optimal,119.99999999999997,0.9336094856262207,119.99999999999996,11.999999999999996,5.999999999999998,1.9999999999999993,10.0,20.0,0.0,0.0,1296.666666666666,aerobic,pfba,fva_informed
MAR02225,Free Diffusion,,,1.0,0.0,-19.99999999999979,0.0,True,optimal,120.0,1.2266814708709717,119.99999999999996,11.999999999999996,5.999999999999998,1.9999999999999993,10.0,20.0,0.0,0.0,1310.0000000000011,aerobic,pfba,fva_informed
MAR03956,carbonate hydro-lyase (carbon-dioxide-forming),,ENSG00000169239 or ENSG00000174990,0.0,1.0,19.999999999999787,19.999999999999787,True,optimal,119.99999999999997,0.8761200904846191,119.99999999999996,11.999999999999996,5.999999999999998,1.9999999999999993,10.0,20.0,0.0,0.0,1296.666666666666,aerobic,pfba,fva_informed
MAR03956,carbonate hydro-lyase (carbon-dioxide-forming),,ENSG00000169239 or ENSG00000174990,0.1,0.9,19.999999999999787,19.999999999999787,True,optimal,119.99999999999997,0.8882393836975098,119.99999999999996,11.999999999999996,5.999999999999998,1.9999999999999993,10.0,20.0,0.0,0.0,1296.666666666666,aerobic,pfba,fva_informed
MAR03956,carbonate hydro-lyase (carbon-dioxide-forming),,ENSG00000169239 or ENSG00000174990,0.25,0.75,19.999999999999787,19.999999999999787,True,optimal,119.99999999999997,0.876568078994751,119.99999999999996,11.999999999999996,5.999999999999998,1.9999999999999993,10.0,20.0,0.0,0.0,1296.666666666666,aerobic,pfba,fva_informed
