reaction_id,feasible,screen_hit,atp_demand,atp_per_glc,atp_per_o2,atp_per_carbon,glc_uptake,o2_uptake,lac_out,lac_per_atp,total_flux,max_rel_change
MAR00019,True,False,119.99999999999996,11.999999999999996,5.999999999999998,1.9999999999999993,10.0,20.0,0.0,0.0,1296.666666666666,3.857753876414721e-15
MAR00020,True,False,119.99999999999996,11.999999999999996,5.999999999999998,1.9999999999999993,10.0,20.0,0.0,0.0,1296.6666666666642,5.2605734678382564e-15
MAR00038,True,False,120.00000000000003,12.000000000000004,6.000000000000002,2.0000000000000004,10.0,20.0,0.0,0.0,1296.6666666666815,8.066212650685325e-15
MAR00045,True,False,119.99999999999996,11.999999999999996,5.999999999999998,1.9999999999999993,10.0,20.0,0.0,0.0,1296.6666666666617,7.189450406045617e-15
MAR00050,True,False,119.99999999999996,11.999999999999996,5.999999999999998,1.9999999999999993,10.0,20.0,0.0,0.0,1296.666666666665,4.73451612105443e-15
MAR00053,True,False,119.99999999999997,11.999999999999996,5.999999999999998,1.9999999999999996,10.0,20.0,0.0,0.0,1296.6666666666724,1.0521146935676512e-15
MAR00057,True,False,119.99999999999997,11.999999999999996,5.999999999999998,1.9999999999999996,10.0,20.0,0.0,0.0,1296.6666666666717,5.260573467838256e-16
MAR00060,True,False,120.0,12.0,6.0,2.0,10.0,20.0,0.0,0.0,1296.6666666666881,1.315143366959564e-14
MAR00061,True,False,119.99999999999996,11.999999999999996,5.999999999999998,1.9999999999999993,10.0,20.0,0.0,0.0,1296.666666666666,3.857753876414721e-15
MAR00064,True,False,119.99999999999996,11.999999999999996,5.999999999999998,1.9999999999999993,10.0,20.0,0.0,0.0,1296.6666666666652,4.559163672126489e-15
MAR00067,True,False,119.99999999999996,11.999999999999996,5.999999999999998,1.9999999999999993,10.0,20.0,0.0,0.0,1296.6666666666756,3.5070489785588374e-15
MAR00076,True,False,120.00000000000003,12.000000000000004,6.000000000000002,2.0000000000000004,10.0,20.0,0.0,0.0,1296.6666666666908,1.5255663056730942e-14
MAR00077,True,False,119.99999999999997,11.999999999999996,5.999999999999998,1.9999999999999996,10.0,20.0,0.0,0.0,1296.6666666666792,6.312688161405907e-15
MAR00078,True,False,119.99999999999996,11.999999999999996,5.999999999999998,1.9999999999999993,10.0,20.0,0.0,0.0,1296.666666666666,3.857753876414721e-15
MAR00079,True,False,120.0,12.0,6.0,2.0,10.0,20.0,0.0,0.0,1296.6666666666843,1.0170442037820628e-14
MAR00095,True,False,119.99999999999996,11.999999999999996,5.999999999999998,1.9999999999999993,10.0,20.0,0.0,0.0,1296.666666666666,3.857753876414721e-15
MAR00102,True,False,120.00000000000004,12.000000000000004,6.000000000000002,2.000000000000001,10.0,20.0,0.0,0.0,1296.6666666666872,1.2450023873883872e-14
MAR00105,True,False,120.0,12.0,6.0,2.0,10.0,20.0,0.0,0.0,1296.666666666683,9.293679793180918e-15
MAR00106,True,False,119.99999999999993,11.999999999999993,5.9999999999999964,1.999999999999999,10.0,20.0,0.0,0.0,1296.6666666666642,5.2605734678382564e-15
MAR00107,True,False,119.99999999999996,11.999999999999996,5.999999999999998,1.9999999999999993,10.0,20.0,0.0,0.0,1296.6666666666663,3.682401427486779e-15
MAR00108,True,False,119.99999999999996,11.999999999999996,5.999999999999998,1.9999999999999993,10.0,20.0,0.0,0.0,1296.666666666666,3.857753876414721e-15
MAR00109,True,False,119.99999999999996,11.999999999999996,5.999999999999998,1.9999999999999993,10.0,20.0,0.0,0.0,1296.6666666666692,1.4028195914235349e-15
MAR00110,True,False,120.00000000000003,12.000000000000004,6.000000000000002,2.0000000000000004,10.0,20.0,0.0,0.0,1296.6666666666968,1.981482672885743e-14
MAR00111,True,False,120.00000000000004,12.000000000000004,6.000000000000002,2.000000000000001,10.0,20.0,0.0,0.0,1296.666666666694,1.7710597341722128e-14
