,minimum,maximum
10FTHF5GLUtl,0.0,12.152284263938242
10FTHF5GLUtm,0.0,12.152284263959231
10FTHF6GLUtl,0.0,6.076142131981069
10FTHF6GLUtm,0.0,6.076142131978234
10FTHF7GLUtl,0.0,4.0507614213201135
10FTHF7GLUtm,0.0,4.050761421320853
10FTHFtl,-12.152284263959302,0.0
10FTHFtm,-1000.0,1000.0
11DOCRTSLtm,0.0,0.0
11DOCRTSLtr,1.7244863667513542e-29,0.0
11DOCRTSTRNtm,0.0,0.0
11DOCRTSTRNtr,0.0,0.0
13DAMPPOX,0.0,0.8509478672982741
1a_24_25VITD2Hm,0.0,0.0
1a_25VITD2Hm,0.0,0.0
1MNCAMti,0.0,12.15228426397658
1PPDCRp,0.0,1.0187883363530389e-14
24_25DHVITD2t,0.0,0.0
24_25DHVITD2tm,0.0,0.0
24_25DHVITD3t,0.0,0.0
24_25DHVITD3tm,0.0,0.0
24_25VITD2Hm,0.0,0.0
24_25VITD3Hm,0.0,0.0
24NPHte,0.0,0.0
25HVITD2t,0.0,0.0
25HVITD2tin_m,0.0,0.0
25HVITD3t,0.0,0.0
25HVITD3tin_m,0.0,0.0
25VITD2Hm,0.0,0.0
25VITD3Hm,0.0,0.0
2AMACHYD,0.0,12.152284263949488
2AMACSULT,0.0,2.8780002862694863e-12
2AMADPTm,0.0,953.7157360405835
2DR1PP,0.0,12.152284263952392
2HBO,0.0,0.0
2HBt2,-1000.0,1000.0
2HCO3_NAt,-1000.0,1000.0
2MCITt,0.0,0.0
2OXOADOXm,0.0,1.7116582812654729e-12
2OXOADPTm,-953.7157360406069,-1.6484789650521377e-11
34DHOXPEGOX,0.0,0.0
34DHOXPEGt,0.0,0.0
34DHPHAMT,0.0,0.0
34DHPHEt,-1000.0,0.0
34DHPLACOX,0.0,1000.0000000000166
34DHPLACOX_NADP_,-999.9999999999999,-1.4665602066088468e-11
34DHXMANDACOX,0.0,1000.0
34DHXMANDACOX_NADP_,-1000.0,0.0
34HPLFM,0.0,2.020073796256721e-13
34HPPOR,0.0,3.159390862725457e-13
35CGMPtn,0.0,6.076142131971919
3AIBTm,0.0,0.0
3AIBtmi,0.0,0.0
3DPHBH1,0.0,3.159390862725462e-13
3DPHBH2,0.0,3.1593908627254626e-13
3DSPHR,0.0,4.050761421317204
3HAO,0.0,6.586132288188365e-13
3HBCDm,0.0,0.0
3HBCOAHLm,0.0,1.949691751052857e-13
3HKYNAKGAT,0.0,1000.0
3HLYTCL,0.0,3.159390862725462e-13
3M4HDXPAC,0.0,2.0016884166005213e-13
3MLDAt,0.0,0.0
3MOBt2im,0.0,999.9999999999999
3MOPt2im,0.0,1000.0000000000007
3MOX4HOXPGALDOX,0.0,1000.0
3MOX4HOXPGALDOX_NADP_,-1000.0000000000002,0.0
3MOXTYROX,0.0,0.0
3SALAASPm,-953.7157360406156,1.2709937283324798e-14
3SALACBOXL,0.0,1.189205025771712e-12
3SALAOX,0.0,5.97658756532019e-13
3SALATAi,0.0,1.2400790760673162e-12
3SALATAim,0.0,1.1892050257717117e-12
3SPYRSP,0.0,1.1650462403160326e-12
3SPYRSPm,0.0,1.1892050257717117e-12
41R1H2MAE12BOOX,0.0,1.571829468016614e-13
41R2A1H12BOOX,0.0,-2.1478537669279714e-28
42A12BOOX,0.0,0.0
4ABUTtm,0.0,12.152284263954597
4HBZCOAFm,0.0,1.9801058079335603e-13
4HBZFm,0.0,3.159390862725461e-13
4HDEBRISOQUINEte,0.0,0.0
4HGLSDm,0.0,1000.0
4HOXPACDOX_NADP_,-1000.0,0.0
4MOPt2im,0.0,1000.0
4MPTNLte,0.0,0.0
4MPTNLtm,0.0,0.0
4MTOLBUTAMIDEte,0.0,0.0
4NPHSFte,0.0,0.0
4NPHSULT,0.0,0.0
4NPHte,0.0,0.0
4PYRDX,0.0,0.0
5ADTSTSTERONEGLCte,0.0,0.0
5ADTSTSTERONEGLCtr,0.0,0.0
5ADTSTSTERONESte,0.0,0.0
5ADTSTSTERONESULT,0.0,4.0507614213197956
5ADTSTSTERONEte,0.0,0.0
5ADTSTSTERONEtr,0.0,0.0
5AOPtm,-5.75718351615087e-14,2.4688359346786258e-12
5DHFtl,0.0,12.152284263962366
5FTHFt2,0.0,0.0
5HLTDL,0.0,8.808097397254829e-13
5HOMEPRAZOLEte,0.0,0.0
5HOXINDACTO2OX,0.0,4.787999999996967
5HOXINOXDA,0.0,8.808097397254829e-13
5HTRPVESSEC,0.0,0.0
5MTHFt,-1000.0,1000.0
5MTHFt2,-1000.0,1000.0
5THFtl,0.0,12.152284263941398
5THFtm,0.0,12.152284263953083
6DHFtl,0.0,6.076142131972176
6DHFtm,0.0,6.07614213197116
6HTSTSTERONEte,0.0,0.0
6HTSTSTERONEtr,0.0,0.0
6THFtl,0.0,6.076142131967397
6THFtm,0.0,6.076142131979233
7DHCHSTEROLtr,2.347664712161337e-16,2.577286199859475e-13
7DHFtl,0.0,4.050761421321095
7DHFtm,0.0,4.050761421314916
7THFtl,0.0,4.0507614213238705
7THFtm,0.0,4.050761421326205
A_MANASEly,0.0,0.0
A4GALTc,0.0,6.076142131975323
A4GALTg,0.0,2.4304568527895682
A4GNT1g,0.0,0.0
A4GNT2g,0.0,0.0
AACTOOR,0.0,3.999999999997139
AACTtm,0.0,3.9999999999947775
AASAD3m,0.0,0.0
AATAi,-953.7157360406111,-2.5275310037235294e-14
ABO1g,0.0,1.487953385722752e-29
ABO2g,0.0,0.0
ABO3g,0.0,0.0
ABO4g,0.0,0.0
ABO5g,0.0,0.0
ABO6g,0.0,0.0
ABO7g,0.0,0.0
ABO8g,0.0,0.0
ABO9g,0.0,0.0
ABTArm,-2.6652508505835455e-29,12.152284263928244
ABTD,0.0,0.0
ABTti,0.0,0.0
ABUTt2rL,0.0,0.0
ABUTt4_2_r,-1000.0,1000.0
ACACT10m,3.945747928489107e-30,4.3737142516870597e-13
ACACT1rm,0.0,6.076142131968413
ACACT1x,0.0,6.076142131959919
ACACt2m,-6.0761421319807605,12.15228426395334
ACACT4p,0.0,1.2639915522680971
ACACT5p,7.656120421732119e-31,1.2639915522669445
ACACT6p,0.0,1.2639915522663718
ACACT7p,-3.554869936348219e-29,1.263991552266372
ACACT8p,0.0,3.434720229519973
ACACT9p,0.0,3.4347202295488826
ACACtx,-12.152284263960377,0.0
ACALDtm,-18.22842639594411,0.0
ACALDtr,0.0,0.0
ACALDtx,0.0,0.0
ACCOACm,0.0,12.15228426393405
ACCOAgt,0.0,0.0
ACCOALm,0.0,6.0761421319571545
ACCOAtn,-1000.0000000000001,1000.0000000000001
ACCOAtr,-999.9999999999998,999.9999999999999
ACETONEt2,0.0,953.7157360405464
ACETONEt2m,-2.3939999999998687,953.7157360405722
ACGAGBSIDEtg,-1.5190355329940857,0.0
ACGAGBSIDEtl,5.666864117019491e-16,1.519035532991529
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEte,0.0,0.0
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEtg,0.0,0.0
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEte,0.0,0.0
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEtg,0.0,0.0
ACGALK,0.0,6.076142131959118
ACGALK2,0.0,6.07614213196285
ACGALtlg,-2.4304568527916124,0.0
