,minimum,maximum
MAR00001,0.0,0.0
MAR00002,0.0,0.0
MAR00003,0.0,0.0
MAR00004,0.0,0.0
MAR00005,0.0,0.0
MAR00006,0.0,2.0534236354184267e-15
MAR00007,0.0,0.0
MAR00008,0.0,0.0
MAR00009,0.0,0.0
MAR00010,0.0,0.0
MAR00011,0.0,0.0
MAR00012,0.0,0.0
MAR00013,0.0,1.2776598728591933e-14
MAR00014,0.0,1.4068361901978156e-15
MAR00015,0.0,0.0
MAR00016,0.0,0.0
MAR00017,0.0,0.0
MAR00018,-2.6503949506897083e-14,9.518470228382186e-12
MAR00019,-2.4947942108636555e-14,1000.0000000001492
MAR00020,-1000.0,3.5299763112561777e-10
MAR00021,0.0,0.0
MAR00022,0.0,0.0
MAR00023,0.0,0.0
MAR00031,0.0,0.0
MAR00033,0.0,0.0
MAR00034,0.0,0.0
MAR00035,0.0,0.0
MAR00036,0.0,0.0
MAR00037,0.0,0.0
MAR00038,-1000.0,1000.0000000000008
MAR00040,0.0,2.3795709872752618e-29
MAR00041,0.0,2.3898852498218324e-29
MAR00043,0.0,0.0
MAR00044,0.0,0.0
MAR00045,0.0,1000.0
MAR00046,0.0,0.0
MAR00047,0.0,4.7797704996436665e-29
MAR00048,0.0,4.779770499643667e-29
MAR00049,0.0,0.0
MAR00050,-999.9999999999999,999.9999999999982
MAR00051,0.0,0.0
MAR00052,0.0,1.3783729521034108e-12
MAR00053,-1000.0,1000.0
MAR00054,8.612376171673473e-15,5.810376441378236e-13
MAR00055,0.0,0.0
MAR00056,1.5648574840941986e-12,0.0
MAR00057,-1000.0,1000.0
MAR00058,0.0,1.1105142667280696e-11
MAR00060,-1000.0,-2.4215296434704214e-11
MAR00061,-1000.0,1000.0
MAR00062,0.0,0.0
MAR00063,5.287581054154059e-12,1.6399287696932354e-11
MAR00064,-999.9999999999999,1000.0000000000382
MAR00065,0.0,8.363929350889994e-11
MAR00066,2.922675369191878e-12,4.64788228686911e-12
MAR00067,0.0,1000.0
MAR00068,0.0,0.0
MAR00069,0.0,-3.479081637324456e-13
MAR00070,0.0,0.0
MAR00071,0.0,0.0
MAR00072,0.0,0.0
MAR00073,0.0,2.517030047355041e-11
MAR00074,0.0,2.6221229276003e-11
MAR00075,2.5254428148831285e-12,1.9121969997541717e-11
MAR00076,-1000.0,1000.0
MAR00077,4.6707113809711e-12,1000.0
MAR00078,-1000.0,1000.0
MAR00079,2.1518306645729952e-11,1000.0
MAR00080,0.0,2.3113472424030015e-12
MAR00081,0.0,0.0
MAR00082,0.0,0.0
MAR00083,0.0,3.717889347913942e-11
MAR00084,0.0,-3.479081637324427e-13
MAR00085,0.0,5.975858166493488e-15
MAR00086,0.0,1.669263442459502e-11
MAR00087,0.0,2.3851520499617893e-11
MAR00088,0.0,0.0
MAR00089,0.0,3.4278627036938286e-11
MAR00090,8.370851616770502e-12,3.038635835293852e-11
MAR00091,0.0,2.9719158418835814e-11
MAR00092,0.0,2.8709670312347742e-11
MAR00093,0.0,0.0
MAR00094,0.0,4.259579548156215e-11
MAR00095,0.0,1000.0
MAR00097,0.0,2.4704974566110457e-11
MAR00098,0.0,0.0
MAR00099,0.0,0.0
MAR00100,0.0,0.0
MAR00101,4.1087529247459384e-13,1.017066237294922e-12
MAR00102,-1000.0,1000.0
MAR00103,3.0341809650357263e-13,7.86982476467271e-12
MAR00104,1.6341083853428075e-12,1.4560062578534938e-11
MAR00105,-999.9999999999906,1000.0000000000165
MAR00106,-1000.0,1000.0
MAR00107,-1000.0,1000.0
MAR00108,-1000.0,1000.0
MAR00109,-999.9999999999998,1000.0
MAR00110,-1000.0,1000.0
MAR00111,-1000.0,1000.0000000000055
MAR00112,-1000.0,1000.0
MAR00113,0.0,8.183924783174234e-13
MAR00114,0.0,1.2227806273790188e-12
MAR00115,0.0,9.837014432233997e-13
MAR00116,0.0,9.980292745289276e-13
MAR00117,0.0,9.082925695469893e-13
MAR00118,0.0,1.003393042489077e-12
MAR00119,0.0,9.402222230977502e-11
MAR00120,2.710784663149331e-12,0.0
MAR00121,0.0,5.320056995237192e-11
MAR00122,0.0,4.305047708964676e-11
MAR00123,-1000.0,1000.0
MAR00124,1.449212276863719e-11,1000.0
MAR00125,-1000.0,1000.0
MAR00126,0.0,1000.0
MAR00127,3.5780457560201967e-12,8.249305213448718e-12
MAR00128,-1000.0,1000.0
MAR00129,0.0,0.0
MAR00130,0.0,0.0
MAR00131,6.242964604113457e-13,-3.5494340991132783e-28
MAR00132,2.265383121267854e-12,-3.549434099113279e-28
MAR00133,2.2653831212678535e-12,-3.549434099113278e-28
MAR00134,2.2653831212678535e-12,-3.5494340991132783e-28
MAR00135,0.0,-3.549526722685599e-28
MAR00136,0.0,0.0
MAR00137,0.0,1000.0
MAR00138,-1000.0,1000.0
MAR00139,0.0,0.0
MAR00140,0.0,0.0
MAR00141,-1000.0,0.0
MAR00142,0.0,0.0
MAR00143,-1000.0,1000.0
MAR00144,0.0,4.35621320358854e-12
MAR00145,0.0,4.466637673846895e-12
MAR00146,0.0,8.820243315306523e-12
MAR00147,0.0,2.0045415043598116e-12
MAR00148,0.0,6.376881061328272e-12
MAR00149,0.0,3.712708323793146e-12
MAR00150,0.0,1.8617170622761667e-12
MAR00151,0.0,2.701782352431156e-12
MAR00152,0.0,3.393372405527885e-12
MAR00153,0.0,3.06083034159292e-11
MAR00154,0.0,2.881359368800052e-11
MAR00155,-1000.0,1000.0
MAR00156,0.0,1.30230574769425e-11
MAR00157,0.0,1000.0
MAR00158,-1000.0,1000.0
MAR00159,-1000.0,1000.0
MAR00160,-1000.0,1000.0
MAR00161,-1000.0,1000.0
MAR00162,-1000.0,1000.0
MAR00163,-1000.0,1000.0
MAR00164,0.0,0.0
MAR00165,0.0,0.0
MAR00166,0.0,0.0
MAR00167,0.0,0.0
MAR00168,0.0,2.194504860804503e-11
MAR00169,-1.6529985759192183e-12,3.788619629620302e-11
MAR00170,0.0,0.0
MAR00171,0.0,0.0
MAR00172,0.0,0.0
MAR00173,0.0,0.0
MAR00174,0.0,2.440291753502541e-11
MAR00175,-1000.0,1000.0
MAR00176,0.0,0.0
MAR00177,0.0,0.0
MAR00178,0.0,0.0
MAR00179,0.0,5.4341996812475065e-11
MAR00180,0.0,1.690356390243419e-11
MAR00181,0.0,7.553231303886936e-12
MAR00182,-6.118093822315282e-12,3.8004762111625084e-11
MAR00183,0.0,0.0
MAR00184,0.0,2.569146429434011e-11
MAR00185,0.0,-4.474526004241731e-29
MAR00186,0.0,9.229171047993835e-12
MAR00187,0.0,3.934937782770699e-11
MAR00188,-8.787244019114064e-15,2.3121291404039442e-11
MAR00189,0.0,2.532550708613537e-11
MAR00190,0.0,3.798836048692424e-11
MAR00191,0.0,3.4164577763126015e-11
MAR00192,0.0,2.144444354041476e-11
MAR00193,-9.81553837893799e-13,2.5063065908332786e-11
MAR00194,0.0,3.759469872022036e-11
MAR00195,0.0,3.4664868984270856e-11
MAR00196,0.0,2.3062841840150414e-11
MAR00197,0.0,2.5192139556228752e-11
MAR00198,0.0,3.77139216624065e-11
MAR00199,0.0,3.4313137238825445e-11
MAR00200,0.0,2.0260901796735464e-11
MAR00201,0.0,2.532550708613537e-11
MAR00202,0.0,3.798836048692424e-11
MAR00203,0.0,3.0464132372299536e-11
MAR00204,0.0,2.0260901796735464e-11
MAR00205,0.0,7.619099256838358e-12
MAR00206,4.974757957042918e-16,4.7239996411848646e-11
MAR00207,0.0,2.890153597689736e-11
MAR00208,0.0,3.4818102163995386e-11
MAR00209,0.0,2.2207740971614022e-11
