website_domain,registry_systems,reachable_systems,motorized_declared_systems,motorized_micromobility_systems,evaluable_vehicle_feeds,battery_percent_feeds,range_feeds,last_reported_feeds
mogodetroit.org,1,1,1,1,0,0,0,0
monabike.mc,1,1,1,1,0,0,0,0
montenvelo.fr,1,1,1,1,1,0,1,1
mooinz.ch,1,1,1,1,1,1,1,0
movemix-bike.de,1,1,1,1,1,1,1,0
moxsi.es,1,1,1,1,1,1,1,0
myradl.de,1,1,1,1,1,1,1,0
myveloh.lu,1,1,1,1,0,0,0,0
naolib.fr,1,1,1,1,1,1,1,1
naturenergie-sharing.de,1,1,1,1,1,1,1,0
nemo-velo.fr,1,1,1,1,1,1,1,1
nextbike-bicilog.com,1,1,1,1,1,1,1,0
nextbike.ba,3,3,1,1,3,1,1,0
nextbike.be,1,1,1,1,1,1,1,0
nextbike.ch,1,1,1,1,1,1,1,0
nextbike.co.uk,4,3,1,1,3,1,1,0
nextbike.com.cy,1,1,1,1,1,1,1,0
nextbike.it,1,1,1,1,1,1,1,0
nike.com,1,1,1,1,0,0,0,0
ogalo.ecovelo.mobi,1,1,1,1,1,1,1,1
perivelolibreservice.ecovelo.mobi,1,1,1,1,1,1,1,1
pogoh.com,1,1,1,1,0,0,0,0
porecbikeshare.com,1,1,1,1,1,1,1,0
publibike.ch,1,1,1,1,0,0,0,0
regiorad.vvt.at,1,1,1,1,1,0,0,0
rhoule.ecovelo.mobi,1,1,1,1,1,1,1,1
ridetrinitymetro.org,1,1,1,1,0,0,0,0
rivieradesaolourenco.com,1,1,1,1,0,0,0,0
rlvlib.ecovelo.mobi,1,1,1,1,1,1,1,1
rowermevo.pl,1,1,1,1,1,0,1,1
rubis.ecovelo.mobi,1,1,1,1,1,1,1,1
saintbrieuc-armor-agglo.bzh,1,1,1,1,1,0,1,1
semo.ecovelo.mobi,1,1,1,1,1,1,1,1
senicabajk.sk,1,1,1,1,1,1,1,0
share-birrer.ch,1,1,1,1,0,0,0,0
stadtwerke-konstanz.de,1,1,1,1,1,1,1,0
stadtwerke-radolfzell.de,1,1,1,1,1,1,1,0
stella-sharing.de,1,1,1,1,1,0,1,0
stonybrook.edu,1,1,1,1,0,0,0,0
sts.saguenay.ca,1,1,1,1,0,0,0,0
suewag2go.de,1,1,1,1,1,0,1,0
swabi.eu,1,1,1,1,1,0,1,1
tam-voyages.com,1,1,1,1,1,0,1,1
tanlib.ecovelo.mobi,1,1,1,1,1,1,1,1
teilauto-neckar-alb.de,1,1,1,1,1,1,1,0
tembici.com.br,1,1,1,1,0,0,0,0
tembici.com.co,1,1,1,1,0,0,0,0
tempovelo.ecovelo.mobi,1,1,1,1,1,1,1,1
tlpmobilites.ecovelo.mobi,1,1,1,1,1,1,1,1
tubabike.pt,1,1,1,1,1,0,0,0
tuebici.es,1,1,1,1,1,1,1,0
tugobikeshare.com,1,1,1,1,0,0,0,0
twisto.fr,1,1,1,1,1,0,1,1
usedomrad.de,1,1,1,1,1,1,1,0
vagrad.de,1,1,1,1,1,1,1,0
velam.cyclocity.fr,1,1,1,1,0,0,0,0
velectin.ecovelo.mobi,1,1,1,1,1,1,1,1
velibeo.ecovelo.mobi,1,1,1,1,1,1,1,1
velivert.fr,1,1,1,1,1,0,1,1
velo-grandavignon.fr,1,1,1,1,1,0,1,1
