species,project,n_ind,n_fixes,t0,t1
Black Marlin,0,3,460,2019-06-14 07:03:45+00:00,2019-06-26 23:23:26+00:00
Black-footed Albatross,1,104,7392,2002-12-16 09:15:24+00:00,2010-02-26 01:45:00+00:00
Blue Marlin,0,22,3305,2003-05-21 00:44:07+00:00,2021-05-01 14:03:45+00:00
Blue Shark,1,74,13704,2002-06-26 21:10:31+00:00,2018-04-03 23:41:15+00:00
Blue Whale,1,69,9337,2003-09-26 07:38:05+00:00,2009-04-10 12:34:27+00:00
California Sea Lion,1,149,48077,2003-04-09 18:15:52+00:00,2018-06-16 18:38:26+00:00
Common Thresher Shark,1,2,805,2004-05-04 18:07:01+00:00,2005-12-31 09:58:49+00:00
Crabeater Seal,0,11,3770,2007-04-27 01:37:01+00:00,2008-01-10 03:01:38+00:00
Fin Whale,1,2,497,2004-08-02 23:04:27+00:00,2007-07-26 02:04:13+00:00
Galapagos Sea Lion,0,18,788,2005-03-13 20:29:24+00:00,2006-09-14 05:04:13+00:00
Galapagos Shark,0,5,147,2006-07-23 08:03:59+00:00,2006-09-26 19:50:37+00:00
Grey Reef Shark,0,11,205,2013-05-29 02:03:45+00:00,2016-08-08 02:25:46+00:00
Hawksbill Turtle,0,1,448,2010-09-24 05:38:26+00:00,2011-03-02 15:18:45+00:00
Humpback Whale,1,19,1356,2003-09-25 10:24:29+00:00,2006-01-08 15:41:43+00:00
Juvenile White Shark,1,15,979,2006-07-14 22:09:50+00:00,2013-03-09 06:54:50+00:00
Laysan Albatross,1,143,8280,2002-12-16 04:41:39+00:00,2010-02-20 03:56:43+00:00
Leatherback Sea Turtle,1,104,53512,2004-01-21 03:21:33+00:00,2019-09-27 03:35:37+00:00
Loggerhead Sea Turtle,1,16,12114,2005-09-01 00:04:41+00:00,2007-08-02 23:41:15+00:00
Mediterranean Spearfish,0,6,704,2020-07-22 04:33:45+00:00,2021-03-04 08:42:11+00:00
Northern Elephant Seal,1,387,146024,2002-12-04 22:05:46+00:00,2020-04-27 05:00:00+00:00
Northern Fur Seal,0,44,10352,2006-10-04 01:39:22+00:00,2007-12-31 07:06:47+00:00
Ocean Sunfish,1,3,11,2005-04-29 04:45:00+00:00,2006-04-10 00:47:20+00:00
Oceanic Whitetip Shark,0,5,44,2004-10-01 13:07:58+00:00,2006-11-13 01:35:23+00:00
Porbeagle Shark,0,2,164,2017-08-02 18:09:22+00:00,2018-01-13 01:03:45+00:00
Salmon Shark,1,104,46765,2002-07-16 05:15:31+00:00,2019-02-17 12:08:26+00:00
Shortfin Mako Shark,1,75,32783,2003-06-26 09:07:47+00:00,2017-02-04 02:19:41+00:00
Silky Shark,0,6,52,2004-09-30 08:55:53+00:00,2017-05-10 08:48:45+00:00
Silvertip Shark,0,2,5,2013-04-15 04:39:50+00:00,2013-04-22 23:50:37+00:00
Smooth Hammerhead,0,1,68,2015-07-03 00:13:07+00:00,2015-10-19 21:21:33+00:00
Sooty Shearwater,1,10,2742,2005-06-25 07:23:40+00:00,2005-10-25 21:52:44+00:00
South American Sea Lion,0,6,749,2007-10-22 15:44:17+00:00,2009-12-26 05:47:20+00:00
Southern Elephant Seal,1,32,29526,2007-01-16 20:24:50+00:00,2009-12-05 08:14:31+00:00
Sperm Whale,1,18,1425,2008-04-20 23:26:29+00:00,2009-04-14 17:24:22+00:00
Striped Marlin,0,17,1254,2006-01-14 15:59:03+00:00,2018-12-05 17:37:30+00:00
Tiger Shark,0,1,17,2010-08-31 15:46:52+00:00,2010-09-05 21:40:18+00:00
Weddell Seal,1,22,5957,2010-01-25 08:37:30+00:00,2011-08-05 10:12:11+00:00
Whale Shark,0,4,1277,2010-06-22 13:39:22+00:00,2011-10-09 18:02:48+00:00
