species,median_daily_disp_km,p90_daily_disp_km,n_ind,mobility_source
Black-footed Albatross,80.30043969728062,696.3528471461835,5,"median daily displacement (GPS/Argos-SSM, CCS box)"
Blue Shark,23.825187226420258,41.25409110319129,65,"median daily displacement (GPS/Argos-SSM, CCS box)"
Blue Whale,27.6531096591561,54.39792758191767,66,"median daily displacement (GPS/Argos-SSM, CCS box)"
California Sea Lion,16.34097298778618,33.80215609886377,131,"median daily displacement (GPS/Argos-SSM, CCS box)"
Common Thresher Shark,22.39058225965736,22.39058225965736,2,"median daily displacement (GPS/Argos-SSM, CCS box)"
Fin Whale,90.27589900285007,102.96248065236426,2,"median daily displacement (GPS/Argos-SSM, CCS box)"
Humpback Whale,17.74363699177037,27.426713426480518,19,"median daily displacement (GPS/Argos-SSM, CCS box)"
Juvenile White Shark,35.272188684660506,59.916138912607146,15,"median daily displacement (GPS/Argos-SSM, CCS box)"
Laysan Albatross,231.2051720550445,404.34554698480764,39,"median daily displacement (GPS/Argos-SSM, CCS box)"
Leatherback Sea Turtle,37.37237623833247,52.4707925626069,21,"median daily displacement (GPS/Argos-SSM, CCS box)"
Northern Elephant Seal,47.9702217507933,92.54577650335773,374,"median daily displacement (GPS/Argos-SSM, CCS box)"
Northern Fur Seal,18.122980095575663,22.672472872006843,2,"median daily displacement (GPS/Argos-SSM, CCS box)"
Oceanic Whitetip Shark,,,1,"median daily displacement (GPS/Argos-SSM, CCS box)"
Salmon Shark,27.945327333136937,62.673238002910004,34,"median daily displacement (GPS/Argos-SSM, CCS box)"
Shortfin Mako Shark,24.277837488439083,55.84602851561467,73,"median daily displacement (GPS/Argos-SSM, CCS box)"
Smooth Hammerhead,,,1,"median daily displacement (GPS/Argos-SSM, CCS box)"
Sooty Shearwater,13.630404230536026,16.825787598687103,10,"median daily displacement (GPS/Argos-SSM, CCS box)"
South American Sea Lion,,,3,"median daily displacement (GPS/Argos-SSM, CCS box)"
