Exclusion reason,Total,Singleton,Twin
General anesthesia,142,136,6
SBP < 90 mmHg at admission,12,11,1
Intrauterine fetal death,13,4,9
Vanishing twin,3,0,3
Triplet pregnancy,5,5,0
Non-cesarean delivery,2,2,0
Cardiac arrest,1,1,0
Missing anesthesia data (note),1,1,0
Missing antiemetic data,187,167,20
