Covariates,aOR,CI_lo,CI_hi,P,n_covs
twin only (crude),2.697831325301254,1.2070984877794333,6.029577481424733,0.015577419758139211,0
twin + 年齢(歳),3.0162552237712177,1.3359000175490336,6.810236885555866,0.007885605711634892,1
twin + BMI,2.716715466341174,1.2136930508186847,6.081062192849231,0.015055050657964199,1
twin + GA_weeks,2.7444273957145433,1.2144333676218602,6.201971990523998,0.015223996015164038,1
twin + emergency,2.6778507309792348,1.193803312919138,6.006755434336561,0.01686069358516172,1
twin + prior_cs,2.550108235266991,1.1040441977081321,5.890209853080259,0.02840134458573282,1
twin + HDP,2.696459962300166,1.2063287266616654,6.027292700231827,0.015647274293261095,1
twin + epidural,2.662008733650922,1.1867571294740655,5.971137920337762,0.017531050962429313,1
twin + 手術時間_min,3.3564834570229842,1.472598720699691,7.650408111122114,0.0039679320281742645,1
twin + hypotension,2.7615667523880973,1.2326654929678393,6.186796800431174,0.013578025831148345,1
all MINUS 年齢(歳),2.684203734029969,1.0872096238533329,6.627010585359197,0.032250273250529364,8
all MINUS BMI,2.9944405082597263,1.2038807654332029,7.448141223753343,0.01832059950972117,8
all MINUS GA_weeks,3.066386386408816,1.2473394172307894,7.538225234337779,0.014624506658684344,8
all MINUS emergency,3.1289298279859277,1.306863322154821,7.491373965808052,0.010443893546143439,8
all MINUS prior_cs,3.664898817974853,1.541583734459363,8.7127822159488,0.003287131792768766,8
all MINUS HDP,3.0054927469407895,1.2043946529856655,7.500022214081681,0.018345643069017717,8
all MINUS epidural,3.3445883660126987,1.3589573971761895,8.231509951166768,0.008602729819857368,8
all MINUS 手術時間_min,2.6821438664516872,1.0838034375816659,6.6376387736843085,0.03284005463570426,8
all MINUS hypotension,2.9352429530495283,1.1788074874991203,7.308785603071886,0.020701527677723503,8
reduced (6 covs),3.1640771841286477,1.3685908924072145,7.315103792276776,0.007064566647758646,5
