Variable,OR,95% CI lower,95% CI upper,P-value
twin,3.0203629966560777,1.211445446794175,7.530337132150874,0.0177168342051417
年齢(歳),1.0752785037003836,0.9993212024347236,1.1570092355722443,0.05216164768727059
BMI,1.0087029698803402,0.9988405270079214,1.0186627934424504,0.08389138288789785
GA_weeks,0.9890206706245933,0.8724033345494189,1.1212266714087284,0.8630716393307769
emergency,0.898240091051021,0.3985234234199845,2.024561703920379,0.7957706608317787
prior_cs,0.5751498896731101,0.2454340240574257,1.347805777383139,0.20301209032682677
HDP,0.5100786903118605,0.11594357682292371,2.2440248734746775,0.37312959417476643
epidural,9.50302478152938e-10,0.0,inf,0.9980800115857963
手術時間_min,1.0274167063517419,1.0095486979786763,1.0456009607106218,0.002514066276143088
hypotension,1.388330672678896,0.6811041091678198,2.829908131160785,0.3665230222498682
