Drug,Singleton,Twin,P-value
Metoclopramide,346 (12.3%),38 (11.2%),0.5660905337141262
Droperidol,114 (4.0%),14 (4.1%),0.9430330631234588
Ondansetron,25 (0.9%),7 (2.1%),0.07494419117356593
Granisetron,0 (0.0%),1 (0.3%),0.10745891276864726
Prochlorperazine (Novamin),30 (1.1%),4 (1.2%),0.7802852680914568
Hydroxyzine (Atarax-P),16 (0.6%),3 (0.9%),0.4495089057752246
Dexamethasone,2 (0.1%),0 (0.0%),1.0
