Outcome,Singleton,Twin,P-value
Primary: any IONV (anesthesia→exit),501/2824 (17.7%),58/340 (17.1%),0.7554274749870666
Secondary: IONV before delivery,54/2824 (1.9%),5/340 (1.5%),0.5695844091468312
Post-delivery IONV only,451/2824 (16.0%),54/340 (15.9%),0.9666498673531361
