Variable,OR,95% CI lower,95% CI upper,P-value
twin,0.9223740734150708,0.6728830023791611,1.2643712626120256,0.6155486562421344
年齢(歳),0.9994926096869854,0.9816456907612694,1.0176639965120042,0.9559719201468262
BMI,0.9995227271667555,0.9917939281781788,1.0073117547291404,0.9040590413650353
GA_weeks,0.9861773324817767,0.9552930384606256,1.0180601050626816,0.39122176990291413
emergency,0.9086452390425535,0.7279473315505044,1.1341976742687148,0.397086521886024
prior_cs,0.7620017365342605,0.6129855762982395,0.9472435713539907,0.014360062565044338
HDP,1.216767423281967,0.8872791071894744,1.6686101930765718,0.22333942160249176
epidural,1.6656463880836194,1.3695132831160497,2.025813056609041,3.2498454173843337e-07
手術時間_min,1.0115092161718833,1.0052029163445766,1.0178550795707486,0.0003354262781503768
hypotension,1.1170571932171005,0.9236370604972066,1.3509817073021622,0.2538242176124593
