Variable,OR,95% CI lower,95% CI upper,P-value
twin,0.813308409390646,0.3085365465142227,2.1438969751191226,0.676051476446499
年齢(歳),0.999076841731582,0.9492516628779741,1.0515172895858964,0.9717731214113916
BMI,1.001226728688756,0.9824830081607514,1.0203280401942263,0.8988232058284767
GA_weeks,0.9983119674664707,0.9026300753475698,1.1041364691986484,0.9737820000810788
emergency,0.659481222148445,0.3425234879978769,1.2697391495940342,0.21295198365645152
prior_cs,0.8798449467488978,0.4850338771640199,1.5960269308318655,0.6735376641914244
HDP,1.225407615801137,0.45913122621226893,3.2705765566230203,0.6848611957758683
epidural,2.0378711615164122,1.189885824580856,3.49018265883043,0.009506558780036317
手術時間_min,1.0145384688365802,0.9989820869027112,1.0303370983763322,0.06713250202618117
hypotension,1.603635535276349,0.9159066392576442,2.807760987610506,0.09841447372222609
