Variable,Included (n=3219),Excluded (n=188),P-value
Age (years),33.0 [30.0-37.0],33.0 [29.0-36.0],0.05461039750484431
BMI (kg/m²),24.8 [22.5-27.8],27.3 [23.7-29.3],0.7175994975624469
Gestational age (weeks),38.0 [37.0-38.4],35.9 [35.8-36.5],0.08922322359429283
Emergency CS,1461/3219 (45.4%),139/188 (73.9%),2.459141961887727e-14
Twin pregnancy,344/3219 (10.7%),20/188 (10.6%),0.9833912659284134
