Variable,IRR,95% CI lower,95% CI upper,P-value
twin,1.0224116798232195,0.7830541416362977,1.3349340581413536,0.8706184801257753
年齢(歳),0.9985164379230942,0.9830233295851638,1.0142537280609338,0.8523814018063827
BMI,1.0016551321614817,0.996642837459119,1.0066926345884566,0.5182005191829269
GA_weeks,0.9802209453406757,0.954351412162272,1.0067917220425235,0.14320883645638838
emergency,0.9626345916993144,0.7935284157981688,1.1677784168623897,0.6992324942875454
prior_cs,0.8219275615036309,0.6800312845312281,0.993432113678414,0.042548649454314545
HDP,1.2142335273122384,0.930410298796268,1.5846375096627794,0.15301090475484752
epidural,1.5083713405870747,1.2746552352960325,1.7849407730836708,1.708484270752309e-06
手術時間_min,1.0091981648438777,1.0039274815785775,1.0144965195322568,0.0006099627047240122
hypotension,1.1199254040921645,0.9486832484229613,1.3220776405781018,0.1809776217522706
