Combo,Size,S_n,T_n,S_pct,T_pct,P_uni,aOR,CI_lo,CI_hi,P_adj,Model
A,1,501,58,17.740793201133144,17.058823529411764,0.7554274749870666,0.9223740734150708,0.6728830023791611,1.2643712626120256,0.6155486562421344,full
B,1,54,5,1.9121813031161472,1.4705882352941178,0.5695844091468312,0.813308409390646,0.3085365465142227,2.1438969751191226,0.676051476446499,full
C,1,447,53,15.828611898016996,15.588235294117647,0.908606113728422,0.9409667730214497,0.6786552774283822,1.3046660025771888,0.7151598074596928,full
D,1,31,4,1.0977337110481586,1.1764705882352942,0.7855609662767609,1.1095485502085258,0.3840705253305699,3.2053956345914187,0.8477014726242548,reduced
E,1,25,8,0.8852691218130312,2.3529411764705883,0.020441248457256426,3.1640771841286477,1.3685908924072145,7.315103792276776,0.007064566647758646,reduced
F,1,500,58,17.705382436260624,17.058823529411764,0.7675930602582981,0.9240078145352584,0.6740383080917218,1.2666794024502868,0.6233650684228336,full
A+B,2,501,58,17.740793201133144,17.058823529411764,0.7554274749870666,0.9223740734150708,0.6728830023791611,1.2643712626120256,0.6155486562421344,full
A+C,2,501,58,17.740793201133144,17.058823529411764,0.7554274749870666,0.9223740734150708,0.6728830023791611,1.2643712626120256,0.6155486562421344,full
A+D,2,501,58,17.740793201133144,17.058823529411764,0.7554274749870666,0.9223740734150708,0.6728830023791611,1.2643712626120256,0.6155486562421344,full
A+E,2,502,58,17.776203966005667,17.058823529411764,0.7433389163276742,0.9199020287214466,0.6711090373486274,1.2609273536071297,0.603817071069713,full
A+F,2,501,58,17.740793201133144,17.058823529411764,0.7554274749870666,0.9223740734150708,0.6728830023791611,1.2643712626120256,0.6155486562421344,full
B+C,2,501,58,17.740793201133144,17.058823529411764,0.7554274749870666,0.9223740734150708,0.6728830023791611,1.2643712626120256,0.6155486562421344,full
B+D,2,80,9,2.8328611898016995,2.6470588235294117,0.8447981032362284,1.0021605590565685,0.48242779817794385,2.08181574511618,0.995383456838326,full
B+E,2,73,10,2.584985835694051,2.9411764705882355,0.6978467922547267,1.2623886513194733,0.6173014498898999,2.581599488004497,0.5232413854266345,full
B+F,2,500,58,17.705382436260624,17.058823529411764,0.7675930602582981,0.9240078145352584,0.6740383080917218,1.2666794024502868,0.6233650684228336,full
C+D,2,452,53,16.005665722379604,15.588235294117647,0.842614984854216,0.9252673603228929,0.6674939820808145,1.282587875039812,0.6410796238773047,full
C+E,2,454,56,16.076487252124647,16.470588235294116,0.851889891322206,0.9822942612060518,0.71282517929824,1.3536306567456933,0.9130487876077021,full
C+F,2,501,58,17.740793201133144,17.058823529411764,0.7554274749870666,0.9223740734150708,0.6728830023791611,1.2643712626120256,0.6155486562421344,full
D+E,2,46,10,1.6288951841359773,2.9411764705882355,0.08296529578605123,1.952408670677509,0.9238567942400941,4.126071963861178,0.07968516180472167,full
D+F,2,500,58,17.705382436260624,17.058823529411764,0.7675930602582981,0.9240078145352584,0.6740383080917218,1.2666794024502868,0.6233650684228336,full
E+F,2,501,58,17.740793201133144,17.058823529411764,0.7554274749870666,0.9215290703220606,0.6722591966535493,1.2632267906128578,0.6115604506063195,full
A+B+C,3,501,58,17.740793201133144,17.058823529411764,0.7554274749870666,0.9223740734150708,0.6728830023791611,1.2643712626120256,0.6155486562421344,full
A+B+D,3,501,58,17.740793201133144,17.058823529411764,0.7554274749870666,0.9223740734150708,0.6728830023791611,1.2643712626120256,0.6155486562421344,full
A+B+E,3,502,58,17.776203966005667,17.058823529411764,0.7433389163276742,0.9199020287214466,0.6711090373486274,1.2609273536071297,0.603817071069713,full
A+B+F,3,501,58,17.740793201133144,17.058823529411764,0.7554274749870666,0.9223740734150708,0.6728830023791611,1.2643712626120256,0.6155486562421344,full
A+C+D,3,501,58,17.740793201133144,17.058823529411764,0.7554274749870666,0.9223740734150708,0.6728830023791611,1.2643712626120256,0.6155486562421344,full
A+C+E,3,502,58,17.776203966005667,17.058823529411764,0.7433389163276742,0.9199020287214466,0.6711090373486274,1.2609273536071297,0.603817071069713,full
A+C+F,3,501,58,17.740793201133144,17.058823529411764,0.7554274749870666,0.9223740734150708,0.6728830023791611,1.2643712626120256,0.6155486562421344,full
A+D+E,3,502,58,17.776203966005667,17.058823529411764,0.7433389163276742,0.9199020287214466,0.6711090373486274,1.2609273536071297,0.603817071069713,full
A+D+F,3,501,58,17.740793201133144,17.058823529411764,0.7554274749870666,0.9223740734150708,0.6728830023791611,1.2643712626120256,0.6155486562421344,full
A+E+F,3,502,58,17.776203966005667,17.058823529411764,0.7433389163276742,0.9199020287214466,0.6711090373486274,1.2609273536071297,0.603817071069713,full
B+C+D,3,501,58,17.740793201133144,17.058823529411764,0.7554274749870666,0.9223740734150708,0.6728830023791611,1.2643712626120256,0.6155486562421344,full
B+C+E,3,502,58,17.776203966005667,17.058823529411764,0.7433389163276742,0.9199020287214466,0.6711090373486274,1.2609273536071297,0.603817071069713,full
B+C+F,3,501,58,17.740793201133144,17.058823529411764,0.7554274749870666,0.9223740734150708,0.6728830023791611,1.2643712626120256,0.6155486562421344,full
B+D+E,3,90,12,3.186968838526912,3.5294117647058822,0.7355631939518275,1.2247122310950167,0.6401966127244395,2.342905318743611,0.5402312766006858,full
B+D+F,3,500,58,17.705382436260624,17.058823529411764,0.7675930602582981,0.9240078145352584,0.6740383080917218,1.2666794024502868,0.6233650684228336,full
B+E+F,3,501,58,17.740793201133144,17.058823529411764,0.7554274749870666,0.9215290703220606,0.6722591966535493,1.2632267906128578,0.6115604506063195,full
C+D+E,3,458,56,16.218130311614733,16.470588235294116,0.905095530358,0.9697756973767905,0.7038670588503099,1.33613995909794,0.8511142536658061,full
C+D+F,3,501,58,17.740793201133144,17.058823529411764,0.7554274749870666,0.9223740734150708,0.6728830023791611,1.2643712626120256,0.6155486562421344,full
C+E+F,3,502,58,17.776203966005667,17.058823529411764,0.7433389163276742,0.9199020287214466,0.6711090373486274,1.2609273536071297,0.603817071069713,full
D+E+F,3,501,58,17.740793201133144,17.058823529411764,0.7554274749870666,0.9215290703220606,0.6722591966535493,1.2632267906128578,0.6115604506063195,full
A+B+C+D,4,501,58,17.740793201133144,17.058823529411764,0.7554274749870666,0.9223740734150708,0.6728830023791611,1.2643712626120256,0.6155486562421344,full
A+B+C+E,4,502,58,17.776203966005667,17.058823529411764,0.7433389163276742,0.9199020287214466,0.6711090373486274,1.2609273536071297,0.603817071069713,full
A+B+C+F,4,501,58,17.740793201133144,17.058823529411764,0.7554274749870666,0.9223740734150708,0.6728830023791611,1.2643712626120256,0.6155486562421344,full
A+B+D+E,4,502,58,17.776203966005667,17.058823529411764,0.7433389163276742,0.9199020287214466,0.6711090373486274,1.2609273536071297,0.603817071069713,full
A+B+D+F,4,501,58,17.740793201133144,17.058823529411764,0.7554274749870666,0.9223740734150708,0.6728830023791611,1.2643712626120256,0.6155486562421344,full
A+B+E+F,4,502,58,17.776203966005667,17.058823529411764,0.7433389163276742,0.9199020287214466,0.6711090373486274,1.2609273536071297,0.603817071069713,full
A+C+D+E,4,502,58,17.776203966005667,17.058823529411764,0.7433389163276742,0.9199020287214466,0.6711090373486274,1.2609273536071297,0.603817071069713,full
A+C+D+F,4,501,58,17.740793201133144,17.058823529411764,0.7554274749870666,0.9223740734150708,0.6728830023791611,1.2643712626120256,0.6155486562421344,full
A+C+E+F,4,502,58,17.776203966005667,17.058823529411764,0.7433389163276742,0.9199020287214466,0.6711090373486274,1.2609273536071297,0.603817071069713,full
