specialty,outcome,n,bivar_lit_F,bivar_lit_p,bivar_jmsr_F,bivar_jmsr_p,trivar_aic,bivar_lit_aic,aic_delta,interaction_F,interaction_p
Internal medicine,physicians,9,1.5053223364966497,0.3991502352541043,2.718272526323125,0.16012006127690986,16.200245116564986,13.5953918661773,2.604853250387686,3.1567094862144214,0.13576848440855666
Internal medicine,facilities,9,1.5275663453912673,0.2713728938904258,3.939526829908519,0.10393520027264062,14.054209322454533,12.43232229448425,1.621887027970283,2.0021459149099647,0.21622746517606314
General surgery,physicians,9,0.18748936809180608,0.6830563616049592,33.11378057787158,0.0022239035667816222,14.151284374961763,12.586565649185903,1.56471872577586,21.297955867786516,0.00576158486149655
General surgery,facilities,9,6.213563063429016,0.13862774764800395,2.690622894316962,0.27095697085168435,14.73955136055454,11.406448522065393,3.333102838489147,1.4059587285214235,0.4156347272900012
Orthopaedic surgery,physicians,9,0.48451409777207766,0.5174060415626717,0.5453603344076372,0.6470982706976991,14.434648509009666,10.847211599303321,3.5874369097063443,0.43624107311381705,0.6962619428728407
Orthopaedic surgery,facilities,9,0.5335238412052697,0.4979019309758338,0.5250122376868638,0.6557324428535725,8.616124434179559,6.003307242895195,2.612817191284364,1.9611345271872604,0.33770839886490595
Plastic surgery,physicians,9,0.059626992046187474,0.8167900764377982,0.6204088204337231,0.6171282131951968,6.84632276399741,8.818397469723628,-1.972074705726218,0.6337743803925446,0.6120796188270081
Plastic surgery,facilities,9,0.7594378672166612,0.5683633498135104,0.5661799265866695,0.6384962436464108,3.2194616018120374,4.508842004019922,-1.2893804022078843,0.5486668590458079,0.6457166653751071
Obstetrics & gynaecology,physicians,9,2.231977728734124,0.30940807268237963,1.4525771675502268,0.28203849458307917,11.922177368071395,10.419972109775658,1.5022052582957368,1.220581785642489,0.31955376219066844
Obstetrics & gynaecology,facilities,9,1.9984730048021073,0.216586679805807,4.116347008717106,0.19545195005268887,6.734364367982171,4.583522024901503,2.150842343080668,1.9525382704741134,0.3386916301814512
Paediatrics,physicians,9,1.1213011116443419,0.47140879458873375,0.6904081946713903,0.4438796728111497,9.430718110921905,9.350129148934371,0.08058896198753374,0.4732688376701472,0.5220944749319962
Paediatrics,facilities,9,56.35480693456825,0.017435330244260507,1.0764313832795505,0.3470439339308747,6.117067977680598,5.46128771980653,0.6557802578740679,1.213247417632143,0.32086672671767913
Psychiatry,physicians,9,2.183222891624385,0.19956702200464638,9.226056082060557,0.02883493742308996,8.444266504252903,8.00616945013176,0.43809705412114397,2.8023780736157784,0.15497956990643402
Psychiatry,facilities,9,,,,,,,,,
Ophthalmology,physicians,9,80.30511955925007,0.012299348496391579,0.36039805916061096,0.7350789669731057,6.9414119207403,5.915964104010534,1.0254478167297654,0.37209394162966963,0.7288130715104503
Ophthalmology,facilities,9,23.715646795463616,0.040460199495306874,1.4100108432836338,0.4149358924200949,3.9119348432750547,2.857914804006886,1.0540200392681687,1.4580136297074902,0.4068325691582933
Otolaryngology,physicians,9,3.221979644124999,0.23685571326510954,2.5414113237163054,0.17177816060916207,6.071105458000139,6.116475485888108,-0.04537002788796851,1.1567175092938649,0.33128326655592255
Otolaryngology,facilities,9,1.373850719245569,0.29395490280511016,0.427235823759504,0.7006550587876113,2.928791395630814,2.6244724041950453,0.30431899143576846,0.3093481488797878,0.602051655726266
Urology,physicians,9,1.3758514372455088,0.42090173835084993,0.8486711530956885,0.5409290875369868,9.016552472478285,8.197204212881967,0.8193482595963175,1.2517066240207337,0.3140761813550246
Urology,facilities,9,0.07865671988773745,0.7903600587889414,1.0702941219463005,0.34829868779241424,2.996597790718962,3.1100916432740062,-0.1134938525550444,1.7292151024764126,0.24558891397937507
Dermatology,physicians,9,1.31985331021629,0.43106173808324355,0.5827093391321106,0.47970071665231256,3.6247796906265752,4.386968325814399,-0.7621886351878238,0.2473181245333171,0.640063841028528
Dermatology,facilities,9,,,,,-54.139377761945056,-50.14106921200836,-3.998308549936695,,
Anaesthesiology,physicians,9,19.260923131810173,0.049356092686121206,0.32198981884548517,0.7564354775994538,6.242312735266475,6.702796109655292,-0.4604833743888168,0.29459901170548614,0.7724399531887595
Anaesthesiology,facilities,9,15.611726306317797,0.06019843943730751,0.7893299219783778,0.5588684276258831,1.6968784695031722,2.0698791742387064,-0.37300070473553415,0.8458261250971307,0.5417628380069538
