specialty,outcome,jmsr_n,jmsr_F,jmsr_p,jmsr_sig,lit_full_n,lit_full_F,lit_full_p,lit_full_sig,lit_restricted_n,lit_restricted_F,lit_restricted_p,lit_restricted_sig
Internal medicine,physicians,10.0,2.1037688137337573,0.1971252707122567,False,20.0,7.740188269023385,0.01332356695140676,True,9.0,1.5053223364966497,0.3991502352541043,False
Internal medicine,facilities,10.0,4.891817698093675,0.06897731929451216,False,19.0,1.0312569009849282,0.3259646984660509,False,9.0,1.5275663453912673,0.2713728938904258,False
General surgery,physicians,10.0,23.043752693495396,0.002999546601375221,True,20.0,7.773782293596965,0.006017732418764094,True,9.0,0.18748936809180608,0.6830563616049592,False
General surgery,facilities,10.0,1.9809316743696699,0.28287439648060686,False,19.0,18.027129951361527,0.0007046183723527539,True,9.0,6.213563063429016,0.13862774764800395,False
Orthopaedic surgery,physicians,10.0,0.7986129611946831,0.5271547349432006,False,20.0,15.210429914647008,0.0012736242707936701,True,9.0,0.48451409777207766,0.5174060415626717,False
Orthopaedic surgery,facilities,10.0,1.9862471388960086,0.28222769726022223,False,19.0,9.132803773173269,0.004293400170112331,True,9.0,0.5335238412052697,0.4979019309758338,False
Plastic surgery,physicians,10.0,0.2801481197059663,0.6156057727867399,False,20.0,19.895722496139573,0.0006336332915650349,True,9.0,0.059626992046187474,0.8167900764377982,False
Plastic surgery,facilities,10.0,1.002365352351942,0.4640991909067173,False,19.0,8.198001314439827,0.011845432166962638,True,9.0,0.7594378672166612,0.5683633498135104,False
Obstetrics & gynaecology,physicians,10.0,1.8727108751994064,0.22019103178017346,False,20.0,46.66394251735668,4.036315590774429e-06,True,9.0,2.231977728734124,0.30940807268237963,False
Obstetrics & gynaecology,facilities,10.0,4.027397831902516,0.1413695263119204,False,19.0,16.338777195568465,0.000375449147923735,True,9.0,1.9984730048021073,0.216586679805807,False
Paediatrics,physicians,10.0,0.7686200229801394,0.41436354268108194,False,20.0,15.480502683012123,0.0004362792655307615,True,9.0,1.1213011116443419,0.47140879458873375,False
Paediatrics,facilities,10.0,1.0594589959884186,0.3430324450655267,False,19.0,12.353652967662194,0.0015274972467291185,True,9.0,56.35480693456825,0.017435330244260507,True
Psychiatry,physicians,10.0,9.47763135828438,0.021702514805055598,True,20.0,20.894336170941518,0.00012556246484042008,True,9.0,2.183222891624385,0.19956702200464638,False
Psychiatry,facilities,,,,,19.0,9.484367624276977,0.0037890509952906225,True,,,,
Ophthalmology,physicians,10.0,0.5078459336918617,0.6457156471514852,False,20.0,4.945885698351658,0.02332409381518649,True,9.0,80.30511955925007,0.012299348496391579,True
Ophthalmology,facilities,10.0,0.8664358681232464,0.504655231375809,False,19.0,6.021129427213448,0.026840278132556177,True,9.0,23.715646795463616,0.040460199495306874,True
Otolaryngology,physicians,10.0,2.212548221126528,0.18745396101816048,False,20.0,1.8477765959273835,0.22453955351051624,False,9.0,3.221979644124999,0.23685571326510954,False
Otolaryngology,facilities,10.0,0.3363671155187363,0.7382400936563714,False,19.0,8.381986890733671,0.011102973567151597,True,9.0,1.373850719245569,0.29395490280511016,False
Urology,physicians,10.0,0.2860971397189516,0.611964306467701,False,20.0,1.3667536466595083,0.2594934277883876,False,9.0,1.3758514372455088,0.42090173835084993,False
Urology,facilities,10.0,1.0358808726278828,0.3480521409693401,False,19.0,1.3918084218426126,0.2564727580655235,False,9.0,0.07865671988773745,0.7903600587889414,False
Dermatology,physicians,10.0,0.6524668731480829,0.45006099952560175,False,20.0,9.33031032229317,0.0075663410196433545,True,9.0,1.31985331021629,0.43106173808324355,False
Dermatology,facilities,,,,,,,,,,,,
Anaesthesiology,physicians,10.0,0.8226176083148389,0.5190035366521334,False,20.0,0.9695240805967943,0.33945538233943423,False,9.0,19.260923131810173,0.049356092686121206,True
Anaesthesiology,facilities,10.0,0.8747113916703464,0.5020195559133349,False,19.0,20.340543344232504,0.000414906172990931,True,9.0,15.611726306317797,0.06019843943730751,False
