country,iso3,year,gdp_pc_ppp,happiness
Afghanistan,AFG,2023,1983.81261992909,1.721
Angola,AGO,2017,10565.1676483607,3.795
Albania,ALB,2023,20501.6470726741,5.304
United Arab Emirates,ARE,2023,70239.8328337228,6.733
Argentina,ARG,2023,27230.3968496682,6.188
Armenia,ARM,2023,19402.7510915578,5.455
Australia,AUS,2023,60684.9596204883,7.057
Austria,AUT,2023,64536.2076307547,6.905
Azerbaijan,AZE,2023,21310.7386915022,4.893
Burundi,BDI,2020,1027.62896276744,3.775
Belgium,BEL,2023,63042.0099876309,6.894
Benin,BEN,2023,3721.21254814808,4.377
Burkina Faso,BFA,2023,2486.20669812871,4.548
Bangladesh,BGD,2023,8242.39798977242,3.886
Bulgaria,BGR,2023,33073.6803093453,5.463
Bahrain,BHR,2023,57819.9051831242,5.959
Bosnia and Herzegovina,BIH,2023,19804.9181465635,5.877
Belarus,BLR,2021,27611.1801135157,5.821
Belize,BLZ,2017,11572.3007931461,5.956
Bolivia,BOL,2023,11616.1575595159,5.784
Brazil,BRA,2023,19079.8122134028,6.272
Bhutan,BTN,2018,13854.8543977158,5.082
Botswana,BWA,2023,18932.4802712334,3.383
Central African Republic,CAF,2019,1145.09563657752,3.4759
Canada,CAN,2023,58088.3778077995,6.9
Switzerland,CHE,2023,85383.3564504008,7.06
Chile,CHL,2023,29600.4188613168,6.36
China,CHN,2023,22687.2519534328,5.973
Cote d'Ivoire,CIV,2023,6520.89886459765,5.08
Cameroon,CMR,2023,4875.25120768005,4.874
Democratic Republic of Congo,COD,2023,1559.33806475859,3.295
Congo,COG,2023,6172.28776650683,5.221
Colombia,COL,2023,18406.6242338491,5.695
Comoros,COM,2023,3508.15862331545,3.566
Costa Rica,CRI,2023,26378.5409941926,6.955
Cyprus,CYP,2023,51674.90234375,6.068
Czechia,CZE,2023,47558.4106763314,6.822
Germany,DEU,2023,63140.1949099669,6.719
Djibouti,DJI,2014,4705.04926772184,4.369
Denmark,DNK,2023,68993.9031100362,7.583
Dominican Republic,DOM,2023,23282.4895071054,5.823
Algeria,DZA,2023,15159.3242373415,5.364
Ecuador,ECU,2023,14321.1648295611,5.725
Egypt,EGY,2023,16691.3873991962,3.977
Spain,ESP,2023,47322.5937004504,6.421
Estonia,EST,2023,41284.7746875532,6.448
Ethiopia,ETH,2023,2757.95923626099,3.861
Finland,FIN,2023,56051.7701129501,7.741
France,FRA,2023,54296.7230897731,6.609
Gabon,GAB,2023,18701.4227766323,5.106
United Kingdom,GBR,2023,53423.4226338292,6.749
Georgia,GEO,2023,22590.5293649146,5.185
Ghana,GHA,2023,6808.53775003964,4.289
Guinea,GIN,2023,3904.82395527998,5.023
Gambia,GMB,2023,2963.59873467436,4.485
Greece,GRC,2023,36700.5134631055,5.934
Guatemala,GTM,2023,12380.3715121996,6.287
Guyana,GUY,2011,10958.8598838438,5.993
Hong Kong,HKG,2023,64387.6654066058,5.316
Honduras,HND,2023,6467.8800352783,5.968
Croatia,HRV,2023,41320.257995772,5.942
Haiti,HTI,2020,3210.53609854862,3.615
Hungary,HUN,2023,40333.2546888118,6.017
Indonesia,IDN,2023,13889.9495012858,5.568
India,IND,2023,8870.55027609345,4.054
Ireland,IRL,2023,117659.728593716,6.838
Iran,IRN,2023,17044.8173442641,4.923
Iraq,IRQ,2023,13202.3228073856,5.166
Iceland,ISL,2023,69268.1221404224,7.525
Israel,ISR,2023,47671.2476926086,7.341
Italy,ITA,2023,52842.6288831758,6.324
Jamaica,JAM,2023,11398.8120394641,5.842
Jordan,JOR,2023,10308.7821986337,4.186
Japan,JPN,2023,47387.2172542523,6.06
Kazakhstan,KAZ,2023,34703.2349286604,6.188
Kenya,KEN,2023,5691.82513474417,4.47
Kyrgyzstan,KGZ,2023,6575.77541290499,5.714
Cambodia,KHM,2023,6695.29194763723,4.341
South Korea,KOR,2023,54029.3434990785,6.058
Kuwait,KWT,2023,47790.1933239144,6.951
Laos,LAO,2023,8372.15591874407,5.139
Lebanon,LBN,2023,11330.2687387422,2.707
Liberia,LBR,2023,1616.92373356695,4.269
Libya,LBY,2023,12476.5974944083,5.866
Sri Lanka,LKA,2023,13065.0698305722,3.898
Lesotho,LSO,2023,2592.4570129526,3.186
Lithuania,LTU,2023,46333.9006965206,6.818
Luxembourg,LUX,2023,130048.922273147,7.122
Latvia,LVA,2023,37277.7217221317,6.234
Morocco,MAR,2023,8915.3515625,4.795
Moldova,MDA,2023,15980.5668889856,5.816
Madagascar,MDG,2023,1629.6055225489,4.228
Maldives,MDV,2020,14242.9750701162,5.198
Mexico,MEX,2023,21864.9236104145,6.678
North Macedonia,MKD,2023,23455.2221318176,5.369
Mali,MLI,2023,2861.48058063314,4.232
Malta,MLT,2023,60459.7655182644,6.346
Myanmar,MMR,2023,5364.13797034429,4.354
Montenegro,MNE,2023,27243.404228981,5.707
Mongolia,MNG,2023,16222.8638898529,5.696
Mozambique,MOZ,2023,1512.66729609671,5.216
Mauritania,MRT,2023,6276.47521075653,4.505
Mauritius,MUS,2023,26471.0351422892,5.816
Malawi,MWI,2023,1649.29873234551,3.421
Malaysia,MYS,2023,32857.6676600774,5.975
Namibia,NAM,2023,10126.2359555611,4.832
Niger,NER,2023,1712.97031726521,4.556
Nigeria,NGA,2023,7843.00399007675,4.881
Nicaragua,NIC,2023,7496.53056557505,6.284
Netherlands,NLD,2023,70198.9546022361,7.319
Norway,NOR,2023,94364.9641754336,7.302
Nepal,NPL,2023,4861.230303797,5.158
New Zealand,NZL,2023,49592.5875512098,7.029
Oman,OMN,2014,39639.9870514802,6.853
Pakistan,PAK,2023,5418.7693189297,4.657
Panama,PAN,2023,35872.9719200069,6.358
Peru,PER,2023,15342.2741359642,5.841
Philippines,PHL,2023,9898.53294588106,6.048
Poland,POL,2023,43672.7668014946,6.442
Puerto Rico,PRI,2015,41737.6068571153,7.039
Portugal,PRT,2023,41768.2583096874,6.03
Paraguay,PRY,2023,15831.5849831308,5.977
Palestine,PSE,2023,5562.42442563953,4.879
Qatar,QAT,2018,114909.945485127,6.374
Romania,ROU,2023,40116.6891416904,6.491
Russia,RUS,2023,39881.44921875,5.785
Rwanda,RWA,2021,2776.39276387923,3.268
Saudi Arabia,SAU,2023,64481.8441927288,6.594
Sudan,SDN,2017,4061.01831054688,4.139
Senegal,SEN,2023,4304.76148721773,4.969
Singapore,SGP,2023,130296.843789261,6.523
Sierra Leone,SLE,2023,3034.94608192505,3.245
El Salvador,SLV,2023,11404.3342262685,6.469
Somalia,SOM,2018,1504.97908203481,4.668
Serbia,SRB,2023,25735.1334774195,6.411
Suriname,SUR,2015,23327.5252497447,6.269
Slovakia,SVK,2023,39501.9474231962,6.257
Slovenia,SVN,2023,47986.4195855821,6.743
Sweden,SWE,2023,62122.5116950792,7.344
Eswatini,SWZ,2023,10181.5040730397,3.502
Syria,SYR,2018,5061.49399424562,3.462
Chad,TCD,2023,2433.53330962707,4.471
Togo,TGO,2023,3215.82300022488,4.214
Thailand,THA,2023,21245.2706771879,5.976
Tajikistan,TJK,2023,4472.3241378777,5.281
