iso3,year,top_rate,tax_revenue_gdp
EST,2022,7.117,32.935
HUN,2022,15.0,35.149
SVK,2022,21.65,35.14
CZE,2022,23.0,33.187
POL,2022,27.613,34.09
LTU,2022,32.0,31.73
MEX,2022,35.0,16.765
CHE,2022,35.849,26.632
COL,2022,39.0,19.635
NZL,2022,39.0,32.578
NOR,2022,39.4,43.29
GRC,2022,39.572,40.994
CHL,2022,40.0,23.911
ITA,2022,42.748,42.011
USA,2022,43.65,28.046
ISL,2022,44.4,34.925
GBR,2022,45.0,35.162
ESP,2022,45.0,36.751
SWE,2022,45.24,42.869
LUX,2022,45.78,39.188
AUS,2022,47.0,29.313
NLD,2022,47.094,38.066
KOR,2022,47.137,29.747
IRL,2022,48.0,20.263
FIN,2022,49.082,43.427
CAN,2022,53.53,33.879
AUT,2022,55.0,42.953
FRA,2022,55.172,45.856
DNK,2022,55.496,42.055
