bmi_low,bmi_high,bmi_mid,hr,ci_low,ci_high
15.0,18.5,16.75,1.51,1.43,1.59
18.5,20.0,19.25,1.13,1.09,1.17
20.0,22.5,21.25,1.00,0.98,1.02
22.5,25.0,23.75,1.00,0.99,1.01
25.0,27.5,26.25,1.07,1.07,1.08
27.5,30.0,28.75,1.20,1.18,1.22
30.0,35.0,32.5,1.45,1.41,1.48
35.0,40.0,37.5,1.94,1.87,2.01
40.0,60.0,50.0,2.76,2.60,2.92
