Country,iso3,gdp_pc_ppp,democracy,gdp_year,fh_edition
Zimbabwe,ZWE,5036.78317732239,0.27,2022,2024
Zambia,ZMB,3585.12379084347,0.54,2022,2024
Viet Nam,VNM,12979.7638983711,0.19,2022,2024
Vanuatu,VUT,3658.51871182046,0.82,2022,2024
Uzbekistan,UZB,10091.3877869999,0.12,2022,2024
Uruguay,URY,30840.0709827676,0.96,2022,2024
United States,USA,72828.7430907189,0.83,2022,2024
United Kingdom,GBR,53979.7679116234,0.91,2022,2024
United Arab Emirates,ARE,70075.63837395,0.18,2022,2024
Ukraine,UKR,13787.12109375,0.49,2022,2024
Uganda,UGA,2724.90609568409,0.34,2022,2024
Tuvalu,TUV,5044.53984578911,0.93,2022,2024
Turkmenistan,TKM,16943.6046037141,0.02,2022,2024
Turkiye,TUR,33520.8111384208,0.33,2022,2024
Tunisia,TUN,12712.22345453,0.51,2022,2024
Trinidad and Tobago,TTO,30784.1112580356,0.82,2022,2024
Tonga,TON,6811.48234641523,0.81,2022,2024
Togo,TGO,3086.40878742334,0.42,2022,2024
Timor-Leste,TLS,5348.49182701353,0.72,2022,2024
Thailand,THA,20768.4800093577,0.36,2022,2024
Tanzania,TZA,3546.98095703125,0.36,2022,2024
Tajikistan,TJK,4213.75618362687,0.05,2022,2024
Syrian Arab Republic,SYR,4579.43973633341,0.01,2022,2024
Switzerland,CHE,85762.2829174304,0.96,2022,2024
Sweden,SWE,62544.5002248644,0.99,2022,2024
Suriname,SUR,18742.5873760369,0.79,2022,2024
Sudan,SDN,3132.0771484375,0.06,2022,2024
St. Vincent and the Grenadines,VCT,16835.023514541,0.9,2022,2024
St. Lucia,LCA,22811.2524480383,0.92,2022,2024
St. Kitts and Nevis,KNA,29749.8700864823,0.89,2022,2024
Sri Lanka,LKA,13249.0650505201,0.54,2022,2024
Spain,ESP,46733.4809780536,0.9,2022,2024
South Africa,ZAF,13767.4967589936,0.79,2022,2024
Solomon Islands,SLB,2330.40164523401,0.75,2022,2024
Slovenia,SVN,47058.8865960028,0.96,2022,2024
Slovak Republic,SVK,38648.9855746919,0.9,2022,2024
Singapore,SGP,134828.001392614,0.48,2022,2024
Sierra Leone,SLE,2934.7332634039,0.6,2022,2024
Seychelles,SYC,27275.6883819803,0.79,2022,2024
Serbia,SRB,24651.8478183529,0.57,2022,2024
Senegal,SEN,4228.73382643662,0.67,2022,2024
Saudi Arabia,SAU,67178.5902274906,0.08,2022,2024
Sao Tome and Principe,STP,5632.13890715047,0.84,2022,2024
San Marino,SMR,70887.5780565982,0.97,2022,2024
Samoa,WSM,6450.19151677842,0.84,2022,2024
Rwanda,RWA,2983.10774007304,0.23,2022,2024
Russian Federation,RUS,38214.69140625,0.13,2022,2024
Romania,ROU,39256.8260854977,0.83,2022,2024
Qatar,QAT,114740.12361423,0.25,2022,2024
Portugal,PRT,41070.8611529744,0.96,2022,2024
Poland,POL,43405.0215797441,0.8,2022,2024
Philippines,PHL,9457.10395402883,0.58,2022,2024
Peru,PER,15566.5242612563,0.66,2022,2024
Paraguay,PRY,15222.8920228598,0.63,2022,2024
Papua New Guinea,PNG,4126.03032145403,0.61,2022,2024
Panama,PAN,33915.1693306309,0.83,2022,2024
Palau,PLW,16258.6271292912,0.92,2022,2024
Pakistan,PAK,5526.27928310213,0.35,2022,2024
Oman,OMN,39780.2122774985,0.24,2022,2024
Norway,NOR,95109.8201605729,0.98,2022,2024
North Macedonia,MKD,22822.2333994259,0.67,2022,2024
Nigeria,NGA,7752.26206495247,0.44,2022,2024
Niger,NER,1724.89699425215,0.33,2022,2024
Nicaragua,NIC,7277.82041652584,0.16,2022,2024
New Zealand,NZL,49842.9845334162,0.99,2022,2024
Netherlands,NLD,71324.0360229425,0.97,2022,2024
Nepal,NPL,4763.38751073946,0.62,2022,2024
Nauru,NRU,12019.3492868791,0.77,2022,2024
Namibia,NAM,9953.09752403491,0.77,2022,2024
Myanmar,MMR,5350.47666899931,0.08,2022,2024
Mozambique,MOZ,1476.73432917026,0.44,2022,2024
Morocco,MAR,8690.4482421875,0.37,2022,2024
Montenegro,MNE,25583.3155690619,0.69,2022,2024
Mongolia,MNG,15310.4349469163,0.84,2022,2024
Moldova,MDA,15350.3120408391,0.61,2022,2024
Mexico,MEX,21391.8573698845,0.6,2022,2024
Mauritius,MUS,25005.0666145723,0.85,2022,2024
Mauritania,MRT,6053.26178124768,0.39,2022,2024
Marshall Islands,MHL,6937.75357050514,0.93,2022,2024
Malta,MLT,56874.4339327368,0.87,2022,2024
Mali,MLI,2813.81095962565,0.26,2022,2024
Maldives,MDV,21357.8112511153,0.44,2022,2024
Malaysia,MYS,32129.2217820113,0.53,2022,2024
Malawi,MWI,1659.95933825168,0.66,2022,2024
Madagascar,MDG,1602.42805197529,0.58,2022,2024
Luxembourg,LUX,132570.832272626,0.97,2022,2024
Lithuania,LTU,46642.5947251086,0.89,2022,2024
Libya,LBY,11450.0598552928,0.09,2022,2024
Liberia,LBR,1578.99837069175,0.64,2022,2024
Lesotho,LSO,2577.54544127769,0.66,2022,2024
Lebanon,LBN,11474.7505845558,0.42,2022,2024
Latvia,LVA,37718.7097958367,0.88,2022,2024
Lao PDR,LAO,8183.03286472653,0.13,2022,2024
Kyrgyz Republic,KGZ,6139.77788825006,0.27,2022,2024
Kuwait,KWT,51379.8833194119,0.38,2022,2024
Kosovo,XKX,13022.4627441502,0.6,2022,2024
"Korea, Rep.",KOR,53228.6035655365,0.83,2022,2024
