species,body_mass_kg,bmr_watts
Suncus etruscus,0.0024,0.063
Myotis nigricans,0.0037,0.027
Sorex minutus,0.0040999999999999995,0.179
Myotis yumanensis,0.005,0.047
Sorex cinereus,0.0052,0.238
Sorex vagrans,0.0052,0.157
Myotis lucifugus,0.0058,0.051
Cryptotis parva,0.0063,0.164
Crocidura suaveolens,0.006900000000000001,0.112
Geogale aurita,0.006900000000000001,0.043
Planigale tenuirostris,0.0070999999999999995,0.063
Baiomys taylori,0.0072,0.095
Micromys minutus,0.0076,0.201
Sorex alpinus,0.0078,0.267
Saccopteryx bilineata,0.0078,0.081
Mus minutoides,0.008,0.129
Perognathus flavus,0.0083,0.097
Sorex araneus,0.008400000000000001,0.348
Perognathus longimembris,0.0085,0.061
Planigale ingrami,0.0088,0.065
Reithrodontomys megalotis,0.009,0.13
Planigale gilesi,0.0091,0.058
Sorex coronatus,0.0091,0.29
Glossophaga soricina,0.0096,0.164
Sorex ornatus,0.009699999999999999,0.292
Tarsipes rostratus,0.01,0.162
Sicista betulina,0.01,0.179
Plecotus auritus,0.010199999999999999,0.082
Planigale maculata,0.0106,0.067
Crocidura russula,0.0108,0.143
Miniopterus schreibersii,0.0109,0.145
Microdipodops megacephalus,0.011,0.168
Macrotus californicus,0.011699999999999999,0.082
Crocidura leucodon,0.011699999999999999,0.166
Myotis velifer,0.0119,0.04
Peromyscus polionotus,0.012,0.12
Scotinomys teguina,0.012,0.174
Neomys anomalus,0.013099999999999999,0.373
Eptesicus fuscus,0.013300000000000001,0.113
Tadarida brasiliensis,0.013300000000000001,0.117
Acrobates pygmaeus,0.014,0.084
Carollia perspicillata,0.0149,0.24
Chaetodipus formosus,0.015099999999999999,0.103
Neomys fodiens,0.016,0.328
Sminthopsis crassicaudata,0.016,0.121
Eligmodontia typus,0.0175,0.167
Microtus subterraneus,0.0178,0.276
Mus musculus,0.018,0.271
Onychomys torridus,0.019100000000000002,0.165
Perognathus parvus,0.0192,0.16
Ochrotomys nuttalli,0.0195,0.151
Chaetodipus fallax,0.019600000000000003,0.15
Peromyscus maniculatus,0.0205,0.219
Peromyscus crinitus,0.0205,0.162
Sminthopsis macroura,0.0206,0.128
Blarina brevicauda,0.0209,0.344
Peromyscus eremicus,0.021,0.173
Apodemus agrarius,0.0212,0.373
Sturnira lilium,0.0214,0.237
Phenacomys intermedius,0.0215,0.375
Myodes glareolus,0.0215,0.312
Napaeozapus insignis,0.0218,0.22
Microtus arvalis,0.0219,0.343
Platyrrhinus lineatus,0.0219,0.25
Antrozous pallidus,0.022,0.104
Peromyscus leucopus,0.0223,0.213
Muscardinus avellanarius,0.0235,0.351
Apodemus sylvaticus,0.0238,0.264
Microtus pinetorum,0.0248,0.305
Myotis vivesi,0.025,0.199
Microtus agrestis,0.025,0.367
Antechinus stuartii,0.025,0.189
Antechinomys laniger,0.0258,0.141
Zapus hudsonius,0.0261,0.219
Myopus schisticolor,0.0264,0.522
Myodes rufocanus,0.0272,0.321
Apodemus flavicollis,0.028300000000000002,0.365
Desmodus rotundus,0.0294,0.194
Gerbillus gerbillus,0.0297,0.237
Gerbillus nanus,0.0297,0.129
Podomys floridanus,0.0308,0.288
Phodopus sungorus,0.0313,0.313
Notomys alexis,0.032299999999999995,0.252
Microtus longicaudus,0.0325,0.383
Microtus oeconomus,0.032799999999999996,0.566
Peromyscus truei,0.033100000000000004,0.307
Crocidura flavescens,0.0332,0.248
Phyllostomus discolor,0.0335,0.267
Heterocephalus glaber,0.0353,0.128
Cynopterus brachyotis,0.037200000000000004,0.262
Steatomys pratensis,0.0375,0.105
Dipodomys merriami,0.0376,0.246
Alticola argentatus,0.037700000000000004,0.675
Dipodomys nitratoides,0.0378,0.204
Microtus pennsylvanicus,0.038200000000000005,0.428
Graphiurus murinus,0.0384,0.225
Macroscelides proboscideus,0.039,0.292
Rhabdomys pumilio,0.0396,0.179
Suncus murinus,0.039700000000000006,0.403
Lasiopodomys brandtii,0.0402,0.428
Acomys cahirinus,0.042,0.258
Pseudantechinus macdonnellensis,0.0431,0.152
Microtus guentheri,0.0438,0.447
Microgale talazaci,0.044,0.243
Burramys parvus,0.0443,0.205
Microgale dobsoni,0.0446,0.315
Elephantulus brachyrhynchus,0.0453,0.244
Artibeus jamaicensis,0.0461,0.359
Elephantulus intufi,0.0465,0.29
Antechinus flavipes,0.0465,0.252
Peromyscus californicus,0.047,0.267
Phyllotis darwini,0.047,0.333
Dipodomys ordii,0.047799999999999995,0.339
Scalopus aquaticus,0.048,0.378
Microtus ochrogaster,0.0482,0.41
Condylura cristata,0.049,0.615
Elephantulus rozeti,0.049,0.288
Tamias minimus,0.0493,0.349
Elephantulus edwardii,0.0499,0.303
Elephantulus rufescens,0.053,0.317
Acomys russatus,0.0554,0.24
Tamias amoenus,0.0557,0.5
Gerbillus perpallidus,0.056299999999999996,0.261
Dicrostonyx groenlandicus,0.056799999999999996,0.459
Ptilocercus lowii,0.0575,0.24
Dipodomys agilis,0.0606,0.355
Noctilio leporinus,0.061,0.4
Galagoides demidoff,0.0624,0.372
Micaelamys namaquensis,0.0626,0.292
Funisciurus anerythrus,0.063,0.58
Dipodomys heermanni,0.0633,0.408
Sekeetamys calurus,0.0636,0.274
Microtus richardsoni,0.0645,0.701
Meriones unguiculatus,0.0648,0.546
Cercartetus nanus,0.0648,0.311
Antechinus swainsonii,0.0669,0.351
Glaucomys volans,0.0674,0.414
Saccostomus campestris,0.0681,0.274
Artibeus lituratus,0.0701,0.602
Desmodillus auricularis,0.0719,0.49
Jaculus jaculus,0.075,0.515
Rattus fuscipes,0.076,0.471
Reithrodon auritus,0.0787,0.428
Cryptomys hottentotus,0.07890000000000001,0.35
Lemmus lemmus,0.08,1.071
Phyllostomus hastatus,0.0842,0.559
Tatera indica,0.0869,0.422
Heliophobius argenteocinereus,0.0885,0.43
Tamias striatus,0.0896,0.813
Dasycercus cristicauda,0.091,0.26
Monodelphis brevicaudata,0.0915,0.366
Mystromys albicaudatus,0.0938,0.707
Ammospermophilus leucurus,0.09409999999999999,0.511
Arvicola amphibius,0.0947,0.613
Thomomys talpoides,0.09759999999999999,0.679
Dasyuroides byrnei,0.1,0.439
Otomys irroratus,0.102,0.474
Monodelphis domestica,0.104,0.335
Dipodomys deserti,0.10579999999999999,0.517
Gerbilliscus afra,0.1065,1.016
Mesocricetus auratus,0.1082,0.69
Gerbillus pyramidum,0.1085,0.454
Ochotona princeps,0.109,0.932
Rattus lutreolus,0.109,0.353
Cebuella pygmaea,0.1107,0.599
Funisciurus congicus,0.1123,0.533
Neotoma lepida,0.1125,0.46
Carlito syrichta,0.113,0.43
Hemicentetes semispinosus,0.1164,0.38
Echinops telfairi,0.1164,0.75
Rattus rattus,0.117,0.77
Ctenomys talarum,0.121,0.611
Marmosa robinsoni,0.122,0.547
Tupaia glis,0.123,0.522
