year,kappa_t
1933,76.09560300863147
1934,77.81892232345372
1935,76.19561731062771
1936,77.88295014496865
1937,73.79391195967557
1938,66.42674283116426
1939,62.28432626006904
1940,60.13096918396645
1941,57.10392123346086
1942,52.83443781348809
1943,55.63559882120452
1944,51.96158811980408
1945,48.6435442390436
1946,43.6242545056594
1947,38.649466857887035
1948,35.99945612115957
1949,32.915834703623126
1950,29.581566676394324
1951,28.73682544217945
1952,28.26462162872517
1953,25.0520330757103
1954,19.710088582521454
1955,18.87728234078913
1956,17.897623365878367
1957,19.466160949738878
1958,17.14206170740938
1959,16.615825038646005
1960,16.483333658916685
1961,13.623007142559796
1962,14.070660965257325
1963,15.073819432698347
1964,14.349190008874231
1965,13.970833697847487
1966,14.833377813327152
1967,13.146225547851044
1968,15.422348338228536
1969,14.659377365342197
1970,12.805049747833467
1971,11.548684553913692
1972,10.96719004217704
1973,10.191057282111478
1974,5.847209557748436
1975,2.2225065045613412
1976,-0.20537187912436933
1977,-1.5358236911242178
1978,-2.587095668910752
1979,-5.156179175490619
1980,-5.371392916360288
1981,-8.247964862700425
1982,-11.268866531376519
1983,-13.241028413077919
1984,-14.08554493829381
1985,-14.232309142082586
1986,-13.629706864053105
1987,-14.271972314991075
1988,-13.834563793150185
1989,-14.993170906869663
1990,-17.567250241632625
1991,-18.090546877245114
1992,-20.569766978767824
1993,-18.89238697871884
1994,-20.272696539479643
1995,-21.42854463342785
1996,-24.863069011260194
1997,-28.57496822266173
1998,-30.85424252856862
1999,-31.600492608952894
2000,-33.03353937671923
2001,-33.533541026438506
2002,-34.13037103006926
2003,-34.930096815530824
2004,-37.17863023441634
2005,-37.54276591355216
2006,-39.38374247156353
2007,-40.67029013215014
2008,-42.9805950461781
2009,-44.92275275603897
2010,-47.74177356566366
2011,-47.51861947163972
2012,-48.63850277353034
2013,-48.77346893942528
2014,-49.19117812715654
2015,-47.30438682254952
2016,-45.12697035102968
2017,-45.09107723659203
2018,-46.52001861429743
2019,-47.08390159646192
2020,-37.78652197346263
2021,-31.950642779796315
2022,-35.96672222541638
2023,-41.00808713836036
2024,-45.1719537687688
