magnitude,count_total,annual_count,window_start,window_end
4.0,263056,13152.8,2000-01-01,2020-01-01
4.5,135838,6791.9,2000-01-01,2020-01-01
5.0,35703,1785.15,2000-01-01,2020-01-01
5.5,10058,502.9,2000-01-01,2020-01-01
6.0,3079,153.95,2000-01-01,2020-01-01
6.5,944,47.2,2000-01-01,2020-01-01
7.0,303,15.15,2000-01-01,2020-01-01
7.5,113,5.65,2000-01-01,2020-01-01
8.0,24,1.2,2000-01-01,2020-01-01
8.5,5,0.25,2000-01-01,2020-01-01
