year,unemployment_rate,vacancy_rate
2001,4.742,3.192
2002,5.783,2.575
2003,5.992,2.417
2004,5.542,2.692
2005,5.083,2.975
2006,4.608,3.25
2007,4.617,3.292
2008,5.8,2.692
2009,9.283,1.875
2010,9.608,2.217
2011,8.933,2.55
2012,8.075,2.783
2013,7.358,2.908
2014,6.158,3.325
2015,5.275,3.775
2016,4.875,3.908
2017,4.358,4.0
2018,3.892,4.55
2019,3.675,4.525
2020,8.1,4.283
2021,5.35,6.375
2022,3.65,6.85
2023,3.625,5.625
2024,4.025,4.65
