iso3,country,hdi,ncd_share,ncd_year
CUB,Cuba,0.764,61.0519651555228,2021
CYP,Cyprus,0.907,82.7639427586355,2021
CZE,Czechia,0.895,72.9728096878019,2021
DNK,Denmark,0.952,87.6995856432014,2021
DJI,Djibouti,0.515,46.5524242096515,2021
DOM,Dominican Republic,0.766,63.7217382329138,2021
ECU,Ecuador,0.765,62.2136050482973,2021
EGY,Egypt,0.728,64.215855638486,2021
SLV,El Salvador,0.674,53.9249973085079,2021
GNQ,Equatorial Guinea,0.65,31.8510347573694,2021
ERI,Eritrea,0.493,51.5632310150675,2021
EST,Estonia,0.899,82.8531098953559,2021
SWZ,Eswatini (Kingdom of),0.61,34.8193851012562,2021
ETH,Ethiopia,0.492,38.281509102057,2021
FJI,Fiji,0.729,67.3055177326328,2021
FIN,Finland,0.942,92.2523807978109,2021
FRA,France,0.91,78.9035375588078,2021
GAB,Gabon,0.693,37.5854992309808,2021
GMB,Gambia,0.495,38.5525715830377,2021
GEO,Georgia,0.814,68.6505429460307,2021
DEU,Germany,0.95,85.030176762789,2021
GHA,Ghana,0.602,46.7923674926638,2021
GRC,Greece,0.893,77.1728999580882,2021
GRD,Grenada,0.793,59.1081240898224,2021
GTM,Guatemala,0.629,42.7090031679956,2021
GIN,Guinea,0.471,33.0144174338877,2021
GNB,Guinea-Bissau,0.483,30.8294254449587,2021
GUY,Guyana,0.742,47.210387944656,2021
HTI,Haiti,0.552,54.7583415023085,2021
HND,Honduras,0.624,47.6630023262625,2021
HUN,Hungary,0.851,78.765258223988,2021
ISL,Iceland,0.959,89.9806478215902,2021
IND,India,0.644,49.0788120326803,2021
IDN,Indonesia,0.713,52.2221651280207,2021
IRN,Iran (Islamic Republic of),0.78,56.6159059697011,2021
IRQ,Iraq,0.673,63.4277606354426,2021
IRL,Ireland,0.95,81.7330892911138,2021
ISR,Israel,0.915,76.9411165249634,2021
ITA,Italy,0.906,81.4861291719807,2021
JAM,Jamaica,0.706,68.6802411790269,2021
JPN,Japan,0.92,85.3434160587399,2021
JOR,Jordan,0.736,54.0501214968489,2021
KAZ,Kazakhstan,0.802,59.8829524389268,2021
KEN,Kenya,0.601,37.785852428419,2021
KIR,Kiribati,0.628,65.5251644199295,2021
KOR,Korea (Republic of),0.929,77.1761204119874,2021
KWT,Kuwait,0.847,58.9727028596486,2021
KGZ,Kyrgyzstan,0.701,61.4254785884069,2021
LAO,Lao People's Democratic Republic,0.62,62.8866078816002,2021
LVA,Latvia,0.879,81.0841570254266,2021
LBN,Lebanon,0.723,53.1922316479013,2021
LSO,Lesotho,0.521,34.070352005876,2021
LBR,Liberia,0.487,34.9754513461152,2021
LBY,Libya,0.746,62.703708770059,2021
LTU,Lithuania,0.879,78.098232743004,2021
LUX,Luxembourg,0.927,79.8251415601762,2021
MDG,Madagascar,0.487,39.9623346601568,2021
MWI,Malawi,0.508,39.5921051795253,2021
MYS,Malaysia,0.807,65.0026541298491,2021
MDV,Maldives,0.762,77.4854876052477,2021
MLI,Mali,0.41,29.2380879440246,2021
MLT,Malta,0.915,83.6186843555028,2021
MRT,Mauritania,0.54,42.6951830957598,2021
MUS,Mauritius,0.796,80.899218542031,2021
MEX,Mexico,0.781,53.5759036602133,2021
FSM,Micronesia (Federated States of),0.634,78.2923008826787,2021
MDA,Moldova (Republic of),0.763,72.6603393282291,2021
MNG,Mongolia,0.741,73.5920720227814,2021
MNE,Montenegro,0.844,65.2878281023609,2021
MAR,Morocco,0.698,74.0382001329403,2021
MOZ,Mozambique,0.461,30.5847951626543,2021
MMR,Myanmar,0.608,61.5712253500444,2021
NAM,Namibia,0.61,29.9201127406207,2021
NPL,Nepal,0.601,55.3353172551134,2021
NLD,Netherlands,0.946,78.1566359154581,2021
NZL,New Zealand,0.939,89.528781026162,2021
NIC,Nicaragua,0.669,48.8388724500471,2021
NER,Niger,0.394,23.924084371702,2021
NGA,Nigeria,0.548,27.7024570108556,2021
MKD,North Macedonia,0.765,69.7191105533509,2021
NOR,Norway,0.966,86.555413144726,2021
OMN,Oman,0.819,52.1030118873433,2021
PAK,Pakistan,0.54,52.0324546491852,2021
PSE,"Palestine, State of",0.716,64.8408960483036,2021
PAN,Panama,0.82,66.6648604794993,2021
PNG,Papua New Guinea,0.568,47.6051011952331,2021
PRY,Paraguay,0.731,48.3855434888407,2021
PER,Peru,0.762,41.5920508771201,2021
PHL,Philippines,0.71,68.4626405985578,2021
POL,Poland,0.881,72.3337859834046,2021
PRT,Portugal,0.874,80.252276521502,2021
QAT,Qatar,0.875,62.401074803005,2021
ROU,Romania,0.827,72.817604763563,2021
RUS,Russian Federation,0.821,62.3412031661021,2021
RWA,Rwanda,0.548,50.2896264133564,2021
LCA,Saint Lucia,0.725,52.783217430709,2021
VCT,Saint Vincent and the Grenadines,0.772,74.4905390262306,2021
WSM,Samoa,0.702,83.1080773081113,2021
STP,Sao Tome and Principe,0.613,59.2554583489293,2021
SAU,Saudi Arabia,0.875,67.6288366416577,2021
SEN,Senegal,0.517,47.6931596948885,2021
SRB,Serbia,0.805,72.1603846623122,2021
SYC,Seychelles,0.802,69.0103164536549,2021
SLE,Sierra Leone,0.458,34.4620101650726,2021
SGP,Singapore,0.949,74.8934741824562,2021
SVK,Slovakia,0.855,66.8559226249726,2021
SVN,Slovenia,0.926,75.7885434078504,2021
SLB,Solomon Islands,0.562,68.2202412099959,2021
SOM,Somalia,0.38,25.1380776830653,2021
ZAF,South Africa,0.717,37.1610921564697,2021
SSD,South Sudan,0.381,28.8767929681202,2021
ESP,Spain,0.911,83.6146575866717,2021
LKA,Sri Lanka,0.78,74.7596300151791,2021
SDN,Sudan,0.516,42.9313315142701,2021
SUR,Suriname,0.69,49.9654798875738,2021
SWE,Sweden,0.952,84.2874367435446,2021
CHE,Switzerland,0.967,82.0530716824363,2021
SYR,Syrian Arab Republic,0.557,73.687760387098,2021
TJK,Tajikistan,0.679,57.1598288198902,2021
TZA,Tanzania (United Republic of),0.532,38.7530313726816,2021
THA,Thailand,0.803,67.8360355331529,2021
TLS,Timor-Leste,0.566,51.104728894485,2021
TGO,Togo,0.547,43.4834918847341,2021
TON,Tonga,0.739,84.6088784015214,2021
TTO,Trinidad and Tobago,0.814,65.5386094677862,2021
TUN,Tunisia,0.732,56.9283562498987,2021
TUR,Türkiye,0.855,68.764261094899,2021
TKM,Turkmenistan,0.744,67.1791380269814,2021
UGA,Uganda,0.55,36.9435512422094,2021
UKR,Ukraine,0.734,72.8795054646579,2021
ARE,United Arab Emirates,0.937,68.0935518921907,2021
GBR,United Kingdom,0.94,79.6757507937637,2021
USA,United States,0.927,77.3875489533893,2021
URY,Uruguay,0.83,71.8962090033314,2021
UZB,Uzbekistan,0.727,80.0890342320956,2021
VUT,Vanuatu,0.614,71.6865744328919,2021
VEN,Venezuela (Bolivarian Republic of),0.699,68.6702087122928,2021
VNM,Viet Nam,0.726,78.2061969049514,2021
YEM,Yemen,0.424,41.53410593357,2021
ZMB,Zambia,0.569,31.1884695184438,2021
ZWE,Zimbabwe,0.55,38.3454285597608,2021
