country,iso3,gov_expenditure_gdp,gdp_growth
Aruba,ABW,27.163786599999998,2.023340032670195
Angola,AGO,26.709257200000003,2.5732923439896553
Albania,ALB,29.3985006,2.5522069121792117
United Arab Emirates,ARE,28.6709628,3.706668070162636
Argentina,ARG,38.2625328,1.3846715351046588
Antigua and Barbuda,ATG,21.5946798,1.331014374626981
Australia,AUS,37.0211161,2.6094383280231255
Austria,AUT,51.0386891,1.5801959319486218
Azerbaijan,AZE,35.1881194,1.6179548287821397
Burundi,BDI,30.845903300000003,3.9139122413776626
Belgium,BEL,53.924835400000006,1.5391298270934999
Benin,BEN,15.419129800000002,4.779048046897909
Burkina Faso,BFA,22.6740113,6.021741598066025
Bangladesh,BGD,11.9507486,6.608998697668793
Bulgaria,BGR,34.4027395,2.009462886067177
Bahrain,BHR,31.369848400000002,3.5049132115378008
Bahamas,BHS,18.6290007,1.042731304966265
Bosnia and Herzegovina,BIH,43.7037709,2.199239210957196
Belize,BLZ,25.519855,1.9176896556105287
Bolivia,BOL,37.6591521,4.440079101156919
Brazil,BRA,42.261384500000005,1.4438236631822838
Barbados,BRB,28.9275694,-0.8722881076652136
Bhutan,BTN,31.8636618,5.968398862849717
Central African Republic,CAF,14.565705600000001,-0.19275518821974255
Canada,CAN,40.637567000000004,2.2556694631926457
Switzerland,CHE,32.3026617,1.940116951473734
Chile,CHL,24.4407857,3.3228975047234335
China,CHN,29.649012499999998,7.6622734539447155
Cote d'Ivoire,CIV,16.18257215,6.257321622462201
Democratic Republic of Congo,COD,13.4961896,5.932415051083469
Congo,COG,31.7114662,1.2973300915313923
Colombia,COL,30.906403599999997,3.7142034660695358
Comoros,COM,16.6819936,3.134938534611163
Cape Verde,CPV,29.4639995,2.8596436482904934
Costa Rica,CRI,18.6738124,3.825807317595385
Cyprus,CYP,42.5406702,1.8779068165503332
Czechia,CZE,41.5120967,2.5029053936430476
Germany,DEU,45.1876729,1.97298659218192
Djibouti,DJI,27.6714486,6.233819489104312
Dominica,DMA,42.3085906,-0.04389349697315055
Denmark,DNK,54.127748,1.736428747917051
Dominican Republic,DOM,17.271583200000002,5.604759837942964
Algeria,DZA,37.0949433,2.7800000000099967
Ecuador,ECU,42.0222627,3.634296426439704
Spain,ESP,44.2420226,1.0910906220187668
Estonia,EST,38.8530384,3.6800218520917567
Ethiopia,ETH,17.3276657,9.778677806078244
Finland,FIN,54.713277600000005,1.1462556892051066
Fiji,FJI,28.8236104,3.293948487172768
France,FRA,57.285977200000005,1.4085081827563726
Micronesia (country),FSM,61.3037998,0.9375061520295656
Gabon,GAB,22.4296219,4.058809002873907
United Kingdom,GBR,41.7489226,1.9696663776807637
Georgia,GEO,27.735110400000003,5.338684908358165
Ghana,GHA,20.253253899999997,6.773936255126219
Guinea,GIN,18.0601156,6.090494791328565
Guinea-Bissau,GNB,18.26106915,4.151752922925507
Equatorial Guinea,GNQ,28.0054261,-3.3117848946041883
Greece,GRC,51.4364285,-1.9826665318438423
Grenada,GRD,25.4421515,2.845346608102931
Guatemala,GTM,13.5250002,3.543613498877943
Guyana,GUY,24.2697623,3.7974007886172485
Hong Kong,HKG,18.3789539,2.868050270213332
Honduras,HND,26.545715,3.6525754268984243
Croatia,HRV,46.720464,1.070749604039722
Haiti,HTI,12.807266250000001,1.2830136425535166
Hungary,HUN,48.2831047,2.891766348051631
Indonesia,IDN,17.4556962,5.41603777604402
India,IND,26.9470411,6.63648534517627
Ireland,IRL,36.1824965,6.308263902010599
Iran,IRN,13.9094087,1.2466941528534998
Iceland,ISL,45.5122413,2.510899063186139
Israel,ISR,39.391815,4.002479563226471
Italy,ITA,49.6149756,0.22613153087016452
Jamaica,JAM,27.929682000000003,1.1167335900248
Jordan,JOR,32.0387217,2.484780446901371
Japan,JPN,37.7419714,1.3142285988986078
Kenya,KEN,23.369458,5.0347520366127245
Kyrgyzstan,KGZ,36.964047199999996,4.164621996738852
Cambodia,KHM,16.30149815,7.577240259149429
Kiribati,KIR,91.8811225,4.808919662799492
Saint Kitts and Nevis,KNA,29.683916599999996,2.391857520237441
South Korea,KOR,18.9321083,3.4738364820235317
Kuwait,KWT,46.9597653,1.9348112670225905
Lebanon,LBN,29.5073979,1.1839468557825554
Saint Lucia,LCA,24.6199883,1.2824546668183519
Sri Lanka,LKA,18.1901704,5.355721899021946
Lesotho,LSO,54.38782199999999,2.04194161045085
Luxembourg,LUX,41.4203136,2.517347210752743
Latvia,LVA,39.3525646,2.559046435742651
Morocco,MAR,29.395221300000003,3.480828569687978
Moldova,MDA,32.3186046,4.24832241031063
Madagascar,MDG,13.232385249999998,2.9512734632526527
Maldives,MDV,31.6585604,6.56636930409001
Mexico,MEX,26.205260900000003,2.3250392254154133
Marshall Islands,MHL,57.526977699999996,3.0182663025235823
North Macedonia,MKD,31.7775538,2.6373694176829336
Myanmar,MMR,20.3908733,7.09938944893378
Mongolia,MNG,33.2117639,7.836352230688197
Mozambique,MOZ,30.6800614,5.661331057219855
Malaysia,MYS,25.191864799999998,5.350296950774395
Namibia,NAM,38.4355902,3.1391016704616925
Niger,NER,19.6181024,6.062154477171499
Nigeria,NGA,9.54052262,3.6497592928221407
Nicaragua,NIC,25.3927894,3.4661871520776764
Netherlands,NLD,45.736341800000005,1.5582470056352427
Norway,NOR,46.599413600000005,1.7167675835258507
New Zealand,NZL,38.532809300000004,2.873786988391008
Oman,OMN,39.010055,3.1275692339362164
Pakistan,PAK,18.6102453,3.9566457336134335
Panama,PAN,22.3295558,6.116387209109735
Peru,PER,20.9858179,4.4968433837205
Philippines,PHL,18.6317849,6.407696930916617
Papua New Guinea,PNG,21.8851243,5.306563682253818
Poland,POL,42.5321665,3.79826400129147
Portugal,PRT,47.615568100000004,0.8331106424118939
Paraguay,PRY,17.217875499999998,4.31055261098424
Qatar,QAT,32.6807464,5.117206096098507
Romania,ROU,33.585898400000005,3.0455426175229627
Russia,RUS,34.544786800000004,2.036787842704278
Rwanda,RWA,25.8118524,7.091287960720924
Saudi Arabia,SAU,33.797512,4.195003683073097
Sudan,SDN,15.158286,-0.8515560605518171
Senegal,SEN,23.9306402,4.831790313800303
Solomon Islands,SLB,35.3840954,4.0832526652694705
El Salvador,SLV,27.2399582,2.4764628290465263
Suriname,SUR,27.496938899999996,1.6254682746825253
Slovakia,SVK,41.0053951,3.0670902136511518
Slovenia,SVN,48.9277627,1.9277554392697087
Sweden,SWE,49.849328400000005,2.47144250694408
Eswatini,SWZ,31.1098723,3.0578264321715287
Seychelles,SYC,34.575926800000005,6.08824837682805
Chad,TCD,14.1620273,4.082023193612903
Togo,TGO,19.2204816,5.284332635134959
Thailand,THA,21.605955299999998,3.635259732687274
Tajikistan,TJK,28.8041244,7.051930237481512
Trinidad and Tobago,TTO,31.406872,0.3485566999132606
Tunisia,TUN,28.0318492,1.915617821490193
Turkey,TUR,33.515220299999996,5.914371230794629
Tanzania,TZA,17.9465529,6.308057082326243
Uganda,UGA,14.9400208,5.3402870373095475
Ukraine,UKR,44.5629528,0.13719774715796013
Uruguay,URY,28.800323900000002,2.9274095869681482
United States,USA,36.3613909,2.396331737107071
Uzbekistan,UZB,23.838813899999998,7.059056584081316
Saint Vincent and the Grenadines,VCT,28.337956300000002,1.2027499535336594
Venezuela,VEN,29.9806573,-8.060158471410821
Vietnam,VNM,22.3847418,6.575833551773693
Vanuatu,VUT,31.1977865,2.6113481068568505
Yemen,YEM,22.6201407,-4.408312211875854
South Africa,ZAF,29.474853200000002,1.7464896925579843
