iso3,gini,gini_year,ige,ige_source
SVK,24.08,2022,0.455,Author estimate
SVN,24.31,2022,0.2495,Author estimate
IND,25.51,2022,0.8079,Author estimate
NLD,25.74,2021,0.304,Equalchances 2018
MDA,25.86,2022,0.2315,Author estimate
CZE,25.87,2022,0.4912,Author estimate
BEL,26.38,2022,0.3582,Author estimate
ISL,26.8,2019,0.2826,Author estimate
NOR,26.95,2022,0.1601,Author estimate
FIN,27.93,2022,0.145,Author estimate
EGY,28.48,2021,0.9154,Author estimate
POL,28.86,2022,0.3561,Author estimate
KAZ,29.19,2021,0.3232,Author estimate
DNK,29.26,2022,0.226,Author estimate
PAK,29.59,2018,0.438,Javed and Irfan 2014
IRL,29.91,2022,0.4415,Author estimate
HRV,30.02,2022,0.3494,Author estimate
NPL,30.02,2022,0.436,Grawe 2001
BIH,30.31,2021,0.5347,Author estimate
HUN,30.58,2017,0.4748,Author estimate
AUT,30.89,2022,0.3335,Author estimate
ETH,31.14,2021,0.6343,Author estimate
UZB,31.18,2022,0.3436,Author estimate
FRA,31.24,2022,0.4201,Author estimate
MNG,31.42,2022,0.4764,Author estimate
CAN,31.5,2022,0.1975,Author estimate
CYP,31.53,2022,0.5799,Author estimate
TWN,31.57,2021,0.3864,Author estimate
SWE,31.61,2022,0.1366,Author estimate
EST,32.25,2022,0.3475,Author estimate
ROU,32.3,2022,0.5629,Author estimate
JPN,32.34,2020,0.2997,Author estimate
GBR,32.42,2021,0.4714,Author estimate
SRB,32.8,2022,0.1833,Author estimate
NER,32.86,2021,0.7041,Author estimate
KOR,32.91,2021,0.2212,Author estimate
GRC,33.37,2022,0.3331,Author estimate
ESP,33.58,2022,0.4961,Author estimate
ITA,33.65,2022,0.4547,Author estimate
JOR,33.66,2010,0.3295,Author estimate
DEU,33.66,2022,0.3898,Author estimate
LVA,33.68,2022,0.4794,Author estimate
TUN,33.72,2021,0.8884,Author estimate
CHE,33.8,2022,0.2772,Author estimate
AUS,33.83,2020,0.2701,Author estimate
NGA,33.89,2022,0.7415,Author estimate
LUX,34.09,2022,0.4656,Author estimate
MNE,34.3,2021,0.5376,Author estimate
MLT,34.59,2022,0.6387,Author estimate
LBR,35.27,2016,0.3378,Author estimate
IDN,35.51,2022,0.5051,Author estimate
CHN,36.02,2022,0.5167,Author estimate
RUS,36.07,2020,0.3322,Author estimate
VNM,36.09,2022,0.4108,Author estimate
PRT,36.25,2022,0.4017,Author estimate
LTU,36.56,2022,0.4023,Author estimate
MDG,36.82,2021,0.9622,Author estimate
PHL,37.27,2021,0.432,Dacuycuy 2018
LKA,37.66,2019,0.2652,Author estimate
TGO,37.86,2021,0.5195,Author estimate
BGR,38.2,2022,0.6383,Author estimate
KEN,38.53,2022,0.3988,Author estimate
MWI,38.54,2019,0.4652,Author estimate
TJK,39.49,2022,0.2274,Author estimate
MAR,39.55,2013,0.512,Author estimate
PER,40.35,2022,0.6989,Author estimate
TZA,40.49,2018,0.5907,Author estimate
URY,40.55,2022,0.429,Araya 2019
MYS,40.67,2021,0.537,Grawe 2001
BOL,41.21,2022,0.4785,Author estimate
USA,41.7,2022,0.6139,Author estimate
UGA,42.7,2019,0.5025,Author estimate
CHL,43.24,2022,0.5804,Author estimate
MEX,43.45,2022,0.7682,Author estimate
GHA,43.51,2016,0.5491,Author estimate
TUR,44.47,2022,0.2788,Author estimate
COD,44.67,2020,0.7622,Author estimate
ECU,45.47,2022,0.6125,Author estimate
GTM,48.33,2014,0.9343,Author estimate
PAN,50.86,2021,0.5974,Author estimate
BRA,51.89,2022,0.5423,Author estimate
ZAF,54.05,2022,0.705,Author estimate
COL,54.82,2022,0.7381,Author estimate
