iso3_o,iso3_d,gdp_o,gdp_d,dist,tradeflow_baci
ABW,AFG,3310055.866,18799450.743,13256,440.339
ABW,AGO,3310055.866,69309104.807,9505,10.039
ABW,ARE,3310055.866,417215559.513,12771,863.826
ABW,ARG,3310055.866,452818426.183,5359,0.003
ABW,ATG,3310055.866,1687533.333,1016,2.039
ABW,AUT,3310055.866,445011872.704,8716,175.861
ABW,BEL,3310055.866,535376258.147,7842,282.351
ABW,BHR,3310055.866,38653318.085,12303,3.825
ABW,BMU,3310055.866,7423465,2254,8.5
ABW,BRB,3310055.866,5304164.323,1132,31.411
ABW,CAN,3310055.866,1742015045.482,3571,791.066
ABW,CHE,3310055.866,731767398.053,8133,804.634
ABW,CHN,3310055.866,14279937500.608,15012,53.923
ABW,COL,3310055.866,323109543.324,982,812.836
ABW,CRI,3310055.866,64417670.083,1561,1.411
ABW,CUW,3310055.866,2995185.487,128,1535.961
ABW,CZE,3310055.866,252498032.247,8556,5.903
ABW,DEU,3310055.866,3888326788.627,8470,120.342
ABW,DNK,3310055.866,347561349.211,8403,0.529
ABW,DOM,3310055.866,88941299.734,660,11986.931
ABW,ECU,3310055.866,108108009,1957,50.862
ABW,ESP,3310055.866,1393046093.137,7117,51.063
ABW,FIN,3310055.866,268508200.125,9081,0.013
ABW,FRA,3310055.866,2728870246.706,7681,85.014
ABW,GBR,3310055.866,2878673912.414,7538,70.275
ABW,GHA,3310055.866,68337537.816,7518,48.87
ABW,GRC,3310055.866,205144152.831,9492,3.395
ABW,GRD,3310055.866,1213485.185,902,2.77
ABW,GUY,3310055.866,5173760.192,1448,397.178
ABW,HKG,3310055.866,363052489.184,16127,293.839
ABW,HND,3310055.866,25089976.947,1869,156.422
ABW,IDN,3310055.866,1119099868.265,19232,62.951
ABW,IND,3310055.866,2831552222.52,14254,353.674
ABW,IRL,3310055.866,399122063.504,7167,0.821
ABW,ITA,3310055.866,2011285742.552,8475,183.818
ABW,JAM,3310055.866,15830768.55,946,51.046
ABW,JOR,3310055.866,44502895.915,10744,4787.872
ABW,KOR,3310055.866,1651422932.448,14184,0.97
ABW,KWT,3310055.866,136196760.181,11918,128.267
ABW,LBN,3310055.866,51605959.131,10632,11.386
ABW,LCA,3310055.866,2118791.548,993,2.087
ABW,LKA,3310055.866,83902574.443,16060,0.105
ABW,LUX,3310055.866,70195715.496,7961,184.005
ABW,MEX,3310055.866,1269404276.771,3204,671.948
ABW,MNE,3310055.866,5542201.151,9024,0.107
ABW,MNG,3310055.866,14206359.007,13304,0.088
ABW,MOZ,3310055.866,15390031.04,11852,26.755
ABW,MUS,3310055.866,14045808.843,14385,6.008
ABW,MYS,3310055.866,365276379.481,18051,45462.91
ABW,NGA,3310055.866,448120428.859,8068,1.024
ABW,NLD,3310055.866,910194347.569,7891,5173.12
ABW,NOR,3310055.866,404941363.636,8296,24.967
ABW,NPL,3310055.866,34186190.996,14827,0.666
ABW,NZL,3310055.866,213434571.358,13076,0.891
ABW,PAK,3310055.866,320909489.23,13791,212.753
ABW,PAN,3310055.866,66984427.2,1109,9.159
ABW,PER,3310055.866,228323495.041,2825,25.564
ABW,PHL,3310055.866,376823278.561,16772,0.156
ABW,POL,3310055.866,597280564.672,8988,0.528
ABW,PRT,3310055.866,239986922.639,6631,1.398
ABW,PYF,3310055.866,6008055.248,9349,0.14
ABW,RUS,3310055.866,1693113904.263,9937,0.526
ABW,RWA,3310055.866,10356327.149,11160,0.074
ABW,SAU,3310055.866,803616264.791,12021,272.516
ABW,SGP,3310055.866,375472731.271,18338,49.778
ABW,SLV,3310055.866,26896660,2081,4.291
ABW,SUR,3310055.866,3984483.762,1790,324.568
ABW,SVK,3310055.866,105284375.641,8771,7.589
ABW,SVN,3310055.866,54178877.606,8598,59.833
ABW,SWE,3310055.866,533879529.188,8710,48.388
ABW,SYC,3310055.866,1684228.529,13981,1.365
ABW,THA,3310055.866,544081056.185,16923,1552.324
ABW,TWN,3310055.866,610872000,15671,542.05
ABW,USA,3310055.866,21372572437,3148,10126.691
