interval_no,time_hours,retention_pct,forgotten_pct
1,0.33,58.2,41.8
2,1.0,44.2,55.8
3,8.8,35.8,64.2
4,24.0,33.7,66.3
5,48.0,27.8,72.2
6,144.0,25.4,74.6
7,744.0,21.1,78.9
