country,country_code,productivity_rel_us,price_level_rel_us,year
Aruba,ABW,55.98562254541125,0.911594960333202,2019
Angola,AGO,10.521491682181253,0.36527260943428774,2019
Albania,ALB,25.791287995821687,0.40398442679543795,2019
United Arab Emirates,ARE,85.47012369679655,0.6360489499130895,2019
Argentina,ARG,36.39186652717018,0.44092397513521575,2019
Armenia,ARM,34.67328997601692,0.2995636800923873,2019
Australia,AUS,81.54214862627848,0.9772873894859079,2019
Austria,AUT,80.6904651703361,0.8928315857431045,2019
Azerbaijan,AZE,24.362229859025287,0.29268962120369824,2019
Burundi,BDI,1.3993365097382533,0.3142890265792025,2019
Belgium,BEL,80.79922471050762,0.9767792866061702,2019
Benin,BEN,6.844615944617662,0.3599270628725268,2019
Burkina Faso,BFA,4.758676097357735,0.35536726275530395,2019
Bangladesh,BGD,8.907258798926332,0.3814960129594831,2019
Bulgaria,BGR,33.57884761621994,0.43357461356957255,2019
Bahrain,BHR,79.66212838278457,0.4795697631430727,2019
Bahamas,BHS,47.77858864835871,1.0051763123855852,2019
Bosnia and Herzegovina,BIH,50.7064562498022,0.4223062997893924,2019
Belarus,BLR,36.55120481304474,0.29394818242837945,2019
Belize,BLZ,10.603604600708698,0.8244796234959949,2019
Bermuda,BMU,70.60606914820659,2.2156028534289054,2019
Bolivia (Plurinational State of),BOL,13.702648840826892,0.3977991721652046,2019
Brazil,BRA,25.195873581652716,0.5757117329442377,2019
Barbados,BRB,20.378435826774016,1.3971561795238887,2019
Brunei Darussalam,BRN,109.70434560059479,0.4160907900462165,2019
Bhutan,BTN,21.557003340629134,0.27403085266572136,2019
Botswana,BWA,31.6706938933671,0.4619563974064562,2019
Central African Republic,CAF,1.9346801384035273,0.4578135916719627,2019
Canada,CAN,74.3249527775555,0.8974074285052808,2019
Switzerland,CHE,99.22209220094871,1.0886823686699325,2019
Chile,CHL,41.81556421314822,0.613870293528357,2019
China,CHN,19.491587558667998,0.6840920675097377,2019
Côte d'Ivoire,CIV,13.25224619144858,0.43396532775495394,2019
Cameroon,CMR,7.00638149078941,0.39510420798863094,2019
D.R. of the Congo,COD,2.7109990233962553,0.5129700066023634,2019
Congo,COG,9.555794924073666,0.4856240171377771,2019
Colombia,COL,25.65646332473699,0.43997874592614045,2019
Comoros,COM,10.420593594826927,0.40727328339695484,2019
Cabo Verde,CPV,14.485493494842801,0.4702382341354541,2019
Costa Rica,CRI,31.846838145551413,0.6308002311513506,2019
Curaçao,CUW,43.6099845030924,0.8543406764608587,2019
Cayman Islands,CYM,68.2577785912555,1.431107906776276,2019
Cyprus,CYP,58.822157249843016,0.830650637061724,2019
Czech Republic,CZE,56.237850681492255,0.598733986523492,2019
Germany,DEU,73.35615622085386,0.8668125317707283,2019
Djibouti,DJI,12.319872223232307,0.498418155172469,2019
Denmark,DNK,80.64998918846496,1.0767136976392089,2019
Dominican Republic,DOM,28.86207054268139,0.44245225869002336,2019
Algeria,DZA,34.59940387909709,0.32595680507837504,2019
Ecuador,ECU,18.19325021843927,0.5305966125254566,2019
Egypt,EGY,34.72784600712521,0.25117065553736057,2019
Spain,ESP,72.96877767771834,0.7076801317361379,2019
Estonia,EST,51.25289759729595,0.6698804002230986,2019
Ethiopia,ETH,4.036698792588034,0.29206052646870556,2019
Finland,FIN,71.4501469398,1.0365751715447746,2019
Fiji,FJI,30.520265622420744,0.42722738827799106,2019
France,FRA,79.38407339709937,0.8832267026479458,2019
Gabon,GAB,39.314855500809784,0.48897387010593524,2019
United Kingdom,GBR,69.67430764570368,0.9057166606957143,2019
Georgia,GEO,38.185537705576316,0.24837528899638128,2019
Ghana,GHA,9.484253833245367,0.39555823485837405,2019
Guinea,GIN,4.796440943819028,0.40288377552696514,2019
Gambia,GMB,6.312570167821545,0.3080142362602896,2019
Guinea-Bissau,GNB,3.5026027731521894,0.3542157096900092,2019
Equatorial Guinea,GNQ,51.96339286337224,0.3198026348600212,2019
Greece,GRC,51.703753161493374,0.6867542314835278,2019
Grenada,GRD,20.81117033955521,0.671025118721292,2019
Guatemala,GTM,14.80178285658613,0.5362670726914263,2019
Guyana,GUY,30.443541536416163,0.4816958854419031,2019
"China, Hong Kong SAR",HKG,81.07607946831307,0.8598814800275075,2019
Honduras,HND,10.607000175818886,0.4532010309844385,2019
Croatia,HRV,45.41174183536816,0.5362954976274044,2019
Haiti,HTI,2.966660080669617,0.4370389669840651,2019
Hungary,HUN,46.18947738821357,0.5511625398463841,2019
Indonesia,IDN,18.386827557376705,0.34415657095298685,2019
India,IND,14.164515542688077,0.3034950431944641,2019
Ireland,IRL,170.36873928937905,0.7704993546338479,2019
Iran (Islamic Republic of),IRN,34.308548589069986,0.5326048885856896,2019
Iraq,IRQ,41.056390122485595,0.4709611254398716,2019
Iceland,ISL,71.8201714350209,1.276469620663796,2019
Israel,ISR,59.7126977601509,1.1495817359320015,2019
Italy,ITA,74.05821931421346,0.7806137132414676,2019
Jamaica,JAM,15.353054556185207,0.6039894540627869,2019
Jordan,JOR,34.06168472938173,0.38953063281571354,2019
Japan,JPN,55.32346112377296,0.9691919448421267,2019
Kazakhstan,KAZ,45.7570929229588,0.3351730901302674,2019
Kenya,KEN,6.827652691296395,0.4104788097535621,2019
Kyrgyzstan,KGZ,11.329639558050214,0.20521921573714266,2019
Cambodia,KHM,6.530708727046516,0.34935241475836404,2019
Republic of Korea,KOR,62.027816094463724,0.7324899534723261,2019
Kuwait,KWT,84.57483104247868,0.5090856275745442,2019
Lao People's DR,LAO,11.550662025238427,0.3322393450528715,2019
Lebanon,LBN,38.82387760838148,0.5029486438617466,2019
Liberia,LBR,2.4886130087934952,0.39753963019444255,2019
Saint Lucia,LCA,23.898110131759445,0.7757948572942389,2019
Sri Lanka,LKA,26.626417340635868,0.2843626305774071,2019
Lesotho,LSO,6.601723698116264,0.40552995404883185,2019
Lithuania,LTU,49.94383482446737,0.5797827900224243,2019
Luxembourg,LUX,92.95149024355968,1.214027986151051,2019
Latvia,LVA,48.07404070999238,0.5793449201836949,2019
"China, Macao SAR",MAC,118.66751515905791,0.859327107986389,2019
Morocco,MAR,19.277848747405407,0.3964100106562054,2019
Republic of Moldova,MDA,20.52783189405688,0.2984322017806707,2019
Madagascar,MDG,2.2877822663015617,0.3251787510963904,2019
Maldives,MDV,41.8167760426887,0.5201357785412666,2019
Mexico,MEX,33.407546903032255,0.504165139612762,2019
North Macedonia,MKD,29.42761718873967,0.367944067275475,2019
Mali,MLI,6.009688196332525,0.3466748658594671,2019
Malta,MLT,59.81131953182404,0.8229498815189188,2019
Myanmar,MMR,9.68223638180273,0.26521454707009257,2019
Montenegro,MNE,43.25805995159734,0.38335015380349663,2019
Mongolia,MNG,21.43001727031654,0.34884519837059347,2019
Mozambique,MOZ,2.603114790039694,0.3925089026670711,2019
Mauritania,MRT,14.406467127816223,0.3429212300985413,2019
Montserrat,MSR,23.541568955233508,0.7962745947187498,2019
Mauritius,MUS,39.24444414803432,0.453089847733852,2019
Malawi,MWI,2.091551051125061,0.35756075844363583,2019
Malaysia,MYS,41.80168459330925,0.4277103834174986,2019
Namibia,NAM,24.1580684939011,0.502342912479565,2019
Niger,NER,2.4459410078380914,0.43934710610130673,2019
Nigeria,NGA,10.541980579430362,0.45758341832217614,2019
Nicaragua,NIC,9.493667473218098,0.36324926301061367,2019
Netherlands,NLD,77.21652586938022,0.9159631923959808,2019
Norway,NOR,106.72624348979977,0.9962028403431399,2019
Nepal,NPL,5.100788748829541,0.283466301409099,2019
New Zealand,NZL,60.910819470855415,0.9965989592698692,2019
Oman,OMN,42.26671153061218,0.48729250940596575,2019
Pakistan,PAK,13.261820987480636,0.22642794982203818,2019
Panama,PAN,50.79555202082015,0.5045470746680173,2019
Peru,PER,18.10288977463926,0.5471906554824553,2019
Philippines,PHL,16.54832883809755,0.3774352792232363,2019
Poland,POL,57.64084784386881,0.4706358686774821,2019
Portugal,PRT,50.370532303834636,0.7006035809242486,2019
Paraguay,PRY,19.863043347700007,0.4204567343877898,2019
State of Palestine,PSE,28.290193686314314,0.44181632938792936,2019
Qatar,QAT,119.1804228039793,0.5633396794719573,2019
Romania,ROU,47.8185088222972,0.44302561881714747,2019
Russian Federation,RUS,44.624867362472344,0.3929497179468526,2019
Rwanda,RWA,4.194059955797328,0.344182079044428,2019
Saudi Arabia,SAU,99.31199234982472,0.43480349161161264,2019
Sudan,SDN,13.487686103450432,0.14070273247708504,2019
Senegal,SEN,6.622276940904602,0.4272544405812459,2019
Singapore,SGP,97.70174339793586,0.7481809756764906,2019
Sierra Leone,SLE,4.441262885121965,0.26805197908473766,2019
El Salvador,SLV,13.385474927108138,0.4915373761027388,2019
Serbia,SRB,31.86573929569704,0.40755078397917993,2019
Sao Tome and Principe,STP,9.683821690307415,0.49282702173929954,2019
Suriname,SUR,29.296576270759743,0.42032230217045263,2019
Slovakia,SVK,46.67317244510858,0.6656095678906433,2019
Slovenia,SVN,52.03402137933183,0.7285176115641562,2019
Sweden,SWE,80.85914954440725,0.9651686439441046,2019
Eswatini,SWZ,22.10242851439896,0.48752259696620714,2019
Seychelles,SYC,39.77543300222312,0.5864134639713651,2019
Syrian Arab Republic,SYR,19.870697876268217,0.15799209969797504,2019
Chad,TCD,3.3239727670175845,0.42460534521484217,2019
Togo,TGO,4.377549779444083,0.3850646864609456,2019
Thailand,THA,24.39909755168511,0.4362266257805133,2019
Tajikistan,TJK,10.398714867033284,0.2190912279160553,2019
Turkmenistan,TKM,36.73112843563999,0.3012287693752828,2019
Trinidad and Tobago,TTO,50.040670755722466,0.5625772391872002,2019
Tunisia,TUN,27.03668754010499,0.28547640764629634,2019
Turkey,TUR,61.52188070301727,0.3252711750330919,2019
Taiwan,TWN,73.74411501736174,0.5327808715394213,2019
U.R. of Tanzania: Mainland,TZA,4.318246023245487,0.44156196338639475,2019
Uganda,UGA,4.595093785136505,0.33698796795909186,2019
Ukraine,UKR,26.939318934834557,0.2540630214574523,2019
Uruguay,URY,33.426476883129325,0.7541380301164771,2019
United States,USA,100.0,1.0,2019
Uzbekistan,UZB,21.798362881122316,0.13358547452599562,2019
St. Vincent and the Grenadines,VCT,23.318524445251846,0.6433657686445846,2019
Venezuela (Bolivarian Republic of),VEN,0.4705889977893766,18.080217571437526,2019
British Virgin Islands,VGB,61.76775960630976,1.1039849358134062,2019
Viet Nam,VNM,11.042972655830143,0.34754391395239986,2019
Yemen,YEM,7.2009968682764045,0.4602716909142237,2019
South Africa,ZAF,30.265165835782067,0.45874998455788185,2019
Zambia,ZMB,8.352192565764009,0.38990676277840997,2019
Zimbabwe,ZWE,4.593648498575605,0.5007886918855902,2019
