Model,n_covariates,aOR,CI_lower,CI_upper,P,AIC
Crude (twin only),0,4.181008902077165,1.0408650037163352,16.79452702976314,0.04375618405739362,124.19249582486434
Twin + Age (per year),1,4.13919556073034,1.018224664014222,16.826286472403158,0.04712174240098376,126.18111965882576
Twin + BMI (per kg/m²),1,4.169704150385582,1.0365313065854582,16.773668669031462,0.04437990274926546,125.96845544527226
Twin + GA (per week),1,4.587586521491606,1.0844252713800513,19.407469235190508,0.03844260745218146,125.84502506104693
Twin + Emergency CS,1,3.631419736696651,0.9002063341317657,14.649096328331016,0.06995075595080978,121.72815125768824
Twin + Prior CS,1,5.036408206095156,1.1231983717769072,22.583194790689014,0.0347106235856858,125.70802904754478
Twin + HDP,1,4.182123859660777,1.04112631657957,16.799267964913877,0.043719296346848464,126.17614601911684
Twin + Epidural anesthesia,1,4.111111111111853,1.0213878765566329,16.54732247741753,0.046618519345017324,119.44206872154132
Twin + Surgery time (per min),1,5.237334457324277,1.250062009603228,21.94264925032192,0.023493410753391387,123.21758632667478
Twin + Hypotension (SBP < 90),1,4.259555677051937,1.055526574560742,17.189348902424307,0.04176214340362031,126.07911536857075
Full minus Age (per year),8,3.5025305012273296,0.6426351450613474,19.08971211161609,0.14737547839959528,125.89747594667875
Full minus GA (per week),8,3.580598394951734,0.6625997809978313,19.349062939054754,0.13838923942348616,125.85352842372833
Full minus Emergency CS,8,5.945798236026378,1.193557082443306,29.6194603371336,0.029560245679114156,130.45875700145
Full minus Prior CS,8,3.6550188291236148,0.807980118819998,16.534023956874513,0.09235870560171129,125.74584447587556
Full minus HDP,8,3.3493847437122675,0.6151445362559268,18.2369792792001,0.16211244318921603,126.22506201921986
Full minus Epidural anesthesia,8,3.89337343754485,0.7307696717851919,20.743001946358234,0.11127424576665595,132.61996795455892
Full minus Surgery time (per min),8,3.1188884607807386,0.5608225753885696,17.344995828763683,0.1938332324182166,127.01995910795723
Full minus Hypotension (SBP < 90),8,3.2539041146159975,0.5961902006453165,17.75925195626258,0.17299512444724252,125.81329108198831
Reduced (6 covariates),5,3.46628952335907,0.802338562566516,14.97517833533367,0.09591394980898872,129.444753561844
