study,HR,HR_lo,HR_hi,design,N,events
Mozaffarian 2004,0.62,0.49,0.78,OBS,1153,356
Horwich 2004,0.59,0.44,0.78,OBS,551,189
Go 2006,0.69,0.63,0.75,OBS,24598,5765
Foody 2006,0.82,0.79,0.85,OBS,54960,16573
Anker 2006,0.75,0.66,0.85,OBS,10510,2890
