region,n_dino_colls,n_herb_genera,allo_collections,allo_regional_share
Colorado,77,18,34,0.44155844155844154
Montana,5,6,2,0.4
New Mexico,16,5,7,0.4375
Oklahoma,6,7,3,0.5
South Dakota,8,4,3,0.375
Utah,25,13,14,0.56
Wyoming,101,20,46,0.45544554455445546
