taxon,n_occurrences,n_collections,occupancy_share,max_dist_km,hull_area_deg2,lat_range
Allosaurus,117,109,0.4560669456066946,1460.6272106738143,79.23995851862956,13.093392000000001
Allosaurus fragilis,29,25,0.10460251046025104,755.7984942956975,19.504653552121965,5.257937999999996
Allosaurus jimmadseni,8,8,0.03347280334728033,720.7278884639575,12.684358539007505,6.0669030000000035
Ceratosaurus,13,13,0.05439330543933055,886.4011425430423,24.891654329302067,7.1538889999999995
Torvosaurus,9,9,0.03765690376569038,713.5521194222865,14.905962153335032,6.115420999999998
