taxon,guild,n_occ,n_coll,max_ma,min_ma,duration,extent_km,occupancy,is_allo,extent_resid,extent_resid_z
Allosaurus,predator,117,109,163.5,145.0,18.5,1460.6272106738143,0.4560669456066946,True,-36.6002416564188,-0.15602324543590024
Amphicoelias,herbivore,2,2,161.2,145.0,16.19999999999999,638.8274982144708,0.008368200836820083,False,9.117044970797338,0.0388650697577945
Apatosaurus,herbivore,59,55,161.2,145.0,16.19999999999999,1190.9186657391674,0.2301255230125523,False,173.70902710400753,0.7405045689234366
Barosaurus,herbivore,18,17,161.2,145.0,16.19999999999999,909.6221023276202,0.07112970711297072,False,171.1399479214242,0.729552835991964
Brachiosaurus,herbivore,13,13,161.2,145.0,16.19999999999999,958.5786552854411,0.05439330543933055,False,254.08765749253348,1.0831507977280794
Brontosaurus,herbivore,23,21,157.3,145.0,12.300000000000011,1156.5089662599669,0.08786610878661087,False,634.4592155559402,2.7046374949383063
Camarasaurus,herbivore,117,103,163.5,145.0,18.5,1193.5855762088283,0.4309623430962343,False,-365.6071685572856,-1.5585475508174387
Camptosaurus,herbivore,35,29,161.2,145.0,16.19999999999999,960.4511511894427,0.12133891213389121,False,106.3990642980666,0.4535687900360081
Ceratosaurus,predator,13,13,161.2,145.0,16.19999999999999,886.4011425430423,0.05439330543933055,False,243.87543718601557,1.0396171027791037
Coelurus,predator,10,9,161.2,145.0,16.19999999999999,640.6003733999329,0.03765690376569038,False,18.46936201087908,0.07873308130364508
Diplodocus,herbivore,59,57,161.2,145.0,16.19999999999999,1160.225368825594,0.2384937238493724,False,143.01573019043406,0.6096620503811149
Dryosaurus,herbivore,17,16,157.3,145.0,12.300000000000011,537.5570687531982,0.06694560669456066,False,56.296705985117455,0.23998734373406147
Dyslocosaurus,herbivore,1,1,157.3,145.0,12.300000000000011,0.0,0.0041841004184100415,False,-372.48866160555826,-1.5878826816866576
Elaphrosaurus,predator,1,1,157.3,152.1,5.200000000000017,0.0,0.0041841004184100415,False,145.37593294308078,0.6197233635497974
Fosterovenator,predator,1,1,157.3,145.0,12.300000000000011,0.0,0.0041841004184100415,False,-310.52336916967744,-1.3237307091125852
Fruitadens,herbivore,4,4,152.1,145.0,7.099999999999994,46.534377033986935,0.016736401673640166,False,-12.450898118931242,-0.05307695919998679
Galeamopus,herbivore,5,5,157.3,145.0,12.300000000000011,712.7190518189469,0.02092050209205021,False,313.03746492275803,1.3344480530693417
Gargoyleosaurus,herbivore,1,1,155.7,145.0,10.699999999999989,0.0,0.0041841004184100415,False,-269.75079070690697,-1.1499212005232973
Haplocanthosaurus,herbivore,8,7,157.3,145.0,12.300000000000011,631.0446333451957,0.029288702928870293,False,210.9683524810339,0.8993374237075069
Hesperornithoides,predator,1,1,157.3,145.0,12.300000000000011,0.0,0.0041841004184100415,False,-310.52336916967744,-1.3237307091125852
Hesperosaurus,herbivore,7,7,161.2,145.0,16.19999999999999,582.7273785299534,0.029288702928870293,False,-80.97423132700828,-0.3451852172703209
Kaatedocus,herbivore,1,1,157.3,152.1,5.200000000000017,0.0,0.0041841004184100415,False,83.41064050719997,0.3555713909757249
Maraapunisaurus,herbivore,1,1,152.1,145.0,7.099999999999994,0.0,0.0041841004184100415,False,-38.59058118494521,-0.16450786790575184
Marshosaurus,predator,3,3,157.3,145.0,12.300000000000011,219.93092980350673,0.012552301255230125,False,-104.188902011486,-0.4441470846787195
Miragaia,herbivore,2,2,157.3,145.0,12.300000000000011,72.79025070582745,0.008368200836820083,False,-306.49664222238846,-1.3065651665268836
Mymoorapelta,herbivore,2,2,157.3,145.0,12.300000000000011,61.96398331822883,0.008368200836820083,False,-317.3229096099871,-1.35271648404076
Nanosaurus,herbivore,27,19,161.2,145.0,16.19999999999999,836.6277382590918,0.0794979079497908,False,36.96150194897689,0.1575632626800801
Ornitholestes,predator,4,4,161.2,145.0,16.19999999999999,613.0679909712286,0.016736401673640166,False,31.72636751812081,0.13524639734724855
Osmakasaurus,herbivore,1,1,157.3,145.0,12.300000000000011,0.0,0.0041841004184100415,False,-372.48866160555826,-1.5878826816866576
Saurophaganax,predator,1,1,155.7,145.0,10.699999999999989,0.0,0.0041841004184100415,False,-207.78549827102614,-0.8857692279492247
Smitanosaurus,herbivore,1,1,155.7,145.0,10.699999999999989,0.0,0.0041841004184100415,False,-269.75079070690697,-1.1499212005232973
Stegosaurus,herbivore,72,63,163.5,145.0,18.5,1204.2183284085636,0.26359832635983266,False,-49.05400683795574,-0.20911242664296578
Stokesosaurus,predator,4,3,157.3,145.0,12.300000000000011,487.77488127579517,0.012552301255230125,False,156.85681813814477,0.6686652526615244
Supersaurus,herbivore,5,3,157.3,145.0,12.300000000000011,514.4966457803911,0.012552301255230125,False,114.81505888420219,0.4894453506671195
Suuwassea,herbivore,1,1,155.7,150.8,4.899999999999977,0.0,0.0041841004184100415,False,102.67399130069937,0.4376891686938647
Tanycolagreus,predator,4,4,157.3,145.0,12.300000000000011,753.701875680595,0.016736401673640166,False,422.7838125429446,1.80228598406385
Torvosaurus,predator,9,9,163.5,145.0,18.5,713.5521194222865,0.03765690376569038,False,-49.466350060919694,-0.21087020541623933
Uteodon,herbivore,1,1,150.8,145.0,5.800000000000011,0.0,0.0041841004184100415,False,44.883938920206674,0.19133583553946873
