quantity,estimate,lo95,hi95
delta_beta_genus,-0.5497336252819323,-0.6261618293673399,-0.46077374615191835
delta_beta_species,-0.32189022555305813,-0.4156638833982575,-0.23126228040868535
L_attenuation,-0.22784339972887413,-0.3499019073403435,-0.09704116349725542
