taxon,guild,n_occ,n_coll,max_ma,min_ma,duration,extent_km,occupancy,is_allo,extent_resid,extent_resid_z,match_dist
Camarasaurus,herbivore,117,103,163.5,145.0,18.5,1193.5855762088283,0.4309623430962343,False,-365.6071685572856,-1.5585475508174387,0.0
Stegosaurus,herbivore,72,63,163.5,145.0,18.5,1204.2183284085636,0.26359832635983266,False,-49.05400683795574,-0.20911242664296578,0.039473684210526314
Apatosaurus,herbivore,59,55,161.2,145.0,16.19999999999999,1190.9186657391674,0.2301255230125523,False,173.70902710400753,0.7405045689234366,0.21257229501846725
Diplodocus,herbivore,59,57,161.2,145.0,16.19999999999999,1160.225368825594,0.2384937238493724,False,143.01573019043406,0.6096620503811149,0.21257229501846725
Camptosaurus,herbivore,35,29,161.2,145.0,16.19999999999999,960.4511511894427,0.12133891213389121,False,106.3990642980666,0.4535687900360081,0.23016915374389343
Nanosaurus,herbivore,27,19,161.2,145.0,16.19999999999999,836.6277382590918,0.0794979079497908,False,36.96150194897689,0.1575632626800801,0.24475098997024047
Barosaurus,herbivore,18,17,161.2,145.0,16.19999999999999,909.6221023276202,0.07112970711297072,False,171.1399479214242,0.729552835991964,0.27912109783679506
Brachiosaurus,herbivore,13,13,161.2,145.0,16.19999999999999,958.5786552854411,0.05439330543933055,False,254.08765749253348,1.0831507977280794,0.3289473684210526
Ceratosaurus,predator,13,13,161.2,145.0,16.19999999999999,886.4011425430423,0.05439330543933055,False,243.87543718601557,1.0396171027791037,0.3289473684210526
Torvosaurus,predator,9,9,163.5,145.0,18.5,713.5521194222865,0.03765690376569038,False,-49.466350060919694,-0.21087020541623933,0.32894736842105265
